,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2579,中偉新材,200,1,200,"18,766名申请人中1,877名获发200股",20.004,0.1
1,2579,中偉新材,200,2,400,"4,096名申请人中692名获发200股",33.789,0.169
2,2579,中偉新材,200,3,600,"2,073名申请人中476名获发200股",45.924,0.23
3,2579,中偉新材,200,4,800,"1,193名申请人中341名获发200股",57.167,0.286
4,2579,中偉新材,200,5,1000,"1,813名申请人中612名获发200股",67.513,0.338
5,2579,中偉新材,200,6,1200,696名申请人中270名获发200股,77.586,0.388
6,2579,中偉新材,200,7,1400,442名申请人中193名获发200股,87.33,0.437
7,2579,中偉新材,200,8,1600,353名申请人中170名获发200股,96.317,0.482
8,2579,中偉新材,200,9,1800,282名申请人中149名获发200股,105.674,0.528
9,2579,中偉新材,200,10,2000,"2,809名申请人中1,601名获发200股",113.99,0.57
10,2579,中偉新材,200,15,3000,"1,223名申请人中947名获发200股",154.865,0.774
11,2579,中偉新材,200,20,4000,825名申请人中794名获发200股,192.485,0.962
12,2579,中偉新材,200,25,5000,200股 + 614名申请人中86名获发额外200股,228.013,1.14
13,2579,中偉新材,200,30,6000,200股 + 496名申请人中153名获发额外200股,261.694,1.308
14,2579,中偉新材,200,35,7000,200股 + 262名申请人中123名获发额外200股,293.893,1.469
15,2579,中偉新材,200,40,8000,200股 + 325名申请人中204名获发额外200股,325.538,1.628
16,2579,中偉新材,200,45,9000,200股 + 188名申请人中146名获发额外200股,355.319,1.777
17,2579,中偉新材,200,50,10000,"200股 + 1,317名申请人中1,217名获发额外200股",384.814,1.924
18,2579,中偉新材,200,100,20000,600股 + 706名申请人中176名获发额外200股,649.858,3.249
19,2579,中偉新材,200,150,30000,800股 + 375名申请人中155名获发额外200股,882.667,4.413
20,2579,中偉新材,200,200,40000,"1,000股 + 250名申请人中122名获发额外200股",1097.6,5.488
21,2579,中偉新材,200,250,50000,"1,200股 + 177名申请人中88名获发额外200股",1299.435,6.497
22,2579,中偉新材,200,300,60000,"1,400股 + 100名申请人中46名获发额外200股",1492.0,7.46
23,2579,中偉新材,200,350,70000,"1,600股 + 82名申请人中31名获发额外200股",1675.61,8.378
24,2579,中偉新材,200,400,80000,"1,800股 + 75名申请人中20名获发额外200股",1853.333,9.267
25,2579,中偉新材,200,450,90000,"2,000股 + 45名申请人中6名获发额外200股",2026.667,10.133
26,2579,中偉新材,200,500,100000,"2,000股 + 342名申请人中329名获发额外200股",2192.398,10.962
27,2579,中偉新材,200,1000,200000,"97,800股",7800.0,39.0
28,2579,中偉新材,200,1500,300000,"116,00股",11600.0,58.0
29,2579,中偉新材,200,2000,400000,"152,00股",15200.0,76.0
30,2579,中偉新材,200,2500,500000,"188,00股",18800.0,94.0
31,2579,中偉新材,200,3000,600000,"220,00股",22000.0,110.0
32,2579,中偉新材,200,3500,700000,"256,00股",25600.0,128.0
33,2579,中偉新材,200,4000,800000,"288,00股",28800.0,144.0
34,2579,中偉新材,200,4500,900000,"322,00股",32200.0,161.0
35,2579,中偉新材,200,5000,1000000,"356,00股",35600.0,178.0
36,2579,中偉新材,200,10000,2000000,"571,000股",71000.0,355.0
37,2579,中偉新材,200,15000,3000000,"3106,000股",106000.0,530.0
38,2579,中偉新材,200,26056,5211200,"1183,600股",183600.0,918.0
