,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2580,奥克斯电气,200,1,200,"41,095名申请人中4,110名获发200股",20.0,0.1
1,2580,奥克斯电气,200,2,400,"16,282名申请人中2,709名获发200股",33.28,0.17
2,2580,奥克斯电气,200,3,600,"10,163名申请人中2,277名获发200股",44.81,0.22
3,2580,奥克斯电气,200,4,800,"3,039名申请人中841名获发200股",55.35,0.28
4,2580,奥克斯电气,200,5,1000,"5,616名申请人中1,831名获发200股",65.21,0.33
5,2580,奥克斯电气,200,6,1200,"3,393名申请人中1,265名获发200股",74.57,0.37
6,2580,奥克斯电气,200,7,1400,"1,734名申请人中724名获发200股",83.51,0.42
7,2580,奥克斯电气,200,8,1600,"1,696名申请人中781名获发200股",92.1,0.46
8,2580,奥克斯电气,200,9,1800,"1,236名申请人中621名获发200股",100.49,0.5
9,2580,奥克斯电气,200,10,2000,"11,483名申请人中6,226名获发200股",108.44,0.54
10,2580,奥克斯电气,200,15,3000,"3,571名申请人中2,608名获发200股",146.12,0.73
11,2580,奥克斯电气,200,20,4000,"2,876名申请人中2,594名获发200股",180.46,0.9
12,2580,奥克斯电气,200,25,5000,"4,410名申请人中275名获发额外200股",212.47,1.06
13,2580,奥克斯电气,200,30,6000,"3,550名申请人中762名获发额外200股",242.93,1.21
14,2580,奥克斯电气,200,35,7000,"2,617名申请人中942名获发额外200股",271.99,1.36
15,2580,奥克斯电气,200,40,8000,"1,739名申请人中870名获发额外200股",300.06,1.5
16,2580,奥克斯电气,200,45,9000,"1,330名申请人中846名获发额外200股",327.22,1.64
17,2580,奥克斯电气,200,50,10000,"9,829名申请人中7,538名获发额外200股",353.37,1.77
18,2580,奥克斯电气,200,100,20000,"5,424名申请人中5,093名获发额外200股",587.81,2.94
19,2580,奥克斯电气,200,150,30000,"3,187名申请人中3,053名获发额外200股",791.59,3.96
20,2580,奥克斯电气,200,200,40000,"2,089名申请人中1,857名获发额外200股",977.79,4.89
21,2580,奥克斯电气,200,250,50000,"1,618名申请人中1,228名获发额外200股",1151.79,5.76
22,2580,奥克斯电气,200,300,60000,"1,569名申请人中916名获发额外200股",1316.76,6.58
23,2580,奥克斯电气,200,350,70000,767名申请人中286名获发额外200股,1474.58,7.37
24,2580,奥克斯电气,200,400,80000,814名申请人中107名获发额外200股,1626.29,8.13
25,2580,奥克斯电气,200,450,90000,509名申请人中441名获发额外200股,1773.28,8.87
26,2580,奥克斯电气,200,500,100000,"3,081名申请人中1,784名获发额外200股",1915.84,9.58
27,2580,奥克斯电气,200,1000,200000,"2,664名申请人中2,485名获发额外200股",3186.75,15.93
