,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2581,明基醫院,500,1,500,"6,679名申请人中3,340名获发500股",250.0,0.5
1,2581,明基醫院,500,2,1000,792名申请人中428名获发500股,270.2,0.54
2,2581,明基醫院,500,3,1500,241名申请人中138名获发500股,286.31,0.57
3,2581,明基醫院,500,4,2000,211名申请人中135名获发500股,320.0,0.64
4,2581,明基醫院,500,5,2500,146名申请人中110名获发500股,376.71,0.75
5,2581,明基醫院,500,6,3000,104名申请人中87名获发500股,418.27,0.84
6,2581,明基醫院,500,7,3500,34名申请人中31名获发500股,455.88,0.91
7,2581,明基醫院,500,8,4000,122名申请人全部获发500股,500.0,1.0
8,2581,明基醫院,500,9,4500,37名申请人中3名获发额外500股,540.54,1.08
9,2581,明基醫院,500,10,5000,332名申请人中50名获发额外500股,575.3,1.15
10,2581,明基醫院,500,12,6000,40名申请人中14名获发额外500股,675.0,1.35
11,2581,明基醫院,500,14,7000,24名申请人中13名获发额外500股,770.83,1.54
12,2581,明基醫院,500,16,8000,28名申请人中19名获发额外500股,839.29,1.68
13,2581,明基醫院,500,18,9000,48名申请人中41名获发额外500股,926.04,1.85
14,2581,明基醫院,500,20,10000,"146名申请人全部获发1,000股",1000.0,2.0
15,2581,明基醫院,500,30,15000,54名申请人中18名获发额外500股,1166.67,2.33
16,2581,明基醫院,500,40,20000,35名申请人中23名获发额外500股,1328.57,2.66
17,2581,明基醫院,500,50,25000,"32名申请人全部获发1,500股",1500.0,3.0
18,2581,明基醫院,500,60,30000,28名申请人中10名获发额外500股,1678.57,3.36
19,2581,明基醫院,500,70,35000,11名申请人中7名获发额外500股,1818.18,3.64
20,2581,明基醫院,500,80,40000,"11名申请人全部获发2,000股",2000.0,4.0
21,2581,明基醫院,500,90,45000,9名申请人中3名获发额外500股,2166.67,4.33
22,2581,明基醫院,500,100,50000,25名申请人中15名获发额外500股,2300.0,4.6
23,2581,明基醫院,500,120,60000,"12名申请人全部获发2,500股",2500.0,5.0
24,2581,明基醫院,500,140,70000,7名申请人中4名获发额外500股,2857.14,5.71
25,2581,明基醫院,500,160,80000,"6名申请人全部获发3,000股",3000.0,6.0
26,2581,明基醫院,500,180,90000,6名申请人中3名获发额外500股,3250.0,6.5
27,2581,明基醫院,500,200,100000,"39名申请人全部获发3,500股",3500.0,7.0
28,2581,明基醫院,500,400,200000,"8名申请人全部获发6,500股",6500.0,13.0
29,2581,明基醫院,500,600,300000,"5名申请人全部获发9,500股",9500.0,19.0
30,2581,明基醫院,500,800,400000,"3名申请人全部获发12,500股",12500.0,25.0
