代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2591,銀諾醫藥－Ｂ,200,1,200,"52,066名申请人中的261名获得200股股份",1.0,0.005
2591,銀諾醫藥－Ｂ,200,2,400,"23,660名申请人中的173名获得200股股份",1.46,0.0073
2591,銀諾醫藥－Ｂ,200,3,600,"10,879名申请人中的100名获得200股股份",1.84,0.0092
2591,銀諾醫藥－Ｂ,200,4,800,"5,944名申请人中的64名获得200股股份",2.15,0.0108
2591,銀諾醫藥－Ｂ,200,5,1000,"11,577名申请人中的140名获得200股股份",2.42,0.0121
2591,銀諾醫藥－Ｂ,200,6,1200,"4,802名申请人中的64名获得200股股份",2.67,0.0133
2591,銀諾醫藥－Ｂ,200,7,1400,"2,997名申请人中的44名获得200股股份",2.94,0.0147
2591,銀諾醫藥－Ｂ,200,8,1600,"3,065名申请人中的48名获得200股股份",3.13,0.0157
2591,銀諾醫藥－Ｂ,200,9,1800,"2,092名申请人中的35名获得200股股份",3.35,0.0167
2591,銀諾醫藥－Ｂ,200,10,2000,"17,326名申请人中的304名获得200股股份",3.51,0.0175
2591,銀諾醫藥－Ｂ,200,15,3000,"5,970名申请人中的131名获得200股股份",4.39,0.0219
2591,銀諾醫藥－Ｂ,200,20,4000,"5,261名申请人中的135名获得200股股份",5.13,0.0257
2591,銀諾醫藥－Ｂ,200,25,5000,"7,580名申请人中的220名获得200股股份",5.8,0.029
2591,銀諾醫藥－Ｂ,200,30,6000,"4,023名申请人中的129名获得200股股份",6.41,0.0321
2591,銀諾醫藥－Ｂ,200,35,7000,"2,518名申请人中的88名获得200股股份",6.99,0.0349
2591,銀諾醫藥－Ｂ,200,40,8000,"2,521名申请人中的95名获得200股股份",7.54,0.0377
2591,銀諾醫藥－Ｂ,200,45,9000,"1,982名申请人中的79名获得200股股份",7.97,0.0399
2591,銀諾醫藥－Ｂ,200,50,10000,"15,265名申请人中的645名获得200股股份",8.45,0.0423
2591,銀諾醫藥－Ｂ,200,100,20000,"10,495名申请人中的647名获得200股股份",12.33,0.0616
2591,銀諾醫藥－Ｂ,200,150,30000,"6,579名申请人中的506名获得200股股份",15.38,0.0769
2591,銀諾醫藥－Ｂ,200,200,40000,"5,398名申请人中的485名获得200股股份",17.97,0.0898
2591,銀諾醫藥－Ｂ,200,250,50000,"4,169名申请人中的424名获得200股股份",20.34,0.1017
2591,銀諾醫藥－Ｂ,200,300,60000,"3,349名申请人中的376名获得200股股份",22.45,0.1123
2591,銀諾醫藥－Ｂ,200,350,70000,"2,139名申请人中的261名获得200股股份",24.4,0.122
2591,銀諾醫藥－Ｂ,200,400,80000,"2,198名申请人中的289名获得200股股份",26.3,0.1315
2591,銀諾醫藥－Ｂ,200,450,90000,"1,594名申请人中的223名获得200股股份",27.98,0.1399
2591,銀諾醫藥－Ｂ,200,500,100000,"10,413名申请人中的1,542名获得200股股份",29.62,0.1481
2591,銀諾醫藥－Ｂ,200,1000,200000,"7,550名申请人中的1,632名获得200股股份",43.23,0.2162
2591,銀諾醫藥－Ｂ,200,1500,300000,"7,447名申请人中的2,235名获得200股股份",60.02,0.3001
2591,銀諾醫藥－Ｂ,200,2000,400000,"3,755名申请人中的1,278名获得200股股份",68.07,0.3403
2591,銀諾醫藥－Ｂ,200,2500,500000,"2,419名申请人中的907名获得200股股份",74.99,0.3749
2591,銀諾醫藥－Ｂ,200,3000,600000,"1,770名申请人中的719名获得200股股份",81.24,0.4062
2591,銀諾醫藥－Ｂ,200,3500,700000,"1,010名申请人中的439名获得200股股份",86.93,0.4347
2591,銀諾醫藥－Ｂ,200,4000,800000,900名申请人中的415名获得200股股份,92.22,0.4611
2591,銀諾醫藥－Ｂ,200,4500,900000,563名申请人中的273名获得200股股份,96.98,0.4849
2591,銀諾醫藥－Ｂ,200,5000,1000000,"1,116名申请人中的566名获得200股股份",101.43,0.5072
2591,銀諾醫藥－Ｂ,200,6000,1200000,687名申请人中的378名获得200股股份,110.04,0.5502
2591,銀諾醫藥－Ｂ,200,7000,1400000,443名申请人中的261名获得200股股份,117.83,0.5892
2591,銀諾醫藥－Ｂ,200,8000,1600000,408名申请人中的254名获得200股股份,124.51,0.6225
2591,銀諾醫藥－Ｂ,200,9139,1827800,"2,142名申请人中的1,414名获得200股股份",132.03,0.6601
