,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2592,撥康視雲,500,1,500,"12,752名申请人中638名获发500股",25.02,0.05
1,2592,撥康視雲,500,2,1000,"3,196名申请人中256名获发500股",40.05,0.08
2,2592,撥康視雲,500,3,1500,"1,113名申请人中127名获发500股",57.05,0.11
3,2592,撥康視雲,500,4,2000,"1,126名申请人中165名获发500股",73.27,0.15
4,2592,撥康視雲,500,5,2500,735名申请人中131名获发500股,89.12,0.18
5,2592,撥康視雲,500,6,3000,633名申请人中130名获发500股,102.69,0.21
6,2592,撥康視雲,500,7,3500,248名申请人中58名获发500股,116.94,0.23
7,2592,撥康視雲,500,8,4000,337名申请人中88名获发500股,130.56,0.26
8,2592,撥康視雲,500,9,4500,370名申请人中106名获发500股,143.24,0.29
9,2592,撥康視雲,500,10,5000,"1,839名申请人中569名获发500股",154.7,0.31
10,2592,撥康視雲,500,12,6000,368名申请人中132名获发500股,179.35,0.36
11,2592,撥康視雲,500,14,7000,237名申请人中96名获发500股,202.53,0.41
12,2592,撥康視雲,500,16,8000,287名申请人中129名获发500股,224.74,0.45
13,2592,撥康視雲,500,18,9000,245名申请人中121名获发500股,246.94,0.49
14,2592,撥康視雲,500,20,10000,"1,439名申请人中770名获发500股",267.55,0.54
15,2592,撥康視雲,500,30,15000,586名申请人中432名获发500股,368.6,0.74
16,2592,撥康視雲,500,40,20000,534名申请人中494名获发500股,462.55,0.93
17,2592,撥康視雲,500,50,25000,429名申请人中45名获发额外500股,552.45,1.1
18,2592,撥康視雲,500,60,30000,269名申请人中74名获发额外500股,637.55,1.28
19,2592,撥康視雲,500,70,35000,121名申请人中54名获发额外500股,723.14,1.45
20,2592,撥康視雲,500,80,40000,137名申请人中83名获发额外500股,802.92,1.61
21,2592,撥康視雲,500,90,45000,93名申请人中71名获发额外500股,881.72,1.76
22,2592,撥康視雲,500,100,50000,453名申请人中412名获发额外500股,954.75,1.91
23,2592,撥康視雲,500,120,60000,154名申请人中25名获发额外500股,1081.17,2.16
24,2592,撥康視雲,500,140,70000,80名申请人中38名获发额外500股,1237.5,2.48
25,2592,撥康視雲,500,160,80000,85名申请人中66名获发额外500股,1388.24,2.78
26,2592,撥康視雲,500,180,90000,"61名申请人全部获发1,500股",1500.0,3.0
27,2592,撥康視雲,500,200,100000,471名申请人中106名获发额外500股,1612.53,3.23
28,2592,撥康視雲,500,400,200000,"205名申请人全部获发3,000股",3000.0,6.0
29,2592,撥康視雲,500,600,300000,"88名申请人全部获发4,000股",4000.0,8.0
30,2592,撥康視雲,500,800,400000,"103名申请人全部获发5,000股",5000.0,10.0
