,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2597,訊眾通信,500,1,500,"5,611名申请人中1,123名获发500股",100.07,0.2
1,2597,訊眾通信,500,2,1000,865名申请人中236名获发500股,136.42,0.27
2,2597,訊眾通信,500,3,1500,297名申请人中97名获发500股,163.3,0.33
3,2597,訊眾通信,500,4,2000,287名申请人中106名获发500股,184.67,0.37
4,2597,訊眾通信,500,5,2500,174名申请人中71名获发500股,204.02,0.41
5,2597,訊眾通信,500,6,3000,188名申请人中84名获发500股,223.4,0.45
6,2597,訊眾通信,500,7,3500,69名申请人中33名获发500股,239.13,0.48
7,2597,訊眾通信,500,8,4000,53名申请人中27名获发500股,254.72,0.51
8,2597,訊眾通信,500,9,4500,36名申请人中20名获发500股,277.78,0.56
9,2597,訊眾通信,500,10,5000,535名申请人中297名获发500股,277.57,0.56
10,2597,訊眾通信,500,12,6000,109名申请人中66名获发500股,302.75,0.61
11,2597,訊眾通信,500,14,7000,131名申请人中85名获发500股,324.43,0.65
12,2597,訊眾通信,500,16,8000,75名申请人中52名获发500股,346.67,0.69
13,2597,訊眾通信,500,18,9000,36名申请人中26名获发500股,361.11,0.72
14,2597,訊眾通信,500,20,10000,222名申请人中168名获发500股,378.38,0.76
15,2597,訊眾通信,500,30,15000,99名申请人中90名获发500股,454.55,0.91
16,2597,訊眾通信,500,40,20000,72名申请人全部获发500股,500.0,1.0
17,2597,訊眾通信,500,50,25000,51名申请人中7名获发额外500股,568.63,1.14
18,2597,訊眾通信,500,60,30000,34名申请人中8名获发额外500股,617.65,1.24
19,2597,訊眾通信,500,70,35000,21名申请人中7名获发额外500股,666.67,1.33
20,2597,訊眾通信,500,80,40000,17名申请人中7名获发额外500股,705.88,1.41
21,2597,訊眾通信,500,90,45000,11名申请人中6名获发额外500股,772.73,1.55
22,2597,訊眾通信,500,100,50000,31名申请人中17名获发额外500股,774.19,1.55
23,2597,訊眾通信,500,120,60000,11名申请人中8名获发额外500股,863.64,1.73
24,2597,訊眾通信,500,140,70000,19名申请人中15名获发额外500股,894.74,1.79
25,2597,訊眾通信,500,160,80000,"3名申请人全部获发1,000股",1000.0,2.0
26,2597,訊眾通信,500,180,90000,6名申请人中1名获发额外500股,1083.33,2.17
27,2597,訊眾通信,500,200,100000,19名申请人中4名获发额外500股,1105.26,2.21
28,2597,訊眾通信,500,300,150000,12名申请人中7名获发额外500股,1291.67,2.58
29,2597,訊眾通信,500,400,200000,6名申请人中4名获发额外500股,1333.33,2.67
30,2597,訊眾通信,500,500,250000,"2名申请人全部获发1,500股",1500.0,3.0
31,2597,訊眾通信,500,600,300000,2名申请人中1名获发额外500股,1750.0,3.5
