,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2603,吉宏股份,500,1,500,"8,910名申请人中4,455名获发500股",250.0,0.5
1,2603,吉宏股份,500,2,1000,"2,003名申请人中1,002名获发500股",250.12,0.5
2,2603,吉宏股份,500,3,1500,696名申请人中376名获发500股,270.11,0.54
3,2603,吉宏股份,500,4,2000,696名申请人中423名获发500股,303.88,0.61
4,2603,吉宏股份,500,5,2500,492名申请人中311名获发500股,316.06,0.63
5,2603,吉宏股份,500,6,3000,417名申请人中290名获发500股,347.72,0.7
6,2603,吉宏股份,500,7,3500,149名申请人中110名获发500股,369.13,0.74
7,2603,吉宏股份,500,8,4000,205名申请人中164名获发500股,400.0,0.8
8,2603,吉宏股份,500,9,4500,281名申请人中240名获发500股,427.05,0.85
9,2603,吉宏股份,500,10,5000,"1,057名申请人中951名获发500股",449.86,0.9
10,2603,吉宏股份,500,12,6000,168名申请人全部获发500股,500.0,1.0
11,2603,吉宏股份,500,14,7000,157名申请人中23名获发额外500股,573.25,1.15
12,2603,吉宏股份,500,16,8000,128名申请人中36名获发额外500股,640.63,1.28
13,2603,吉宏股份,500,18,9000,178名申请人中53名获发额外500股,648.88,1.3
14,2603,吉宏股份,500,20,10000,891名申请人中267名获发额外500股,649.83,1.3
15,2603,吉宏股份,500,30,15000,279名申请人中181名获发额外500股,824.37,1.65
16,2603,吉宏股份,500,40,20000,"289名申请人全部获发1,000股",1000.0,2.0
17,2603,吉宏股份,500,50,25000,173名申请人中52名获发额外500股,1150.29,2.3
18,2603,吉宏股份,500,60,30000,131名申请人中92名获发额外500股,1351.15,2.7
19,2603,吉宏股份,500,70,35000,"61名申请人全部获发1,500股",1500.0,3.0
20,2603,吉宏股份,500,80,40000,83名申请人中30名获发额外500股,1680.72,3.36
21,2603,吉宏股份,500,90,45000,56名申请人中39名获发额外500股,1848.21,3.7
22,2603,吉宏股份,500,100,50000,"203名申请人全部获发2,000股",2000.0,4.0
23,2603,吉宏股份,500,120,60000,55名申请人中34名获发额外500股,2309.09,4.62
24,2603,吉宏股份,500,140,70000,"41名申请人全部获发2,500股",2500.0,5.0
25,2603,吉宏股份,500,160,80000,36名申请人中22名获发额外500股,2805.56,5.61
26,2603,吉宏股份,500,180,90000,29名申请人中9名获发额外500股,3155.17,6.31
27,2603,吉宏股份,500,200,100000,"202名申请人全部获发3,500股",3500.0,7.0
28,2603,吉宏股份,500,400,200000,"99名申请人全部获发7,000股",7000.0,14.0
29,2603,吉宏股份,500,600,300000,"48名申请人全部获发10,000股",10000.0,20.0
30,2603,吉宏股份,500,800,400000,"91名申请人全部获发12,500股",12500.0,25.0
31,2603,吉宏股份,500,1000,500000,"129名申请人全部获发32,500股",32500.0,65.0
32,2603,吉宏股份,500,1200,600000,"16名申请人全部获发38,000股",38000.0,76.0
33,2603,吉宏股份,500,1400,700000,"5名申请人全部获发44,000股",44000.0,88.0
34,2603,吉宏股份,500,1600,800000,"15名申请人全部获发50,000股",50000.0,100.0
35,2603,吉宏股份,500,1800,900000,"4名申请人全部获发56,000股",56000.0,112.0
36,2603,吉宏股份,500,2000,1000000,"32名申请人全部获发61,000股",61000.0,122.0
37,2603,吉宏股份,500,3000,1500000,"6名申请人全部获发91,000股",91000.0,182.0
38,2603,吉宏股份,500,4000,2000000,"2名申请人全部获发120,000股",120000.0,240.0
39,2603,吉宏股份,500,5000,2500000,"1名申请人全部获发147,000股",147000.0,294.0
40,2603,吉宏股份,500,6000,3000000,"2名申请人全部获发173,500股",173500.0,347.0
41,2603,吉宏股份,500,6791,3395500,"5名申请人全部获发192,000股",192000.0,384.0
