,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2605,METALIGHT,400,1,400,"13,712名申请人中6,170名获发400股",180.0,0.45
1,2605,METALIGHT,400,2,800,"3,273名申请人中1,492名获发400股",182.32,0.46
2,2605,METALIGHT,400,3,1200,"1,743名申请人中795名获发400股",182.4,0.46
3,2605,METALIGHT,400,4,1600,740名申请人中338名获发400股,182.7,0.46
4,2605,METALIGHT,400,5,2000,"1,667名申请人中762名获发400股",182.8,0.46
5,2605,METALIGHT,400,6,2400,430名申请人中197名获发400股,183.26,0.46
6,2605,METALIGHT,400,7,2800,302名申请人中139名获发400股,184.11,0.46
7,2605,METALIGHT,400,8,3200,391名申请人中180名获发400股,184.14,0.46
8,2605,METALIGHT,400,9,3600,230名申请人中106名获发400股,184.35,0.46
9,2605,METALIGHT,400,10,4000,"1,899名申请人中876名获发400股",184.4,0.46
10,2605,METALIGHT,400,15,6000,719名申请人中332名获发400股,184.7,0.46
11,2605,METALIGHT,400,20,8000,651名申请人中301名获发400股,185.0,0.46
12,2605,METALIGHT,400,25,10000,822名申请人中381名获发400股,185.4,0.46
13,2605,METALIGHT,400,30,12000,665名申请人中309名获发400股,185.86,0.46
14,2605,METALIGHT,400,35,14000,216名申请人中102名获发400股,188.89,0.47
15,2605,METALIGHT,400,40,16000,258名申请人中124名获发400股,192.25,0.48
16,2605,METALIGHT,400,45,18000,175名申请人中85名获发400股,194.29,0.49
17,2605,METALIGHT,400,50,20000,965名申请人中473名获发400股,196.06,0.49
18,2605,METALIGHT,400,75,30000,509名申请人中260名获发400股,204.32,0.51
19,2605,METALIGHT,400,100,40000,498名申请人中274名获发400股,220.08,0.55
20,2605,METALIGHT,400,125,50000,311名申请人中187名获发400股,240.51,0.6
21,2605,METALIGHT,400,150,60000,194名申请人中129名获发400股,265.98,0.66
22,2605,METALIGHT,400,175,70000,119名申请人中90名获发400股,302.52,0.76
23,2605,METALIGHT,400,200,80000,216名申请人中182名获发400股,337.04,0.84
24,2605,METALIGHT,400,225,90000,69名申请人中64名获发400股,371.01,0.93
25,2605,METALIGHT,400,250,100000,371名申请人全部获发400股,400.0,1.0
26,2605,METALIGHT,400,375,150000,179名申请人中5名获发额外400股,411.17,1.03
27,2605,METALIGHT,400,500,200000,187名申请人中13名获发额外400股,427.81,1.07
28,2605,METALIGHT,400,625,250000,75名申请人中9名获发额外400股,448.0,1.12
29,2605,METALIGHT,400,750,300000,84名申请人中16名获发额外400股,476.19,1.19
30,2605,METALIGHT,400,875,350000,39名申请人中11名获发额外400股,512.82,1.28
31,2605,METALIGHT,400,1000,400000,50名申请人中19名获发额外400股,552.0,1.38
32,2605,METALIGHT,400,1125,450000,20名申请人中10名获发额外400股,600.0,1.5
33,2605,METALIGHT,400,1250,500000,65名申请人中34名获发额外400股,609.23,1.52
