,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2609,佰澤醫療,600,1,600,"13,013名申请人中2,603名获发600股",120.0,0.2
1,2609,佰澤醫療,600,2,1200,"2,621名申请人中792名获发600股",181.33,0.3
2,2609,佰澤醫療,600,3,1800,"1,151名申请人中443名获发600股",231.0,0.39
3,2609,佰澤醫療,600,4,2400,616名申请人中281名获发600股,273.6,0.46
4,2609,佰澤醫療,600,5,3000,"1,077名申请人中561名获发600股",312.6,0.52
5,2609,佰澤醫療,600,6,3600,256名申请人中149名获发600股,349.2,0.58
6,2609,佰澤醫療,600,7,4200,193名申请人中123名获发600股,382.8,0.64
7,2609,佰澤醫療,600,8,4800,225名申请人中155名获发600股,413.4,0.69
8,2609,佰澤醫療,600,9,5400,161名申请人中119名获发600股,442.8,0.74
9,2609,佰澤醫療,600,10,6000,"1,430名申请人中1,123名获发600股",471.0,0.79
10,2609,佰澤醫療,600,15,9000,428名申请人全部获发600股,600.0,1.0
11,2609,佰澤醫療,600,20,12000,508名申请人中95名获发额外600股,712.2,1.19
12,2609,佰澤醫療,600,25,15000,404名申请人中143名获发额外600股,812.4,1.35
13,2609,佰澤醫療,600,30,18000,226名申请人中115名获发额外600股,905.4,1.51
14,2609,佰澤醫療,600,35,21000,144名申请人中94名获发额外600股,991.8,1.65
15,2609,佰澤醫療,600,40,24000,108名申请人中86名获发额外600股,1077.6,1.8
16,2609,佰澤醫療,600,45,27000,117名申请人中108名获发额外600股,1153.8,1.92
17,2609,佰澤醫療,600,50,30000,429名申请人中19名获发额外600股,1226.4,2.04
18,2609,佰澤醫療,600,75,45000,174名申请人中105名获发额外600股,2082.0,3.47
19,2609,佰澤醫療,600,100,60000,175名申请人中15名获发额外600股,2854.8,4.76
20,2609,佰澤醫療,600,125,75000,78名申请人中41名获发额外600股,3384.0,5.64
21,2609,佰澤醫療,600,150,90000,65名申请人中60名获发额外600股,3948.0,6.58
22,2609,佰澤醫療,600,175,105000,47名申请人中15名获发额外600股,4428.0,7.38
23,2609,佰澤醫療,600,200,120000,41名申请人中27名获发额外600股,4992.0,8.32
24,2609,佰澤醫療,600,225,135000,"31名申请人全部获发3,000股",6000.0,10.0
25,2609,佰澤醫療,600,250,150000,134名申请人中42名获发额外600股,7668.0,12.78
26,2609,佰澤醫療,600,500,300000,46名申请人中1名获发额外600股,14400.0,24.0
27,2609,佰澤醫療,600,750,450000,28名申请人中6名获发额外600股,21600.0,36.0
28,2609,佰澤醫療,600,1000,600000,24名申请人中3名获发额外600股,28800.0,48.0
