代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2613,汇舸环保,100,1,100,"5,603名申请人中的2,242名获得100股股份",40.01,0.4001
2613,汇舸环保,100,2,200,"1,320名申请人中的654名获得100股股份",49.55,0.4955
2613,汇舸环保,100,3,300,338名申请人中的190名获得100股股份,56.21,0.5621
2613,汇舸环保,100,4,400,156名申请人中的96名获得100股股份,61.54,0.6154
2613,汇舸环保,100,5,500,439名申请人中的288名获得100股股份,65.6,0.656
2613,汇舸环保,100,6,600,107名申请人中的75名获得100股股份,70.09,0.7009
2613,汇舸环保,100,7,700,50名申请人中的37名获得100股股份,74.0,0.74
2613,汇舸环保,100,8,800,77名申请人中的59名获得100股股份,76.62,0.7662
2613,汇舸环保,100,9,900,41名申请人中的33名获得100股股份,80.49,0.8049
2613,汇舸环保,100,10,1000,813名申请人中的660名获得100股股份,81.18,0.8118
2613,汇舸环保,100,15,1500,304名申请人中的280名获得100股股份,92.11,0.9211
2613,汇舸环保,100,20,2000,100股股份，另445名申请人中有2名获得额外100股股份,100.45,1.0045
2613,汇舸环保,100,25,2500,100股股份，另177名申请人中有14名获得额外100股股份,107.91,1.0791
2613,汇舸环保,100,30,3000,100股股份，另187名申请人中有26名获得额外100股股份,113.9,1.139
2613,汇舸环保,100,35,3500,100股股份，另85名申请人中有17名获得额外100股股份,120.0,1.2
2613,汇舸环保,100,40,4000,100股股份，另132名申请人中有32名获得额外100股股份,124.24,1.2424
2613,汇舸环保,100,45,4500,100股股份，另118名申请人中有34名获得额外100股股份,128.81,1.2881
2613,汇舸环保,100,50,5000,100股股份，另408名申请人中有135名获得额外100股股份,133.09,1.3309
2613,汇舸环保,100,60,6000,100股股份，另199名申请人中有81名获得额外100股股份,140.7,1.407
2613,汇舸环保,100,70,7000,100股股份，另80名申请人中有39名获得额外100股股份,148.75,1.4875
2613,汇舸环保,100,80,8000,100股股份，另98名申请人中有53名获得额外100股股份,154.08,1.5408
2613,汇舸环保,100,90,9000,100股股份，另40名申请人中有24名获得额外100股股份,160.0,1.6
2613,汇舸环保,100,100,10000,100股股份，另505名申请人中有327名获得额外100股股份,164.75,1.6475
2613,汇舸环保,100,200,20000,200股股份，另256名申请人中有10名获得额外100股股份,203.91,2.0391
2613,汇舸环保,100,300,30000,200股股份，另88名申请人中有28名获得额外100股股份,231.82,2.3182
2613,汇舸环保,100,400,40000,200股股份，另31名申请人中有17名获得额外100股股份,254.84,2.5484
2613,汇舸环保,100,500,50000,200股股份，另55名申请人中有39名获得额外100股股份,270.91,2.7091
2613,汇舸环保,100,600,60000,200股股份，另26名申请人中有23名获得额外100股股份,288.46,2.8846
2613,汇舸环保,100,700,70000,300股股份,300.0,3.0
2613,汇舸环保,100,800,80000,300股股份，另11名申请人中有2名获得额外100股股份,318.18,3.1818
2613,汇舸环保,100,900,90000,300股股份，另22名申请人中有6名获得额外100股股份,327.27,3.2727
2613,汇舸环保,100,1000,100000,300股股份，另125名申请人中有43名获得额外100股股份,334.4,3.344
2613,汇舸环保,100,2000,200000,19500股股份，另27名申请人中有17名获得额外100股股份,19562.96,195.6296
2613,汇舸环保,100,3000,300000,29300股股份,29300.0,293.0
2613,汇舸环保,100,4000,400000,39000股股份,39000.0,390.0
2613,汇舸环保,100,5000,500000,48600股股份,48600.0,486.0
