,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2619,香江电器,1000,1,1000,"16,805名申请人中1,681名获配发1,000股",100.036,0.1
1,2619,香江电器,1000,2,2000,"6,379名申请人中957名获配发1,000股",150.023,0.15
2,2619,香江电器,1000,3,3000,"1,934名申请人中349名获配发1,000股",180.455,0.18
3,2619,香江电器,1000,4,4000,"757名申请人中149名获配发1,000股",196.83,0.197
4,2619,香江电器,1000,5,5000,"1,365名申请人中285名获配发1,000股",208.791,0.209
5,2619,香江电器,1000,6,6000,"613名申请人中139名获配发1,000股",226.753,0.227
6,2619,香江电器,1000,7,7000,"325名申请人中79名获配发1,000股",243.077,0.243
7,2619,香江电器,1000,8,8000,"383名申请人中99名获配发1,000股",258.486,0.258
8,2619,香江电器,1000,9,9000,"367名申请人中101名获配发1,000股",275.204,0.275
9,2619,香江电器,1000,10,10000,"3,591名申请人中1,027名获配发1,000股",285.992,0.286
10,2619,香江电器,1000,15,15000,"890名申请人中307名获配发1,000股",344.944,0.345
11,2619,香江电器,1000,20,20000,"1,152名申请人中453名获配发1,000股",393.229,0.393
12,2619,香江电器,1000,25,25000,"1,172名申请人中510名获配发1,000股",435.154,0.435
13,2619,香江电器,1000,30,30000,"1,106名申请人中523名获配发1,000股",472.875,0.473
14,2619,香江电器,1000,35,35000,"355名申请人中180名获配发1,000股",507.042,0.507
15,2619,香江电器,1000,40,40000,"482名申请人中260名获配发1,000股",539.419,0.539
16,2619,香江电器,1000,45,45000,"297名申请人中169名获配发1,000股",569.024,0.569
17,2619,香江电器,1000,50,50000,"857名申请人中511名获配发1,000股",596.266,0.596
18,2619,香江电器,1000,60,60000,"600名申请人中389名获配发1,000股",648.333,0.648
19,2619,香江电器,1000,70,70000,"373名申请人中260名获配发1,000股",697.051,0.697
20,2619,香江电器,1000,80,80000,"357名申请人中264名获配发1,000股",739.496,0.739
21,2619,香江电器,1000,90,90000,"335名申请人中262名获配发1,000股",782.09,0.782
22,2619,香江电器,1000,100,100000,"2,354名申请人中1,926名获配发1,000股",818.182,0.818
23,2619,香江电器,1000,200,200000,"1,000股",1000.0,1.0
24,2619,香江电器,1000,300,300000,"1,000股 + 914名申请人中350名获额外配发1,000股",1382.9321663019693,1.383
25,2619,香江电器,1000,400,400000,"1,000股 + 333名申请人中193名获额外配发1,000股",1579.5795795795798,1.58
26,2619,香江电器,1000,500,500000,"1,000股 + 313名申请人中237名获额外配发1,000股",1757.188498402556,1.757
27,2619,香江电器,1000,600,600000,"1,000股 + 213名申请人中182名获额外配发1,000股",1854.4600938967137,1.854
28,2619,香江电器,1000,700,700000,"1,000股 + 120名申请人中119名获额外配发1,000股",1991.6666666666667,1.992
29,2619,香江电器,1000,800,800000,"2,000股",2000.0,2.0
30,2619,香江电器,1000,900,900000,"2,000股 + 97名申请人中19名获额外配发1,000股",2195.8762886597938,2.196
31,2619,香江电器,1000,1000,1000000,"2,000股 + 610名申请人中213名获额外配发1,000股",2349.1803278688526,2.349
32,2619,香江电器,1000,1500,1500000,"8,000股 + 912名申请人中507名获额外配发1,000股",8555.921052631578,8.556
33,2619,香江电器,1000,2000,2000000,"10,000股",10000.0,10.0
34,2619,香江电器,1000,2500,2500000,"12,000股",12000.0,12.0
35,2619,香江电器,1000,3000,3000000,"14,000股",14000.0,14.0
36,2619,香江电器,1000,3411,3411000,"15,000股",15000.0,15.0
