,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2629,MIRXES-B,100,1,100,"9,107名申请人中8,652名获发100股",95.004,0.95
1,2629,MIRXES-B,100,2,200,"1,856名申请人中1,811名获发100股",97.576,0.976
2,2629,MIRXES-B,100,3,300,"1,577名申请人中1,561名获发100股",98.985,0.99
3,2629,MIRXES-B,100,4,400,100股,100.0,1.0
4,2629,MIRXES-B,100,5,500,100股 + 989名申请人中49名获发额外100股,104.954,1.05
5,2629,MIRXES-B,100,6,600,100股 + 290名申请人中23名获发额外100股,107.931,1.079
6,2629,MIRXES-B,100,7,700,100股 + 169名申请人中20名获发额外100股,111.834,1.118
7,2629,MIRXES-B,100,8,800,100股 + 264名申请人中32名获发额外100股,112.121,1.121
8,2629,MIRXES-B,100,9,900,100股 + 186名申请人中32名获发额外100股,117.204,1.172
9,2629,MIRXES-B,100,10,1000,"100股 + 1,810名申请人中362名获发额外100股",120.0,1.2
10,2629,MIRXES-B,100,20,2000,100股 + 951名申请人中380名获发额外100股,139.958,1.4
11,2629,MIRXES-B,100,30,3000,100股 + 387名申请人中194名获发额外100股,150.129,1.501
12,2629,MIRXES-B,100,40,4000,100股 + 325名申请人中195名获发额外100股,160.0,1.6
13,2629,MIRXES-B,100,50,5000,100股 + 509名申请人中382名获发额外100股,175.049,1.75
14,2629,MIRXES-B,100,60,6000,100股 + 171名申请人中137名获发额外100股,180.117,1.801
15,2629,MIRXES-B,100,70,7000,200股 + 136名申请人中4名获发额外100股,202.941,2.029
16,2629,MIRXES-B,100,80,8000,200股 + 159名申请人中38名获发额外100股,223.899,2.239
17,2629,MIRXES-B,100,90,9000,200股 + 106名申请人中46名获发额外100股,243.396,2.434
18,2629,MIRXES-B,100,100,10000,200股 + 799名申请人中400名获发额外100股,250.063,2.501
19,2629,MIRXES-B,100,200,20000,400股,400.0,4.0
20,2629,MIRXES-B,100,300,30000,400股 + 131名申请人中66名获发额外100股,450.382,4.504
21,2629,MIRXES-B,100,400,40000,500股 + 61名申请人中37名获发额外100股,560.656,5.607
22,2629,MIRXES-B,100,500,50000,600股 + 208名申请人中104名获发额外100股,650.0,6.5
23,2629,MIRXES-B,100,1000,100000,"1,200股",1200.0,12.0
24,2629,MIRXES-B,100,1500,150000,"1,600股 + 26名申请人中13名获发额外100股",1650.0,16.5
25,2629,MIRXES-B,100,2000,200000,"2,000股",2000.0,20.0
26,2629,MIRXES-B,100,2500,250000,"14,400股 + 61名申请人中32名获发额外100股",14452.459,144.525
27,2629,MIRXES-B,100,3000,300000,"17,300股 + 10名申请人中4名获发额外100股",17340.0,173.4
28,2629,MIRXES-B,100,3500,350000,"20,200股 + 3名申请人中1名获发额外100股",20233.333,202.333
29,2629,MIRXES-B,100,4000,400000,"23,100股",23100.0,231.0
30,2629,MIRXES-B,100,4500,450000,"25,900股 + 8名申请人中5名获发额外100股",25962.5,259.625
31,2629,MIRXES-B,100,5000,500000,"28,800股 + 7名申请人中4名获发额外100股",28857.143,288.571
32,2629,MIRXES-B,100,6000,600000,"34,600股",34600.0,346.0
33,2629,MIRXES-B,100,7000,700000,"40,400股",40400.0,404.0
