代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2632,澤景股份,50,1,50,"11,349名申请，3,405名获发50股",15.0,0.3
2632,澤景股份,50,2,100,"2,708名申请，1,000名获发50股",18.46,0.37
2632,澤景股份,50,3,150,"5,296名申请，2,208名获发50股",20.85,0.42
2632,澤景股份,50,4,200,"3,555名申请，1,616名获发50股",22.73,0.45
2632,澤景股份,50,5,250,429名申请，209名获发50股,24.36,0.49
2632,澤景股份,50,6,300,264名申请，136名获发50股,25.76,0.52
2632,澤景股份,50,7,350,188名申请，102名获发50股,27.13,0.54
2632,澤景股份,50,8,400,192名申请，108名获发50股,28.12,0.56
2632,澤景股份,50,9,450,121名申请，71名获发50股,29.34,0.59
2632,澤景股份,50,10,500,818名申请，490名获发50股,29.95,0.6
2632,澤景股份,50,12,600,185名申请，117名获发50股,31.62,0.63
2632,澤景股份,50,14,700,162名申请，108名获发50股,33.33,0.67
2632,澤景股份,50,16,800,138名申请，95名获发50股,34.42,0.69
2632,澤景股份,50,18,900,216名申请，155名获发50股,35.88,0.72
2632,澤景股份,50,20,1000,"1,279名申请，942名获发50股",36.83,0.74
2632,澤景股份,50,30,1500,563名申请，468名获发50股,41.56,0.83
2632,澤景股份,50,40,2000,"1,038名申请，940名获发50股",45.28,0.91
2632,澤景股份,50,50,2500,307名申请，298名获发50股,48.53,0.97
2632,澤景股份,50,60,3000,240名申请，240名获发50股,50.0,1.0
2632,澤景股份,50,70,3500,166名申请，50股+12名额外获50股,53.61,1.07
2632,澤景股份,50,80,4000,110名申请，50股+13名额外获50股,55.91,1.12
2632,澤景股份,50,90,4500,56名申请，50股+9名额外获50股,58.04,1.16
2632,澤景股份,50,100,5000,169名申请，50股+33名额外获50股,59.76,1.2
2632,澤景股份,50,120,6000,79名申请，50股+21名额外获50股,63.29,1.27
2632,澤景股份,50,140,7000,57名申请，50股+19名额外获50股,66.67,1.33
2632,澤景股份,50,160,8000,62名申请，50股+24名额外获50股,69.35,1.39
2632,澤景股份,50,180,9000,47名申请，50股+20名额外获50股,71.28,1.43
2632,澤景股份,50,200,10000,304名申请，50股+142名额外获50股,73.36,1.47
2632,澤景股份,50,400,20000,227名申请，50股+183名额外获50股,90.31,1.81
2632,澤景股份,50,600,30000,149名申请，100股,100.0,2.0
2632,澤景股份,50,800,40000,94名申请，100股+21名额外获50股,111.17,2.22
2632,澤景股份,50,1000,50000,111名申请，100股+42名额外获50股,118.92,2.38
2632,澤景股份,50,1200,60000,52名申请，100股+26名额外获50股,125.0,2.5
2632,澤景股份,50,1400,70000,28名申请，100股+15名额外获50股,126.79,2.54
2632,澤景股份,50,1600,80000,24名申请，100股+18名额外获50股,137.5,2.75
2632,澤景股份,50,1800,90000,20名申请，100股+16名额外获50股,140.0,2.8
2632,澤景股份,50,2000,100000,224名申请，150股,150.0,3.0
2632,澤景股份,50,4000,200000,"92名申请，3,600股+4名额外获50股",3602.17,72.04
2632,澤景股份,50,6000,300000,"27名申请，5,300股",5300.0,106.0
2632,澤景股份,50,8000,400000,"17名申请，7,000股",7000.0,140.0
2632,澤景股份,50,10000,500000,"9名申请，8,700股",8700.0,174.0
2632,澤景股份,50,12000,600000,"2名申请，10,350股",10350.0,207.0
2632,澤景股份,50,14000,700000,"3名申请，12,000股",12000.0,240.0
2632,澤景股份,50,16226,811300,"6名申请，13,800股",13800.0,276.0
