代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2635,諾比侃,50,1,50,"19,703名申请人中的592名获得50股股份",1.5,0.03
2635,諾比侃,50,2,100,"2,560名申请人中的83名获得50股股份",1.62,0.0324
2635,諾比侃,50,3,150,"1,124名申请人中的49名获得50股股份",2.18,0.0436
2635,諾比侃,50,4,200,765名申请人中的41名获得50股股份,2.68,0.0536
2635,諾比侃,50,5,250,475名申请人中的30名获得50股股份,3.16,0.0632
2635,諾比侃,50,6,300,378名申请人中的27名获得50股股份,3.57,0.0714
2635,諾比侃,50,7,350,191名申请人中的15名获得50股股份,3.93,0.0785
2635,諾比侃,50,8,400,242名申请人中的21名获得50股股份,4.34,0.0868
2635,諾比侃,50,9,450,621名申请人中的58名获得50股股份,4.67,0.0934
2635,諾比侃,50,10,500,"1,219名申请人中的123名获得50股股份",5.05,0.1009
2635,諾比侃,50,12,600,229名申请人中的27名获得50股股份,5.9,0.1179
2635,諾比侃,50,14,700,165名申请人中的21名获得50股股份,6.36,0.1273
2635,諾比侃,50,16,800,168名申请人中的24名获得50股股份,7.14,0.1429
2635,諾比侃,50,18,900,261名申请人中的40名获得50股股份,7.66,0.1533
2635,諾比侃,50,20,1000,842名申请人中的138名获得50股股份,8.19,0.1639
2635,諾比侃,50,30,1500,446名申请人中的97名获得50股股份,10.87,0.2175
2635,諾比侃,50,40,2000,353名申请人中的94名获得50股股份,13.31,0.2663
2635,諾比侃,50,50,2500,275名申请人中的86名获得50股股份,15.64,0.3127
2635,諾比侃,50,60,3000,191名申请人中的68名获得50股股份,17.8,0.356
2635,諾比侃,50,70,3500,135名申请人中的54名获得50股股份,20.0,0.4
2635,諾比侃,50,80,4000,135名申请人中的59名获得50股股份,21.85,0.437
2635,諾比侃,50,90,4500,86名申请人中的41名获得50股股份,23.84,0.4767
2635,諾比侃,50,100,5000,272名申请人中的138名获得50股股份,25.37,0.5074
2635,諾比侃,50,120,6000,165名申请人中的95名获得50股股份,28.79,0.5758
2635,諾比侃,50,140,7000,122名申请人中的79名获得50股股份,32.38,0.6475
2635,諾比侃,50,160,8000,148名申请人中的105名获得50股股份,35.47,0.7095
2635,諾比侃,50,180,9000,105名申请人中的81名获得50股股份,38.57,0.7714
2635,諾比侃,50,200,10000,615名申请人中的506名获得50股股份,41.14,0.8228
2635,諾比侃,50,400,20000,50股股份，另348名申请人中有118名获得额外50股股份,66.95,1.3391
2635,諾比侃,50,600,30000,50股股份，另127名申请人中有99名获得额外50股股份,88.98,1.7795
2635,諾比侃,50,800,40000,100股股份，另139名申请人中有25名获得额外50股股份,108.99,2.1799
2635,諾比侃,50,1000,50000,300股股份,300.0,6.0
2635,諾比侃,50,1200,60000,300股股份，另40名申请人中有38名获得额外50股股份,347.5,6.95
2635,諾比侃,50,1400,70000,350股股份，另23名申请人中有20名获得额外50股股份,393.48,7.8696
2635,諾比侃,50,1600,80000,400股股份，另17名申请人中有13名获得额外50股股份,438.24,8.7647
2635,諾比侃,50,1800,90000,450股股份，另14名申请人中有9名获得额外50股股份,482.14,9.6429
2635,諾比侃,50,2000,100000,500股股份，另15名申请人中有8名获得额外50股股份,526.67,10.5333
2635,諾比侃,50,2400,120000,600股股份，另9名申请人中有2名获得额外50股股份,611.11,12.2222
2635,諾比侃,50,2800,140000,650股股份，另8名申请人中有6名获得额外50股股份,687.5,13.75
2635,諾比侃,50,3200,160000,750股股份，另12名申请人中有4名获得额外50股股份,766.67,15.3333
2635,諾比侃,50,3787,189350,850股股份，另55名申请人中有29名获得额外50股股份,876.36,17.5273
