,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2637,海西新药,1,50,"148,865名中1,489名获发50股",0.5,0.01
1,2637,海西新药,2,100,"36,224名中450名获发50股",0.61,0.0122
2,2637,海西新药,3,150,"8,765名中124名获发50股",0.7,0.014
3,2637,海西新药,4,200,"7,033名中116名获发50股",0.81,0.0162
4,2637,海西新药,5,250,"6,537名中122名获发50股",0.92,0.0184
5,2637,海西新药,6,300,"3,566名中74名获发50股",1.02,0.0204
6,2637,海西新药,7,350,"2,093名中47名获发50股",1.1,0.022
7,2637,海西新药,8,400,"2,164名中52名获发50股",1.17,0.0234
8,2637,海西新药,9,450,"1,596名中41名获发50股",1.25,0.025
9,2637,海西新药,10,500,"12,821名中347名获发50股",1.32,0.0264
10,2637,海西新药,12,600,"2,849名中86名获发50股",1.47,0.0294
11,2637,海西新药,14,700,"1,803名中59名获发50股",1.58,0.0316
12,2637,海西新药,16,800,"1,749名中61名获发50股",1.69,0.0338
13,2637,海西新药,18,900,"1,538名中58名获发50股",1.82,0.0364
14,2637,海西新药,20,1000,"8,440名中333名获发50股",1.9,0.038
15,2637,海西新药,30,1500,"3,849名中189名获发50股",2.34,0.0468
16,2637,海西新药,40,2000,"3,154名中181名获发50股",2.71,0.0542
17,2637,海西新药,50,2500,"2,609名中169名获发50股",3.04,0.0608
18,2637,海西新药,60,3000,"2,083名中149名获发50股",3.34,0.0668
19,2637,海西新药,70,3500,"1,494名中116名获发50股",3.6,0.072
20,2637,海西新药,80,4000,"1,634名中137名获发50股",3.87,0.0774
21,2637,海西新药,90,4500,"1,209名中108名获发50股",4.1,0.082
22,2637,海西新药,100,5000,"3,143名中296名获发50股",4.3,0.086
23,2637,海西新药,120,6000,"2,565名中267名获发50股",4.71,0.0942
24,2637,海西新药,140,7000,"1,644名中186名获发50股",5.08,0.1016
25,2637,海西新药,160,8000,"1,686名中205名获发50股",5.42,0.1084
26,2637,海西新药,180,9000,"1,402名中182名获发50股",5.74,0.1148
27,2637,海西新药,200,10000,"9,486名中1,299名获发50股",6.02,0.1204
28,2637,海西新药,400,20000,"4,522名中901名获发50股",8.31,0.1662
29,2637,海西新药,600,30000,"2,878名中714名获发50股",9.94,0.1988
30,2637,海西新药,800,40000,"2,902名中842名获发50股",11.24,0.2248
31,2637,海西新药,1000,50000,"6,418名中2,100名获发50股",12.32,0.2464
32,2637,海西新药,1200,60000,"4,046名中1,409名获发50股",12.91,0.2582
33,2637,海西新药,1400,70000,"1,534名中597名获发50股",14.01,0.2802
34,2637,海西新药,1600,80000,"1,233名中528名获发50股",14.99,0.2998
35,2637,海西新药,1800,90000,932名中435名获发50股,15.91,0.3182
36,2637,海西新药,2000,100000,"4,368名中2,197名获发50股",16.73,0.3346
37,2637,海西新药,4000,200000,"2,362名中1,957名获发50股",22.65,0.453
38,2637,海西新药,6000,300000,806名中88名获发额外50股,54.92,1.0984
39,2637,海西新药,8000,400000,631名中230名获发额外50股,66.67,1.3334
40,2637,海西新药,10000,500000,280名中169名获发额外50股,68.82,1.3764
41,2637,海西新药,11500,575000,"1,226名中947名获发额外50股",71.79,1.4358
