,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2643,曹操出行,100,1,100,"9,832名申请人中4,916名获得100股",50.0,0.5
1,2643,曹操出行,100,2,200,"3,455名申请人中2,626名获得100股",76.0061,0.7601
2,2643,曹操出行,100,3,300,"1,395名申请人中1,276名获得100股",91.4695,0.9147
3,2643,曹操出行,100,4,400,100股,100.0,1.0
4,2643,曹操出行,100,5,500,"100股 + 1,414名申请人中318名获得额外100股",122.4894,1.2249
5,2643,曹操出行,100,6,600,100股 + 346名申请人中142名获得额外100股,141.0405,1.4104
6,2643,曹操出行,100,7,700,100股 + 215名申请人中131名获得额外100股,160.9302,1.6093
7,2643,曹操出行,100,8,800,100股 + 241名申请人中195名获得额外100股,180.9129,1.8091
8,2643,曹操出行,100,9,900,200股,200.0,2.0
9,2643,曹操出行,100,10,1000,"200股 + 2,300名申请人中230名获得额外100股",210.0,2.1
10,2643,曹操出行,100,15,1500,300股,300.0,3.0
11,2643,曹操出行,100,20,2000,300股 + 776名申请人中466名获得额外100股,360.0515,3.6005
12,2643,曹操出行,100,25,2500,400股,400.0,4.0
13,2643,曹操出行,100,30,3000,400股 + 387名申请人中194名获得额外100股,450.1292,4.5013
14,2643,曹操出行,100,35,3500,500股,500.0,5.0
15,2643,曹操出行,100,40,4000,500股 + 214名申请人中101名获得额外100股,547.1963,5.472
16,2643,曹操出行,100,45,4500,600股,600.0,6.0
17,2643,曹操出行,100,50,5000,600股 + 505名申请人中76名获得额外100股,615.0495,6.1505
18,2643,曹操出行,100,60,6000,700股,700.0,7.0
19,2643,曹操出行,100,70,7000,700股 + 104名申请人中73名获得额外100股,770.1923,7.7019
20,2643,曹操出行,100,80,8000,800股,800.0,8.0
21,2643,曹操出行,100,90,9000,900股,900.0,9.0
22,2643,曹操出行,100,100,10000,"1,000股",1000.0,10.0
23,2643,曹操出行,100,200,20000,"1,800股",1800.0,18.0
24,2643,曹操出行,100,300,30000,"2,500股",2500.0,25.0
25,2643,曹操出行,100,400,40000,"2,800股",2800.0,28.0
26,2643,曹操出行,100,500,50000,"3,300股",3300.0,33.0
27,2643,曹操出行,100,600,60000,"3,500股",3500.0,35.0
28,2643,曹操出行,100,700,70000,"3,700股",3700.0,37.0
29,2643,曹操出行,100,800,80000,"3,800股",3800.0,38.0
30,2643,曹操出行,100,900,90000,"4,000股",4000.0,40.0
31,2643,曹操出行,100,1000,100000,"4,200股",4200.0,42.0
32,2643,曹操出行,100,2000,200000,"52,900股",52900.0,529.0
33,2643,曹操出行,100,3000,300000,"79,300股",79300.0,793.0
34,2643,曹操出行,100,4000,400000,"105,200股",105200.0,1052.0
35,2643,曹操出行,100,5000,500000,"131,200股",131200.0,1312.0
36,2643,曹操出行,100,7500,750000,"196,000股",196000.0,1960.0
37,2643,曹操出行,100,10000,1000000,"261,100股",261100.0,2611.0
