,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2652,長風藥業,500,1,500,"83,975名申请人中840名获发500股",5.0,0.01
1,2652,長風藥業,500,2,1000,"19,181名申请人中193名获发500股",5.03,0.01
2,2652,長風藥業,500,3,1500,"9,535名申请人中97名获发500股",5.09,0.01
3,2652,長風藥業,500,4,2000,"7,889名申请人中82名获发500股",5.2,0.01
4,2652,長風藥業,500,5,2500,"6,257名申请人中66名获发500股",5.27,0.01
5,2652,長風藥業,500,6,3000,"8,435名申请人中91名获发500股",5.4,0.01
6,2652,長風藥業,500,7,3500,"2,718名申请人中30名获发500股",5.52,0.01
7,2652,長風藥業,500,8,4000,"2,956名申请人中33名获发500股",5.58,0.01
8,2652,長風藥業,500,9,4500,"2,051名申请人中24名获发500股",5.85,0.01
9,2652,長風藥業,500,10,5000,"9,073名申请人中109名获发500股",6.01,0.01
10,2652,長風藥業,500,12,6000,"4,702名申请人中57名获发500股",6.06,0.01
11,2652,長風藥業,500,14,7000,"3,636名申请人中45名获发500股",6.19,0.01
12,2652,長風藥業,500,16,8000,"2,535名申请人中32名获发500股",6.31,0.01
13,2652,長風藥業,500,18,9000,"2,102名申请人中28名获发500股",6.66,0.01
14,2652,長風藥業,500,20,10000,"9,251名申请人中128名获发500股",6.92,0.01
15,2652,長風藥業,500,30,15000,"5,904名申请人中114名获发500股",9.66,0.02
16,2652,長風藥業,500,40,20000,"4,843名申请人中110名获发500股",11.36,0.02
17,2652,長風藥業,500,50,25000,"3,822名申请人中87名获发500股",11.38,0.02
18,2652,長風藥業,500,60,30000,"3,701名申请人中100名获发500股",13.51,0.03
19,2652,長風藥業,500,70,35000,"2,778名申请人中78名获发500股",14.04,0.03
20,2652,長風藥業,500,80,40000,"2,463名申请人中71名获发500股",14.41,0.03
21,2652,長風藥業,500,90,45000,"1,957名申请人中58名获发500股",14.82,0.03
22,2652,長風藥業,500,100,50000,"4,353名申请人中130名获发500股",14.93,0.03
23,2652,長風藥業,500,120,60000,"3,165名申请人中95名获发500股",15.01,0.03
24,2652,長風藥業,500,140,70000,"2,635名申请人中82名获发500股",15.56,0.03
25,2652,長風藥業,500,160,80000,"1,989名申请人中62名获发500股",15.59,0.03
26,2652,長風藥業,500,180,90000,"1,733名申请人中55名获发500股",15.87,0.03
27,2652,長風藥業,500,200,100000,"11,553名申请人中368名获发500股",15.92,0.03
28,2652,長風藥業,500,400,200000,"7,222名申请人中295名获发500股",20.43,0.04
29,2652,長風藥業,500,600,300000,"10,501名申请人中560名获发500股",26.66,0.05
