,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2656,健康160,250,1,250,"18,352名申请人中1,468名获发250股",20.0,0.08
1,2656,健康160,250,2,500,"11,615名申请人中931名获发250股",20.05,0.08
2,2656,健康160,250,3,750,"3,509名申请人中283名获发250股",20.18,0.08
3,2656,健康160,250,4,1000,"2,987名申请人中242名获发250股",20.25,0.08
4,2656,健康160,250,5,1250,"1,899名申请人中154名获发250股",20.27,0.08
5,2656,健康160,250,6,1500,"1,655名申请人中135名获发250股",20.39,0.08
6,2656,健康160,250,7,1750,600名申请人中49名获发250股,20.42,0.08
7,2656,健康160,250,8,2000,"1,142名申请人中95名获发250股",20.8,0.08
8,2656,健康160,250,9,2250,369名申请人中31名获发250股,21.0,0.08
9,2656,健康160,250,10,2500,"6,546名申请人中550名获发250股",21.0,0.08
10,2656,健康160,250,20,5000,"3,435名申请人中289名获发250股",21.03,0.08
11,2656,健康160,250,30,7500,"1,951名申请人中165名获发250股",21.14,0.08
12,2656,健康160,250,40,10000,"1,515名申请人中131名获发250股",21.62,0.09
13,2656,健康160,250,50,12500,"1,077名申请人中108名获发250股",25.07,0.1
14,2656,健康160,250,60,15000,781名申请人中87名获发250股,27.85,0.11
15,2656,健康160,250,70,17500,565名申请人中70名获发250股,30.97,0.12
16,2656,健康160,250,80,20000,694名申请人中92名获发250股,33.14,0.13
17,2656,健康160,250,90,22500,435名申请人中61名获发250股,35.06,0.14
18,2656,健康160,250,100,25000,975名申请人中143名获发250股,36.67,0.15
19,2656,健康160,250,120,30000,842名申请人中138名获发250股,40.98,0.16
20,2656,健康160,250,140,35000,595名申请人中105名获发250股,44.12,0.18
21,2656,健康160,250,160,40000,477名申请人中89名获发250股,46.65,0.19
22,2656,健康160,250,180,45000,332名申请人中63名获发250股,47.44,0.19
23,2656,健康160,250,200,50000,719名申请人中138名获发250股,47.98,0.19
24,2656,健康160,250,240,60000,617名申请人中128名获发250股,51.86,0.21
25,2656,健康160,250,280,70000,416名申请人中89名获发250股,53.49,0.21
26,2656,健康160,250,320,80000,247名申请人中60名获发250股,60.73,0.24
27,2656,健康160,250,360,90000,195名申请人中48名获发250股,61.54,0.25
28,2656,健康160,250,400,100000,793名申请人中196名获发250股,61.79,0.25
29,2656,健康160,250,600,150000,500名申请人中135名获发250股,67.5,0.27
30,2656,健康160,250,800,200000,357名申请人中100名获发250股,70.03,0.28
31,2656,健康160,250,1000,250000,289名申请人中82名获发250股,70.93,0.28
32,2656,健康160,250,1200,300000,952名申请人中275名获发250股,72.06,0.29
