,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2657,林清轩,1,50,"58,014名中1,161名获发50股",0.98,0.0196
1,2657,林清轩,2,100,"27,715名中781名获发50股",1.37,0.0274
2,2657,林清轩,3,150,"4,030名中139名获发50股",1.67,0.0334
3,2657,林清轩,4,200,"3,482名中138名获发50股",1.91,0.0382
4,2657,林清轩,5,250,"2,412名中107名获发50股",2.12,0.0424
5,2657,林清轩,6,300,"1,993名中97名获发50股",2.32,0.0464
6,2657,林清轩,7,350,998名中53名获发50股,2.52,0.0504
7,2657,林清轩,8,400,"1,331名中75名获发50股",2.67,0.0534
8,2657,林清轩,9,450,864名中52名获发50股,2.84,0.0568
9,2657,林清轩,10,500,"4,662名中291名获发50股",2.94,0.0588
10,2657,林清轩,12,600,"10,714名中730名获发50股",3.19,0.0638
11,2657,林清轩,14,700,"1,543名中114名获发50股",3.44,0.0688
12,2657,林清轩,16,800,"1,325名中104名获发50股",3.64,0.0728
13,2657,林清轩,18,900,"1,099名中92名获发50股",3.86,0.0772
14,2657,林清轩,20,1000,"5,656名中496名获发50股",4.03,0.0806
15,2657,林清轩,30,1500,"2,917名中312名获发50股",4.83,0.0966
16,2657,林清轩,40,2000,"2,292名中283名获发50股",5.49,0.1098
17,2657,林清轩,50,2500,"1,862名中257名获发50股",6.06,0.1212
18,2657,林清轩,60,3000,"1,466名中221名获发50股",6.55,0.131
19,2657,林清轩,70,3500,959名中156名获发50股,7.0,0.14
20,2657,林清轩,80,4000,"1,055名中183名获发50股",7.39,0.1478
21,2657,林清轩,90,4500,741名中137名获发50股,7.8,0.156
22,2657,林清轩,100,5000,"1,946名中377名获发50股",8.11,0.1622
23,2657,林清轩,120,6000,"1,305名中277名获发50股",8.75,0.175
24,2657,林清轩,140,7000,"1,196名中274名获发50股",9.32,0.1864
25,2657,林清轩,160,8000,"1,057名中259名获发50股",9.84,0.1968
26,2657,林清轩,180,9000,955名中248名获发50股,10.31,0.2062
27,2657,林清轩,200,10000,"5,825名中1,588名获发50股",10.71,0.2142
28,2657,林清轩,400,20000,"4,246名中1,629名获发50股",13.86,0.2772
29,2657,林清轩,600,30000,"2,059名中965名获发50股",15.96,0.3192
30,2657,林清轩,800,40000,"1,304名中704名获发50股",17.53,0.3506
31,2657,林清轩,1000,50000,"1,069名中645名获发50股",18.82,0.3764
32,2657,林清轩,1200,60000,"1,550名中1,022名获发50股",19.87,0.3974
33,2657,林清轩,1400,70000,"4,934名中1,283名获发额外50股",60.32,1.2064
34,2657,林清轩,1600,80000,965名中293名获发额外50股,65.22,1.3044
35,2657,林清轩,1800,90000,584名中201名获发额外50股,70.06,1.4012
36,2657,林清轩,2000,100000,"1,879名中713名获发额外50股",75.17,1.5034
37,2657,林清轩,4000,200000,883名中569名获发额外50股,115.15,2.303
38,2657,林清轩,6000,300000,332名中274名获发额外50股,172.61,3.4522
39,2657,林清轩,8000,400000,140名中135名获发额外50股,224.55,4.491
40,2657,林清轩,10000,500000,63名中0名获发额外50股,100.0,2.0
41,2657,林清轩,12000,600000,58名中10名获发额外50股,119.12,2.3824
42,2657,林清轩,13966,698300,232名中65名获发额外50股,120.54,2.4108
