,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2659,寶濟藥業,100,1,100,"84,381名申请人中5,907名获发100股",7.0,0.07
1,2659,寶濟藥業,100,2,200,"13,791名申请人中988名获发100股",7.16,0.07
2,2659,寶濟藥業,100,3,300,"22,684名申请人中1,630名获发100股",7.2,0.07
3,2659,寶濟藥業,100,4,400,"11,164名申请人中803名获发100股",7.2,0.07
4,2659,寶濟藥業,100,5,500,"8,334名申请人中601名获发100股",7.2,0.07
5,2659,寶濟藥業,100,6,600,"4,781名申请人中345名获发100股",7.2,0.07
6,2659,寶濟藥業,100,7,700,"5,393名申请人中390名获发100股",7.2,0.07
7,2659,寶濟藥業,100,8,800,"4,482名申请人中326名获发100股",7.2,0.07
8,2659,寶濟藥業,100,9,900,"3,413名申请人中249名获发100股",7.2,0.07
9,2659,寶濟藥業,100,10,1000,"19,870名申请人中1,455名获发100股",7.3,0.07
10,2659,寶濟藥業,100,15,1500,"14,403名申请人中1,056名获发100股",7.35,0.07
11,2659,寶濟藥業,100,20,2000,"3,636名申请人中267名获发100股",7.36,0.07
12,2659,寶濟藥業,100,25,2500,"2,149名申请人中158名获发100股",7.36,0.07
13,2659,寶濟藥業,100,30,3000,"2,532名申请人中187名获发100股",7.39,0.07
14,2659,寶濟藥業,100,35,3500,"3,116名申请人中231名获发100股",7.41,0.07
15,2659,寶濟藥業,100,40,4000,"2,146名申请人中160名获发100股",7.44,0.07
16,2659,寶濟藥業,100,45,4500,"1,237名申请人中93名获发100股",7.52,0.08
17,2659,寶濟藥業,100,50,5000,"2,649名申请人中200名获发100股",7.55,0.08
18,2659,寶濟藥業,100,60,6000,"1,941名申请人中147名获发100股",7.57,0.08
19,2659,寶濟藥業,100,70,7000,"1,925名申请人中146名获发100股",7.59,0.08
20,2659,寶濟藥業,100,80,8000,"1,767名申请人中135名获发100股",7.64,0.08
21,2659,寶濟藥業,100,90,9000,"1,251名申请人中96名获发100股",7.67,0.08
22,2659,寶濟藥業,100,100,10000,"9,654名申请人中741名获发100股",7.68,0.08
23,2659,寶濟藥業,100,200,20000,"6,337名申请人中487名获发100股",7.68,0.08
24,2659,寶濟藥業,100,300,30000,"4,147名申请人中319名获发100股",7.69,0.08
25,2659,寶濟藥業,100,400,40000,"3,476名申请人中268名获发100股",7.71,0.08
26,2659,寶濟藥業,100,500,50000,"2,566名申请人中198名获发100股",7.71,0.08
27,2659,寶濟藥業,100,600,60000,"1,997名申请人中155名获发100股",7.76,0.08
28,2659,寶濟藥業,100,700,70000,"1,465名申请人中114名获发100股",7.78,0.08
29,2659,寶濟藥業,100,800,80000,"1,588名申请人中124名获发100股",7.81,0.08
30,2659,寶濟藥業,100,900,90000,"1,250名申请人中98名获发100股",7.84,0.08
31,2659,寶濟藥業,100,1000,100000,"11,249名申请人中882名获发100股",7.84,0.08
