代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2661,輕鬆健康,200,1,200,"34,540名申请人中的2,072名获得200股股份",12.0,0.06
2661,輕鬆健康,200,2,400,"17,846名申请人中的1,086名获得200股股份",12.17,0.0609
2661,輕鬆健康,200,3,600,"3,549名申请人中的216名获得200股股份",12.17,0.0609
2661,輕鬆健康,200,4,800,"2,591名申请人中的158名获得200股股份",12.2,0.061
2661,輕鬆健康,200,5,1000,"2,740名申请人中的168名获得200股股份",12.26,0.0613
2661,輕鬆健康,200,6,1200,"1,396名申请人中的86名获得200股股份",12.32,0.0616
2661,輕鬆健康,200,7,1400,836名申请人中的52名获得200股股份,12.44,0.0622
2661,輕鬆健康,200,8,1600,794名申请人中的50名获得200股股份,12.59,0.063
2661,輕鬆健康,200,9,1800,776名申请人中的49名获得200股股份,12.63,0.0631
2661,輕鬆健康,200,10,2000,"9,968名申请人中的630名获得200股股份",12.64,0.0632
2661,輕鬆健康,200,15,3000,"1,864名申请人中的118名获得200股股份",12.66,0.0633
2661,輕鬆健康,200,20,4000,"2,265名申请人中的145名获得200股股份",12.8,0.064
2661,輕鬆健康,200,25,5000,"1,647名申请人中的106名获得200股股份",12.87,0.0644
2661,輕鬆健康,200,30,6000,"1,418名申请人中的92名获得200股股份",12.98,0.0649
2661,輕鬆健康,200,35,7000,"1,040名申请人中的68名获得200股股份",13.08,0.0654
2661,輕鬆健康,200,40,8000,"1,112名申请人中的73名获得200股股份",13.13,0.0656
2661,輕鬆健康,200,45,9000,949名申请人中的63名获得200股股份,13.28,0.0664
2661,輕鬆健康,200,50,10000,"5,330名申请人中的355名获得200股股份",13.32,0.0666
2661,輕鬆健康,200,100,20000,"3,161名申请人中的211名获得200股股份",13.35,0.0668
2661,輕鬆健康,200,150,30000,"1,703名申请人中的114名获得200股股份",13.39,0.0669
2661,輕鬆健康,200,200,40000,"1,649名申请人中的111名获得200股股份",13.46,0.0673
2661,輕鬆健康,200,250,50000,"3,825名申请人中的258名获得200股股份",13.49,0.0675
2661,輕鬆健康,200,500,100000,"2,346名申请人中的159名获得200股股份",13.55,0.0678
2661,輕鬆健康,200,750,150000,"1,333名申请人中的91名获得200股股份",13.65,0.0683
2661,輕鬆健康,200,1000,200000,"1,513名申请人中的104名获得200股股份",13.75,0.0687
2661,輕鬆健康,200,1250,250000,"200股股份，另2,587名申请人中有404名获得额外200股股份",231.23,1.1562
2661,輕鬆健康,200,1500,300000,200股股份，另908名申请人中有142名获得额外200股股份,231.28,1.1564
2661,輕鬆健康,200,1750,350000,200股股份，另358名申请人中有56名获得额外200股股份,231.28,1.1564
2661,輕鬆健康,200,2000,400000,200股股份，另326名申请人中有51名获得额外200股股份,231.29,1.1564
2661,輕鬆健康,200,2250,450000,200股股份，另197名申请人中有31名获得额外200股股份,231.47,1.1574
2661,輕鬆健康,200,2500,500000,200股股份，另158名申请人中有25名获得额外200股股份,231.65,1.1582
2661,輕鬆健康,200,2750,550000,200股股份，另86名申请人中有14名获得额外200股股份,232.56,1.1628
2661,輕鬆健康,200,3000,600000,200股股份，另171名申请人中有29名获得额外200股股份,233.92,1.1696
2661,輕鬆健康,200,3500,700000,200股股份，另111名申请人中有19名获得额外200股股份,234.23,1.1712
2661,輕鬆健康,200,4000,800000,200股股份，另120名申请人中有21名获得额外200股股份,235.0,1.175
2661,輕鬆健康,200,4500,900000,200股股份，另50名申请人中有9名获得额外200股股份,236.0,1.18
2661,輕鬆健康,200,5000,1000000,200股股份，另71名申请人中有13名获得额外200股股份,236.62,1.1831
2661,輕鬆健康,200,5500,1100000,200股股份，另37名申请人中有7名获得额外200股股份,237.84,1.1892
2661,輕鬆健康,200,6000,1200000,200股股份，另69名申请人中有14名获得额外200股股份,240.58,1.2029
2661,輕鬆健康,200,6635,1327000,200股股份，另454名申请人中有97名获得额外200股股份,242.73,1.2137
