,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2670,云迹,1,50,"101,915名中3,058名获发50股",1.46,0.0292
1,2670,云迹,2,100,"34,641名中1,256名获发50股",1.75,0.035
2,2670,云迹,3,150,"7,025名中285名获发50股",1.95,0.039
3,2670,云迹,4,200,"7,333名中322名获发50股",2.1,0.042
4,2670,云迹,5,250,"4,877名中228名获发50股",2.23,0.0446
5,2670,云迹,6,300,"3,877名中190名获发50股",2.34,0.0468
6,2670,云迹,7,350,"1,941名中100名获发50股",2.45,0.049
7,2670,云迹,8,400,"2,412名中128名获发50股",2.52,0.0504
8,2670,云迹,9,450,"1,692名中93名获发50股",2.61,0.0522
9,2670,云迹,10,500,"14,341名中807名获发50股",2.66,0.0532
10,2670,云迹,12,600,"2,670名中158名获发50股",2.79,0.0558
11,2670,云迹,14,700,"1,897名中117名获发50股",2.91,0.0582
12,2670,云迹,16,800,"2,111名中135名获发50股",3.01,0.0602
13,2670,云迹,18,900,"1,627名中108名获发50股",3.11,0.0622
14,2670,云迹,20,1000,"9,525名中648名获发50股",3.18,0.0636
15,2670,云迹,30,1500,"4,448名中338名获发50股",3.53,0.0706
16,2670,云迹,40,2000,"3,779名中311名获发50股",3.8,0.076
17,2670,云迹,50,2500,"2,610名中228名获发50股",4.02,0.0804
18,2670,云迹,60,3000,"2,576名中237名获发50股",4.21,0.0842
19,2670,云迹,70,3500,"1,694名中163名获发50股",4.39,0.0878
20,2670,云迹,80,4000,"1,843名中183名获发50股",4.52,0.0904
21,2670,云迹,90,4500,"1,459名中150名获发50股",4.66,0.0932
22,2670,云迹,100,5000,"3,753名中396名获发50股",4.77,0.0954
23,2670,云迹,120,6000,"2,329名中259名获发50股",5.0,0.1
24,2670,云迹,140,7000,"1,932名中224名获发50股",5.19,0.1038
25,2670,云迹,160,8000,"1,883名中226名获发50股",5.36,0.1072
26,2670,云迹,180,9000,"1,487名中185名获发50股",5.53,0.1106
27,2670,云迹,200,10000,"8,140名中1,038名获发50股",5.65,0.113
28,2670,云迹,400,20000,"4,138名中638名获发50股",6.68,0.1336
29,2670,云迹,600,30000,"2,780名中479名获发50股",7.35,0.147
30,2670,云迹,800,40000,"2,068名中385名获发50股",7.85,0.157
31,2670,云迹,1000,50000,"3,677名中727名获发50股",8.26,0.1652
32,2670,云迹,1200,60000,"3,271名中2,748名获发50股",22.84,0.4568
33,2670,云迹,1400,70000,995名中919名获发50股,24.01,0.4802
34,2670,云迹,1600,80000,75名中75名获发50股,50.0,1.0
35,2670,云迹,1800,90000,647名中49名获发额外50股,53.52,1.0704
36,2670,云迹,2000,100000,"1,029名中151名获发额外50股",56.41,1.1282
37,2670,云迹,2400,120000,662名中187名获发额外50股,61.01,1.2202
38,2670,云迹,2800,140000,752名中307名获发额外50股,64.5,1.29
39,2670,云迹,3450,172500,"3,499名中2,093名获发额外50股",79.92,1.5984
