,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2671,美联股份,1,300,"22,510名中168名获发300股股份",2.22,0.0074
1,2671,美联股份,2,600,"3,691名中55名获发300股股份",4.4,0.0147
2,2671,美联股份,3,900,"15,166名中341名获发300股股份",6.6,0.022
3,2671,美联股份,4,1200,676名中20名获发300股股份,8.62,0.0287
4,2671,美联股份,5,1500,569名中21名获发300股股份,10.68,0.0356
5,2671,美联股份,6,1800,301名中13名获发300股股份,12.42,0.0414
6,2671,美联股份,7,2100,270名中13名获发300股股份,13.78,0.0459
7,2671,美联股份,8,2400,253名中13名获发300股股份,14.66,0.0489
8,2671,美联股份,9,2700,198名中11名获发300股股份,15.79,0.0526
9,2671,美联股份,10,3000,"1,690名中104名获发300股股份",17.39,0.058
10,2671,美联股份,15,4500,"4,662名中433名获发300股股份",25.49,0.085
11,2671,美联股份,20,6000,413名中50名获发300股股份,32.4,0.108
12,2671,美联股份,25,7500,191名中27名获发300股股份,37.16,0.1239
13,2671,美联股份,30,9000,190名中32名获发300股股份,43.24,0.1441
14,2671,美联股份,35,10500,390名中77名获发300股股份,49.47,0.1649
15,2671,美联股份,40,12000,191名中43名获发300股股份,55.13,0.1838
16,2671,美联股份,45,13500,112名中28名获发300股股份,60.0,0.2
17,2671,美联股份,50,15000,470名中131名获发300股股份,65.39,0.218
18,2671,美联股份,100,30000,522名中290名获发300股股份,107.14,0.3571
19,2671,美联股份,150,45000,242名中202名获发300股股份,136.49,0.455
20,2671,美联股份,200,60000,155名中18名获发额外300股股份,331.21,1.104
21,2671,美联股份,250,75000,93名中37名获发额外300股股份,385.38,1.2846
22,2671,美联股份,300,90000,71名中48名获发额外300股股份,421.01,1.4034
23,2671,美联股份,350,105000,48名中46名获发额外300股股份,446.81,1.4894
24,2671,美联股份,400,120000,46名中11名获发额外300股股份,657.89,2.193
25,2671,美联股份,450,135000,30名中15名获发额外300股股份,700.0,2.3333
26,2671,美联股份,500,150000,107名中83名获发额外300股股份,731.05,2.4368
27,2671,美联股份,700,210000,64名中57名获发额外300股股份,891.74,2.9725
28,2671,美联股份,900,270000,55名中0名获发额外300股股份,1500.0,5.0
29,2671,美联股份,1100,330000,20名中3名获发额外300股股份,1604.35,5.3478
30,2671,美联股份,1300,390000,16名中2名获发额外300股股份,1833.33,6.1111
31,2671,美联股份,1500,450000,11名中2名获发额外300股股份,1846.15,6.1538
32,2671,美联股份,1700,510000,20名中6名获发额外300股股份,1765.38,5.8846
