代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2675,精鋒醫療-B,100,1,100,"91,082名申请人中的456名获得100股股份",0.5,0.005
2675,精鋒醫療-B,100,2,200,"28,073名申请人中的242名获得100股股份",0.86,0.0086
2675,精鋒醫療-B,100,3,300,"3,955名申请人中的47名获得100股股份",1.19,0.0119
2675,精鋒醫療-B,100,4,400,"1,934名申请人中的29名获得100股股份",1.5,0.015
2675,精鋒醫療-B,100,5,500,"2,746名申请人中的49名获得100股股份",1.78,0.0178
2675,精鋒醫療-B,100,6,600,"1,206名申请人中的25名获得100股股份",2.07,0.0207
2675,精鋒醫療-B,100,7,700,957名申请人中的22名获得100股股份,2.3,0.023
2675,精鋒醫療-B,100,8,800,"1,046名申请人中的27名获得100股股份",2.58,0.0258
2675,精鋒醫療-B,100,9,900,771名申请人中的22名获得100股股份,2.85,0.0285
2675,精鋒醫療-B,100,10,1000,"17,714名申请人中的532名获得100股股份",3.0,0.03
2675,精鋒醫療-B,100,15,1500,"2,607名申请人中的108名获得100股股份",4.14,0.0414
2675,精鋒醫療-B,100,20,2000,"4,622名申请人中的238名获得100股股份",5.15,0.0515
2675,精鋒醫療-B,100,25,2500,"2,431名申请人中的149名获得100股股份",6.13,0.0613
2675,精鋒醫療-B,100,30,3000,"1,627名申请人中的115名获得100股股份",7.07,0.0707
2675,精鋒醫療-B,100,35,3500,894名申请人中的72名获得100股股份,8.05,0.0805
2675,精鋒醫療-B,100,40,4000,"1,004名申请人中的89名获得100股股份",8.86,0.0886
2675,精鋒醫療-B,100,45,4500,811名申请人中的79名获得100股股份,9.74,0.0974
2675,精鋒醫療-B,100,50,5000,"1,853名申请人中的195名获得100股股份",10.52,0.1052
2675,精鋒醫療-B,100,60,6000,"1,167名申请人中的142名获得100股股份",12.17,0.1217
2675,精鋒醫療-B,100,70,7000,947名申请人中的130名获得100股股份,13.73,0.1373
2675,精鋒醫療-B,100,80,8000,872名申请人中的132名获得100股股份,15.14,0.1514
2675,精鋒醫療-B,100,90,9000,686名申请人中的114名获得100股股份,16.62,0.1662
2675,精鋒醫療-B,100,100,10000,"5,686名申请人中的1,024名获得100股股份",18.01,0.1801
2675,精鋒醫療-B,100,200,20000,"3,901名申请人中的1,205名获得100股股份",30.89,0.3089
2675,精鋒醫療-B,100,300,30000,"2,405名申请人中的1,019名获得100股股份",42.37,0.4237
2675,精鋒醫療-B,100,400,40000,"1,268名申请人中的672名获得100股股份",53.0,0.53
2675,精鋒醫療-B,100,500,50000,"1,324名申请人中的835名获得100股股份",63.07,0.6307
2675,精鋒醫療-B,100,600,60000,797名申请人中的579名获得100股股份,72.65,0.7265
2675,精鋒醫療-B,100,700,70000,686名申请人中的562名获得100股股份,81.92,0.8192
2675,精鋒醫療-B,100,800,80000,557名申请人中的507名获得100股股份,91.02,0.9102
2675,精鋒醫療-B,100,900,90000,100股股份,100.0,1.0
2675,精鋒醫療-B,100,1000,100000,"100股股份，另3,693名申请人中有297名获得额外100股股份",108.04,1.0804
2675,精鋒醫療-B,100,2000,200000,"100股股份，另4,438名申请人中有3,551名获得额外100股股份",180.01,1.8001
2675,精鋒醫療-B,100,3000,300000,200股股份，另769名申请人中有165名获得额外100股股份,221.46,2.2146
2675,精鋒醫療-B,100,4000,400000,200股股份，另315名申请人中有178名获得额外100股股份,256.51,2.5651
2675,精鋒醫療-B,100,5000,500000,200股股份，另209名申请人中有183名获得额外100股股份,287.56,2.8756
2675,精鋒醫療-B,100,6000,600000,300股股份,300.0,3.0
2675,精鋒醫療-B,100,7000,700000,300股股份，另85名申请人中有26名获得额外100股股份,330.59,3.3059
2675,精鋒醫療-B,100,8000,800000,300股股份，另66名申请人中有45名获得额外100股股份,368.18,3.6818
2675,精鋒醫療-B,100,9000,900000,300股股份，另30名申请人中有25名获得额外100股股份,383.33,3.8333
2675,精鋒醫療-B,100,10000,1000000,400股股份,400.0,4.0
2675,精鋒醫療-B,100,13861,1386100,400股股份，另285名申请人中有274名获得额外100股股份,496.14,4.9614
