代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2677,卓正醫療,50,1,50,"59,805名申请人中的599名获得50股股份",0.5,0.01
2677,卓正醫療,50,2,100,"32,178名申请人中的454名获得50股股份",0.71,0.0141
2677,卓正醫療,50,3,150,"4,772名申请人中的83名获得50股股份",0.87,0.0174
2677,卓正醫療,50,4,200,"2,600名申请人中的52名获得50股股份",1.0,0.02
2677,卓正醫療,50,5,250,"2,317名申请人中的52名获得50股股份",1.12,0.0224
2677,卓正醫療,50,6,300,"1,991名申请人中的49名获得50股股份",1.23,0.0246
2677,卓正醫療,50,7,350,965名申请人中的26名获得50股股份,1.35,0.0269
2677,卓正醫療,50,8,400,"1,425名申请人中的40名获得50股股份",1.4,0.0281
2677,卓正醫療,50,9,450,884名申请人中的27名获得50股股份,1.53,0.0305
2677,卓正醫療,50,10,500,"5,215名申请人中的164名获得50股股份",1.57,0.0314
2677,卓正醫療,50,12,600,"1,283名申请人中的44名获得50股股份",1.71,0.0343
2677,卓正醫療,50,14,700,"2,538名申请人中的94名获得50股股份",1.85,0.037
2677,卓正醫療,50,16,800,"1,061名申请人中的42名获得50股股份",1.98,0.0396
2677,卓正醫療,50,18,900,687名申请人中的29名获得50股股份,2.11,0.0422
2677,卓正醫療,50,20,1000,"3,611名申请人中的160名获得50股股份",2.22,0.0443
2677,卓正醫療,50,30,1500,"2,126名申请人中的115名获得50股股份",2.7,0.0541
2677,卓正醫療,50,40,2000,"1,151名申请人中的72名获得50股股份",3.13,0.0626
2677,卓正醫療,50,50,2500,"1,053名申请人中的74名获得50股股份",3.51,0.0703
2677,卓正醫療,50,60,3000,858名申请人中的66名获得50股股份,3.85,0.0769
2677,卓正醫療,50,70,3500,539名申请人中的45名获得50股股份,4.17,0.0835
2677,卓正醫療,50,80,4000,503名申请人中的45名获得50股股份,4.47,0.0895
2677,卓正醫療,50,90,4500,432名申请人中的41名获得50股股份,4.75,0.0949
2677,卓正醫療,50,100,5000,"1,308名申请人中的128名获得50股股份",4.89,0.0979
2677,卓正醫療,50,120,6000,671名申请人中的72名获得50股股份,5.37,0.1073
2677,卓正醫療,50,140,7000,564名申请人中的66名获得50股股份,5.85,0.117
2677,卓正醫療,50,160,8000,597名申请人中的74名获得50股股份,6.2,0.124
2677,卓正醫療,50,180,9000,501名申请人中的66名获得50股股份,6.59,0.1317
2677,卓正醫療,50,200,10000,"3,098名申请人中的428名获得50股股份",6.91,0.1382
2677,卓正醫療,50,400,20000,"1,735名申请人中的338名获得50股股份",9.74,0.1948
2677,卓正醫療,50,600,30000,"1,192名申请人中的284名获得50股股份",11.91,0.2383
2677,卓正醫療,50,800,40000,770名申请人中的211名获得50股股份,13.7,0.274
2677,卓正醫療,50,1000,50000,743名申请人中的228名获得50股股份,15.34,0.3069
2677,卓正醫療,50,1200,60000,546名申请人中的183名获得50股股份,16.76,0.3352
2677,卓正醫療,50,1400,70000,826名申请人中的299名获得50股股份,18.1,0.362
2677,卓正醫療,50,1600,80000,"2,427名申请人中的1,554名获得50股股份",32.01,0.6403
2677,卓正醫療,50,1800,90000,522名申请人中的336名获得50股股份,32.18,0.6437
2677,卓正醫療,50,2000,100000,"1,415名申请人中的914名获得50股股份",32.3,0.6459
2677,卓正醫療,50,3000,150000,"1,178名申请人中的773名获得50股股份",32.81,0.6562
2677,卓正醫療,50,4750,237500,"1,757名申请人中的1,173名获得50股股份",33.38,0.6676
