,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2685,量化派,1,500,"52,201名获0股, 314名获500股",2.99,0.00598
1,2685,量化派,2,1000,"34,319名获0股, 207名获500股",3.0,0.006
2,2685,量化派,3,1500,"4,315名获0股, 27名获500股",3.11,0.00622
3,2685,量化派,4,2000,"3,480名获0股, 25名获500股",3.57,0.00714
4,2685,量化派,5,2500,"2,636名获0股, 17名获500股",3.2,0.0064
5,2685,量化派,6,3000,"2,085名获0股, 15名获500股",3.57,0.00714
6,2685,量化派,7,3500,"1,816名获0股, 15名获500股",4.1,0.0082
7,2685,量化派,8,4000,"1,291名获0股, 10名获500股",3.84,0.00768
8,2685,量化派,9,4500,"1,004名获0股, 5名获500股",2.48,0.00496
9,2685,量化派,10,5000,"6,591名获0股, 55名获500股",4.14,0.00828
10,2685,量化派,12,6000,"1,969名获0股, 16名获500股",4.03,0.00806
11,2685,量化派,14,7000,"1,154名获0股, 10名获500股",4.3,0.0086
12,2685,量化派,16,8000,"1,038名获0股, 10名获500股",4.77,0.00954
13,2685,量化派,18,9000,"954名获0股, 6名获500股",3.13,0.00626
14,2685,量化派,20,10000,"4,626名获0股, 49名获500股",5.24,0.01048
15,2685,量化派,30,15000,"2,399名获0股, 26名获500股",5.36,0.01072
16,2685,量化派,40,20000,"1,716名获0股, 19名获500股",5.48,0.01096
17,2685,量化派,50,25000,"1,333名获0股, 15名获500股",5.56,0.01112
18,2685,量化派,60,30000,"1,009名获0股, 12名获500股",5.88,0.01176
19,2685,量化派,70,35000,"731名获0股, 9名获500股",6.08,0.01216
20,2685,量化派,80,40000,"801名获0股, 10名获500股",6.16,0.01232
21,2685,量化派,90,45000,"609名获0股, 8名获500股",6.48,0.01296
22,2685,量化派,100,50000,"1,610名获0股, 22名获500股",6.74,0.01348
23,2685,量化派,120,60000,"1,018名获0股, 14名获500股",6.78,0.01356
24,2685,量化派,140,70000,"804名获0股, 12名获500股",7.35,0.0147
25,2685,量化派,160,80000,"783名获0股, 12名获500股",7.55,0.0151
26,2685,量化派,180,90000,"648名获0股, 10名获500股",7.6,0.0152
27,2685,量化派,200,100000,"1,656名获0股, 26名获500股",7.73,0.01546
28,2685,量化派,240,120000,"1,027名获0股, 17名获500股",8.14,0.01628
29,2685,量化派,280,140000,"760名获0股, 13名获500股",8.41,0.01682
30,2685,量化派,320,160000,"609名获0股, 11名获500股",8.87,0.01774
31,2685,量化派,360,180000,"560名获0股, 11名获500股",9.63,0.01926
32,2685,量化派,400,200000,"1,421名获0股, 30名获500股",10.34,0.02068
33,2685,量化派,500,250000,"1,068名获0股, 28名获500股",12.77,0.02554
34,2685,量化派,600,300000,"974名获0股, 31名获500股",15.42,0.03084
35,2685,量化派,700,350000,"753名获0股, 28名获500股",17.93,0.03586
36,2685,量化派,800,400000,"1,311名获0股, 55名获500股",20.13,0.04026
37,2685,量化派,1000,500000,"2,549名获0股, 136名获500股",25.33,0.05066
38,2685,量化派,1200,600000,"1,931名获0股, 233名获500股",53.84,0.10768
39,2685,量化派,1335,667500,"9,098名获0股, 1,102名获500股",54.02,0.10804
