,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2687,卓越睿新,100,1,100,"57,307名申请人中574名获发100股",1.0,0.01
1,2687,卓越睿新,100,2,200,"6,619名申请人中87名获发100股",1.31,0.01
2,2687,卓越睿新,100,3,300,"3,768名申请人中58名获发100股",1.54,0.02
3,2687,卓越睿新,100,4,400,"3,175名申请人中55名获发100股",1.73,0.02
4,2687,卓越睿新,100,5,500,"2,508名申请人中47名获发100股",1.87,0.02
5,2687,卓越睿新,100,6,600,"4,231名申请人中85名获发100股",2.01,0.02
6,2687,卓越睿新,100,7,700,"1,357名申请人中29名获发100股",2.14,0.02
7,2687,卓越睿新,100,8,800,"1,001名申请人中23名获发100股",2.3,0.02
8,2687,卓越睿新,100,9,900,814名申请人中20名获发100股,2.46,0.02
9,2687,卓越睿新,100,10,1000,"5,282名申请人中130名获发100股",2.46,0.02
10,2687,卓越睿新,100,15,1500,"2,469名申请人中71名获发100股",2.88,0.03
11,2687,卓越睿新,100,20,2000,"1,707名申请人中55名获发100股",3.22,0.03
12,2687,卓越睿新,100,25,2500,"1,353名申请人中48名获发100股",3.55,0.04
13,2687,卓越睿新,100,30,3000,"1,156名申请人中44名获发100股",3.81,0.04
14,2687,卓越睿新,100,35,3500,813名申请人中33名获发100股,4.06,0.04
15,2687,卓越睿新,100,40,4000,889名申请人中38名获发100股,4.28,0.04
16,2687,卓越睿新,100,45,4500,659名申请人中29名获发100股,4.4,0.04
17,2687,卓越睿新,100,50,5000,"1,426名申请人中66名获发100股",4.63,0.05
18,2687,卓越睿新,100,60,6000,"1,184名申请人中59名获发100股",4.98,0.05
19,2687,卓越睿新,100,70,7000,"1,213名申请人中64名获发100股",5.28,0.05
20,2687,卓越睿新,100,80,8000,"1,106名申请人中61名获发100股",5.52,0.06
21,2687,卓越睿新,100,90,9000,827名申请人中48名获发100股,5.8,0.06
22,2687,卓越睿新,100,100,10000,"5,464名申请人中327名获发100股",5.98,0.06
23,2687,卓越睿新,100,200,20000,"3,273名申请人中257名获发100股",7.85,0.08
24,2687,卓越睿新,100,300,30000,"2,376名申请人中218名获发100股",9.18,0.09
25,2687,卓越睿新,100,400,40000,"2,114名申请人中217名获发100股",10.27,0.1
26,2687,卓越睿新,100,500,50000,"1,675名申请人中188名获发100股",11.22,0.11
27,2687,卓越睿新,100,600,60000,"3,356名申请人中403名获发100股",12.0,0.12
