代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2692,兆威機電,100,1,100,"64,785名申请人中的2,592名获得100股股份",4.0,0.04
2692,兆威機電,100,2,200,"7,953名申请人中的331名获得100股股份",4.16,0.0416
2692,兆威機電,100,3,300,"6,262名申请人中的267名获得100股股份",4.26,0.0426
2692,兆威機電,100,4,400,"3,509名申请人中的167名获得100股股份",4.76,0.0476
2692,兆威機電,100,5,500,"3,748名申请人中的193名获得100股股份",5.15,0.0515
2692,兆威機電,100,6,600,"7,930名申请人中的437名获得100股股份",5.51,0.0551
2692,兆威機電,100,7,700,"1,592名申请人中的93名获得100股股份",5.84,0.0584
2692,兆威機電,100,8,800,"1,308名申请人中的81名获得100股股份",6.19,0.0619
2692,兆威機電,100,9,900,"1,618名申请人中的104名获得100股股份",6.43,0.0643
2692,兆威機電,100,10,1000,"8,934名申请人中的594名获得100股股份",6.65,0.0665
2692,兆威機電,100,15,1500,"3,841名申请人中的297名获得100股股份",7.73,0.0773
2692,兆威機電,100,20,2000,"3,540名申请人中的305名获得100股股份",8.62,0.0862
2692,兆威機電,100,25,2500,"2,552名申请人中的239名获得100股股份",9.37,0.0937
2692,兆威機電,100,30,3000,"2,475名申请人中的248名获得100股股份",10.02,0.1002
2692,兆威機電,100,35,3500,"1,651名申请人中的175名获得100股股份",10.6,0.106
2692,兆威機電,100,40,4000,"1,751名申请人中的195名获得100股股份",11.14,0.1114
2692,兆威機電,100,45,4500,"1,442名申请人中的168名获得100股股份",11.65,0.1165
2692,兆威機電,100,50,5000,"2,786名申请人中的337名获得100股股份",12.1,0.121
2692,兆威機電,100,60,6000,"2,210名申请人中的286名获得100股股份",12.94,0.1294
2692,兆威機電,100,70,7000,"1,946名申请人中的266名获得100股股份",13.67,0.1367
2692,兆威機電,100,80,8000,"1,700名申请人中的245名获得100股股份",14.41,0.1441
2692,兆威機電,100,90,9000,"1,414名申请人中的213名获得100股股份",15.06,0.1506
2692,兆威機電,100,100,10000,"9,240名申请人中的1,441名获得100股股份",15.6,0.156
2692,兆威機電,100,200,20000,"5,132名申请人中的1,035名获得100股股份",20.17,0.2017
2692,兆威機電,100,300,30000,"3,421名申请人中的802名获得100股股份",23.44,0.2344
2692,兆威機電,100,400,40000,"2,440名申请人中的636名获得100股股份",26.07,0.2607
2692,兆威機電,100,500,50000,"2,127名申请人中的603名获得100股股份",28.35,0.2835
2692,兆威機電,100,600,60000,"3,382名申请人中的1,025名获得100股股份",30.31,0.3031
2692,兆威機電,100,700,70000,"5,795名申请人中的2,029名获得100股股份",35.01,0.3501
2692,兆威機電,100,800,80000,"2,298名申请人中的900名获得100股股份",39.16,0.3916
2692,兆威機電,100,900,90000,"1,559名申请人中的674名获得100股股份",43.23,0.4323
2692,兆威機電,100,1000,100000,"5,035名申请人中的2,377名获得100股股份",47.21,0.4721
2692,兆威機電,100,2000,200000,"2,129名申请人中的1,798名获得100股股份",84.45,0.8445
2692,兆威機電,100,3000,300000,"100股股份，另1,003名申请人中有187名获得额外100股股份",118.64,1.1864
2692,兆威機電,100,4000,400000,100股股份，另483名申请人中有247名获得额外100股股份,151.14,1.5114
2692,兆威機電,100,5000,500000,100股股份，另305名申请人中有251名获得额外100股股份,182.3,1.823
2692,兆威機電,100,6000,600000,200股股份，另230名申请人中有29名获得额外100股股份,212.61,2.1261
2692,兆威機電,100,7000,700000,200股股份，另132名申请人中有55名获得额外100股股份,241.67,2.4167
2692,兆威機電,100,8000,800000,200股股份，另104名申请人中有73名获得额外100股股份,270.19,2.7019
2692,兆威機電,100,9000,900000,200股股份，另57名申请人中有56名获得额外100股股份,298.25,2.9825
2692,兆威機電,100,10000,1000000,300股股份，另78名申请人中有21名获得额外100股股份,326.92,3.2692
2692,兆威機電,100,11000,1100000,300股股份，另36名申请人中有20名获得额外100股股份,355.56,3.5556
2692,兆威機電,100,12000,1200000,300股股份，另42名申请人中有34名获得额外100股股份,380.95,3.8095
2692,兆威機電,100,13374,1337400,400股股份，另317名申请人中有50名获得额外100股股份,415.77,4.1577
