,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2695,印象大红袍,1,1000,"47,397名中380名获得1,000股股份",7.95,0.00795
1,2695,印象大红袍,2,2000,"27,346名中282名获得1,000股股份",10.21,0.01021
2,2695,印象大红袍,3,3000,"3,221名中39名获得1,000股股份",11.96,0.01196
3,2695,印象大红袍,4,4000,"1,518名中21名获得1,000股股份",13.65,0.01365
4,2695,印象大红袍,5,5000,"2,068名中30名获得1,000股股份",14.3,0.0143
5,2695,印象大红袍,6,6000,"841名中13名获得1,000股股份",15.22,0.01522
6,2695,印象大红袍,7,7000,"692名中12名获得1,000股股份",17.05,0.01705
7,2695,印象大红袍,8,8000,"727名中13名获得1,000股股份",17.57,0.01757
8,2695,印象大红袍,9,9000,"558名中10名获得1,000股股份",17.61,0.01761
9,2695,印象大红袍,10,10000,"7,086名中132名获得1,000股股份",18.29,0.01829
10,2695,印象大红袍,15,15000,"1,451名中32名获得1,000股股份",21.58,0.02158
11,2695,印象大红袍,20,20000,"1,692名中41名获得1,000股股份",23.66,0.02366
12,2695,印象大红袍,25,25000,"1,170名中31名获得1,000股股份",25.81,0.02581
13,2695,印象大红袍,30,30000,"843名中24名获得1,000股股份",27.68,0.02768
14,2695,印象大红袍,35,35000,"508名中15名获得1,000股股份",28.68,0.02868
15,2695,印象大红袍,40,40000,"584名中18名获得1,000股股份",29.9,0.0299
16,2695,印象大红袍,45,45000,"466名中15名获得1,000股股份",31.19,0.03119
17,2695,印象大红袍,50,50000,"993名中34名获得1,000股股份",33.11,0.03311
18,2695,印象大红袍,60,60000,"590名中22名获得1,000股股份",35.95,0.03595
19,2695,印象大红袍,70,70000,"501名中19名获得1,000股股份",36.54,0.03654
20,2695,印象大红袍,80,80000,"565名中23名获得1,000股股份",39.12,0.03912
21,2695,印象大红袍,90,90000,"469名中19名获得1,000股股份",38.93,0.03893
22,2695,印象大红袍,100,100000,"3,120名中108名获得1,000股股份",33.46,0.03346
23,2695,印象大红袍,120,120000,"621名中25名获得1,000股股份",38.7,0.0387
24,2695,印象大红袍,140,140000,"565名中22名获得1,000股股份",37.48,0.03748
25,2695,印象大红袍,160,160000,"472名中16名获得1,000股股份",32.79,0.03279
26,2695,印象大红袍,180,180000,"400名中13名获得1,000股股份",31.48,0.03148
27,2695,印象大红袍,200,200000,"1,530名中40名获得1,000股股份",25.48,0.02548
28,2695,印象大红袍,250,250000,"524名中10名获得1,000股股份",18.73,0.01873
29,2695,印象大红袍,300,300000,"527名中10名获得1,000股股份",18.62,0.01862
30,2695,印象大红袍,350,350000,"387名中7名获得1,000股股份",17.77,0.01777
31,2695,印象大红袍,400,400000,"373名中6名获得1,000股股份",15.83,0.01583
32,2695,印象大红袍,450,450000,"330名中5名获得1,000股股份",14.93,0.01493
33,2695,印象大红袍,500,500000,"728名中9名获得1,000股股份",12.21,0.01221
34,2695,印象大红袍,600,600000,"394名中4名获得1,000股股份",10.05,0.01005
35,2695,印象大红袍,700,700000,"342名中4名获得1,000股股份",11.56,0.01156
36,2695,印象大红袍,800,800000,"259名中3名获得1,000股股份",11.45,0.01145
37,2695,印象大红袍,900,900000,"243名中3名获得1,000股股份",12.2,0.0122
38,2695,印象大红袍,1000,1000000,"581名中6名获得1,000股股份",10.22,0.01022
