代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2701,國民技術,200,1,200,"24,237名申请人中的7,272名获得200股股份",60.01,0.3
2701,國民技術,200,2,400,"3,180名申请人中的1,104名获得200股股份",69.43,0.3472
2701,國民技術,200,3,600,"9,007名申请人中的3,403名获得200股股份",75.56,0.3778
2701,國民技術,200,4,800,"1,353名申请人中的543名获得200股股份",80.27,0.4013
2701,國民技術,200,5,1000,"1,735名申请人中的730名获得200股股份",84.15,0.4207
2701,國民技術,200,6,1200,414名申请人中的181名获得200股股份,87.44,0.4372
2701,國民技術,200,7,1400,370名申请人中的167名获得200股股份,90.27,0.4514
2701,國民技術,200,8,1600,336名申请人中的156名获得200股股份,92.86,0.4643
2701,國民技術,200,9,1800,554名申请人中的264名获得200股股份,95.31,0.4765
2701,國民技術,200,10,2000,"2,738名申请人中的1,332名获得200股股份",97.3,0.4865
2701,國民技術,200,15,3000,"1,279名申请人中的678名获得200股股份",106.02,0.5301
2701,國民技術,200,20,4000,"1,498名申请人中的843名获得200股股份",112.55,0.5628
2701,國民技術,200,25,5000,816名申请人中的481名获得200股股份,117.89,0.5895
2701,國民技術,200,30,6000,604名申请人中的370名获得200股股份,122.52,0.6126
2701,國民技術,200,35,7000,232名申请人中的147名获得200股股份,126.72,0.6336
2701,國民技術,200,40,8000,210名申请人中的137名获得200股股份,130.48,0.6524
2701,國民技術,200,45,9000,"1,406名申请人中的938名获得200股股份",133.43,0.6671
2701,國民技術,200,50,10000,"1,883名申请人中的1,284名获得200股股份",136.38,0.6819
2701,國民技術,200,100,20000,"1,063名申请人中的839名获得200股股份",157.86,0.7893
2701,國民技術,200,150,30000,456名申请人中的392名获得200股股份,171.93,0.8596
2701,國民技術,200,200,40000,296名申请人中的270名获得200股股份,182.43,0.9122
2701,國民技術,200,250,50000,262名申请人中的251名获得200股股份,191.6,0.958
2701,國民技術,200,300,60000,174名申请人中的173名获得200股股份,198.85,0.9943
2701,國民技術,200,350,70000,200股股份,200.0,1.0
2701,國民技術,200,400,80000,200股股份，另110名申请人中有7名获得额外200股股份,212.73,1.0636
2701,國民技術,200,450,90000,200股股份，另325名申请人中有76名获得额外200股股份,246.77,1.2338
2701,國民技術,200,500,100000,200股股份，另495名申请人中有53名获得额外200股股份,221.41,1.1071
2701,國民技術,200,1000,200000,200股股份，另336名申请人中有94名获得额外200股股份,255.95,1.2798
2701,國民技術,200,1500,300000,200股股份，另171名申请人中有67名获得额外200股股份,278.36,1.3918
2701,國民技術,200,2000,400000,200股股份，另152名申请人中有77名获得额外200股股份,301.32,1.5066
2701,國民技術,200,2500,500000,3000股股份，另520名申请人中有231名获得额外200股股份,3088.85,15.4442
2701,國民技術,200,3000,600000,3600股股份，另65名申请人中有10名获得额外200股股份,3630.77,18.1538
2701,國民技術,200,3500,700000,4200股股份,4200.0,21.0
2701,國民技術,200,4000,800000,4600股股份,4600.0,23.0
2701,國民技術,200,4500,900000,5000股股份,5000.0,25.0
2701,國民技術,200,5000,1000000,5400股股份,5400.0,27.0
2701,國民技術,200,10000,2000000,10600股股份,10600.0,53.0
2701,國民技術,200,15000,3000000,15000股股份,15000.0,75.0
2701,國民技術,200,20000,4000000,19600股股份,19600.0,98.0
2701,國民技術,200,23750,4750000,23000股股份,23000.0,115.0
