代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2714,牧原股份,100,1,100,100股股份,100.0,1.0
2714,牧原股份,100,2,200,"100股股份，另3,001名申请人中有2,281名获得额外100股股份",176.01,1.7601
2714,牧原股份,100,3,300,"200股股份，另1,131名申请人中有509名获得额外100股股份",245.0,2.45
2714,牧原股份,100,4,400,300股股份，另458名申请人中有45名获得额外100股股份,309.83,3.0983
2714,牧原股份,100,5,500,300股股份，另868名申请人中有621名获得额外100股股份,371.54,3.7154
2714,牧原股份,100,6,600,400股股份，另287名申请人中有89名获得额外100股股份,431.01,4.3101
2714,牧原股份,100,7,700,400股股份，另142名申请人中有126名获得额外100股股份,488.73,4.8873
2714,牧原股份,100,8,800,500股股份，另195名申请人中有88名获得额外100股股份,545.13,5.4513
2714,牧原股份,100,9,900,600股股份,600.0,6.0
2714,牧原股份,100,10,1000,"600股股份，另1,667名申请人中有896名获得额外100股股份",653.75,6.5375
2714,牧原股份,100,15,1500,900股股份，另270名申请人中有27名获得额外100股股份,910.0,9.1
2714,牧原股份,100,20,2000,1100股股份，另348名申请人中有176名获得额外100股股份,1150.57,11.5057
2714,牧原股份,100,25,2500,1300股股份，另170名申请人中有136名获得额外100股股份,1380.0,13.8
2714,牧原股份,100,30,3000,1600股股份，另253名申请人中有3名获得额外100股股份,1601.19,16.0119
2714,牧原股份,100,35,3500,1800股股份，另73名申请人中有12名获得额外100股股份,1816.44,18.1644
2714,牧原股份,100,40,4000,2000股股份，另79名申请人中有20名获得额外100股股份,2025.32,20.2532
2714,牧原股份,100,45,4500,2200股股份，另36名申请人中有11名获得额外100股股份,2230.56,22.3056
2714,牧原股份,100,50,5000,2400股股份，另176名申请人中有50名获得额外100股股份,2428.41,24.2841
2714,牧原股份,100,60,6000,2800股股份，另89名申请人中有16名获得额外100股股份,2817.98,28.1798
2714,牧原股份,100,70,7000,3100股股份，另48名申请人中有46名获得额外100股股份,3195.83,31.9583
2714,牧原股份,100,80,8000,3500股股份，另45名申请人中有29名获得额外100股股份,3564.44,35.6444
2714,牧原股份,100,90,9000,3900股股份，另39名申请人中有9名获得额外100股股份,3923.08,39.2308
2714,牧原股份,100,100,10000,4200股股份，另294名申请人中有215名获得额外100股股份,4273.13,42.7313
2714,牧原股份,100,200,20000,7500股股份，另112名申请人中有22名获得额外100股股份,7519.64,75.1964
2714,牧原股份,100,300,30000,10400股股份，另65名申请人中有43名获得额外100股股份,10466.15,104.6615
2714,牧原股份,100,400,40000,13200股股份，另39名申请人中有13名获得额外100股股份,13233.33,132.3333
2714,牧原股份,100,500,50000,15800股股份，另48名申请人中有36名获得额外100股股份,15875.0,158.75
2714,牧原股份,100,600,60000,18400股股份，另20名申请人中有4名获得额外100股股份,18420.0,184.2
2714,牧原股份,100,700,70000,20800股股份，另15名申请人中有13名获得额外100股股份,20886.67,208.8667
2714,牧原股份,100,800,80000,23300股股份,23300.0,233.0
2714,牧原股份,100,900,90000,25600股股份，另7名申请人中有3名获得额外100股股份,25642.86,256.4286
2714,牧原股份,100,1000,100000,27900股股份，另72名申请人中有24名获得额外100股股份,27933.33,279.3333
2714,牧原股份,100,2000,200000,30000股股份,30000.0,300.0
2714,牧原股份,100,3000,300000,43100股股份,43100.0,431.0
2714,牧原股份,100,4000,400000,55800股股份,55800.0,558.0
2714,牧原股份,100,5000,500000,68200股股份,68200.0,682.0
2714,牧原股份,100,6000,600000,80300股股份,80300.0,803.0
2714,牧原股份,100,7000,700000,92200股股份,92200.0,922.0
2714,牧原股份,100,8000,800000,103900股股份,103900.0,1039.0
2714,牧原股份,100,10000,1000000,127000股股份,127000.0,1270.0
2714,牧原股份,100,20000,2000000,236000股股份,236000.0,2360.0
2714,牧原股份,100,30000,3000000,339400股股份,339400.0,3394.0
2714,牧原股份,100,136976,13697600,1322700股股份,1322700.0,13227.0
