代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2715,埃斯頓,200,1,200,"12,869名申请人中的642名获得200股股份",9.98,0.0499
2715,埃斯頓,200,2,400,"4,206名申请人中的420名获得200股股份",19.97,0.0999
2715,埃斯頓,200,3,600,"1,471名申请人中的220名获得200股股份",29.91,0.1496
2715,埃斯頓,200,4,800,593名申请人中的118名获得200股股份,39.8,0.199
2715,埃斯頓,200,5,1000,"1,093名申请人中的271名获得200股股份",49.59,0.2479
2715,埃斯頓,200,6,1200,384名申请人中的114名获得200股股份,59.38,0.2969
2715,埃斯頓,200,7,1400,200名申请人中的69名获得200股股份,69.0,0.345
2715,埃斯頓,200,8,1600,197名申请人中的77名获得200股股份,78.17,0.3909
2715,埃斯頓,200,9,1800,207名申请人中的90名获得200股股份,86.96,0.4348
2715,埃斯頓,200,10,2000,"1,966名申请人中的943名获得200股股份",95.93,0.4797
2715,埃斯頓,200,15,3000,553名申请人中的398名获得200股股份,143.94,0.7197
2715,埃斯頓,200,20,4000,348名申请人中的334名获得200股股份,191.95,0.9598
2715,埃斯頓,200,25,5000,200股股份，另375名申请人中有74名获得额外200股股份,239.47,1.1973
2715,埃斯頓,200,30,6000,200股股份，另359名申请人中有157名获得额外200股股份,287.47,1.4373
2715,埃斯頓,200,35,7000,200股股份，另122名申请人中有82名获得额外200股股份,334.43,1.6721
2715,埃斯頓,200,40,8000,200股股份，另115名申请人中有105名获得额外200股股份,382.61,1.913
2715,埃斯頓,200,45,9000,400股股份，另89名申请人中有13名获得额外200股股份,429.21,2.1461
2715,埃斯頓,200,50,10000,400股股份，另639名申请人中有245名获得额外200股股份,476.68,2.3834
2715,埃斯頓,200,100,20000,800股股份，另380名申请人中有293名获得额外200股股份,954.21,4.7711
2715,埃斯頓,200,150,30000,1400股股份，另213名申请人中有34名获得额外200股股份,1431.92,7.1596
2715,埃斯頓,200,200,40000,1800股股份，另132名申请人中有72名获得额外200股股份,1909.09,9.5455
2715,埃斯頓,200,250,50000,2200股股份，另80名申请人中有74名获得额外200股股份,2385.0,11.925
2715,埃斯頓,200,300,60000,2800股股份，另94名申请人中有30名获得额外200股股份,2863.83,14.3191
2715,埃斯頓,200,350,70000,3200股股份，另21名申请人中有14名获得额外200股股份,3333.33,16.6667
2715,埃斯頓,200,400,80000,3800股股份，另48名申请人中有2名获得额外200股股份,3808.33,19.0417
2715,埃斯頓,200,450,90000,4200股股份，另24名申请人中有10名获得额外200股股份,4283.33,21.4167
2715,埃斯頓,200,500,100000,4600股股份，另181名申请人中有137名获得额外200股股份,4751.38,23.7569
2715,埃斯頓,200,1000,200000,9400股股份，另93名申请人中有49名获得额外200股股份,9505.38,47.5269
2715,埃斯頓,200,1500,300000,16200股股份，另71名申请人中有28名获得额外200股股份,16278.87,81.3944
2715,埃斯頓,200,2000,400000,21600股股份，另16名申请人中有8名获得额外200股股份,21700.0,108.5
2715,埃斯頓,200,2500,500000,27000股股份，另7名申请人中有5名获得额外200股股份,27142.86,135.7143
2715,埃斯頓,200,3000,600000,32400股股份，另8名申请人中有6名获得额外200股股份,32550.0,162.75
2715,埃斯頓,200,3500,700000,38000股股份,38000.0,190.0
2715,埃斯頓,200,4000,800000,43400股股份,43400.0,217.0
2715,埃斯頓,200,4500,900000,48800股股份，另3名申请人中有1名获得额外200股股份,48866.67,244.3333
2715,埃斯頓,200,5000,1000000,54200股股份，另11名申请人中有3名获得额外200股股份,54254.55,271.2727
2715,埃斯頓,200,7500,1500000,81400股股份,81400.0,407.0
2715,埃斯頓,200,10000,2000000,108400股股份，另7名申请人中有4名获得额外200股股份,108514.29,542.5714
2715,埃斯頓,200,15000,3000000,162800股股份,162800.0,814.0
2715,埃斯頓,200,24195,4839000,262600股股份,262600.0,1313.0
