,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2718,明略科技,1,40,"116,865名中1,169名获发40股股份",0.4,0.01
1,2718,明略科技,2,80,"15,485名中208名获发40股股份",0.53,0.0133
2,2718,明略科技,3,120,"8,927名中143名获发40股股份",0.63,0.0158
3,2718,明略科技,4,160,"6,417名中116名获发40股股份",0.71,0.0178
4,2718,明略科技,5,200,"7,086名中141名获发40股股份",0.78,0.0195
5,2718,明略科技,6,240,"2,761名中60名获发40股股份",0.85,0.0213
6,2718,明略科技,7,280,"2,534名中58名获发40股股份",0.89,0.0223
7,2718,明略科技,8,320,"7,545名中183名获发40股股份",0.95,0.0238
8,2718,明略科技,9,360,"2,001名中51名获发40股股份",0.99,0.0248
9,2718,明略科技,10,400,"10,738名中286名获发40股股份",1.04,0.026
10,2718,明略科技,15,600,"6,704名中212名获发40股股份",1.23,0.0308
11,2718,明略科技,20,800,"4,714名中168名获发40股股份",1.38,0.0345
12,2718,明略科技,25,1000,"3,625名中142名获发40股股份",1.51,0.0378
13,2718,明略科技,30,1200,"2,615名中111名获发40股股份",1.63,0.0408
14,2718,明略科技,35,1400,"2,192名中99名获发40股股份",1.73,0.0433
15,2718,明略科技,40,1600,"2,027名中97名获发40股股份",1.83,0.0458
16,2718,明略科技,45,1800,"1,563名中79名获发40股股份",1.92,0.048
17,2718,明略科技,50,2000,"7,041名中370名获发40股股份",2.0,0.05
18,2718,明略科技,75,3000,"5,354名中335名获发40股股份",2.36,0.059
19,2718,明略科技,100,4000,"4,599名中325名获发40股股份",2.64,0.066
20,2718,明略科技,125,5000,"3,401名中264名获发40股股份",2.88,0.072
21,2718,明略科技,150,6000,"2,826名中237名获发40股股份",3.1,0.0775
22,2718,明略科技,175,7000,"2,622名中235名获发40股股份",3.29,0.0823
23,2718,明略科技,200,8000,"2,316名中219名获发40股股份",3.46,0.0865
24,2718,明略科技,225,9000,"1,626名中162名获发40股股份",3.62,0.0905
25,2718,明略科技,250,10000,"10,180名中1,059名获发40股股份",3.77,0.0943
26,2718,明略科技,500,20000,"6,958名中971名获发40股股份",4.9,0.1225
27,2718,明略科技,750,30000,"9,198名中1,524名获发40股股份",5.68,0.142
28,2718,明略科技,1000,40000,"6,091名中1,219名获发40股股份",6.67,0.1668
29,2718,明略科技,1250,50000,"2,770名中651名获发40股股份",7.61,0.1903
30,2718,明略科技,1500,60000,"2,025名中542名获发40股股份",8.45,0.2113
31,2718,明略科技,1750,70000,"1,640名中490名获发40股股份",9.2,0.23
32,2718,明略科技,2000,80000,"1,487名中489名获发40股股份",9.9,0.2475
33,2718,明略科技,2250,90000,947名中339名获发40股股份,10.54,0.2635
34,2718,明略科技,2500,100000,"3,177名中1,225名获发40股股份",11.13,0.2783
35,2718,明略科技,3750,150000,"1,717名中886名获发40股股份",13.62,0.3405
36,2718,明略科技,5000,200000,"1,063名中674名获发40股股份",15.52,0.388
37,2718,明略科技,6250,250000,623名中464名获发40股股份,17.08,0.427
38,2718,明略科技,7500,300000,449名中381名获发40股股份,18.36,0.459
39,2718,明略科技,9024,360960,"1,720名中1,664名获发40股股份",19.67,0.4918
