代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2720,樂欣戶外,500,1,500,"56,367名申请人中的564名获得500股股份",5.0,0.01
2720,樂欣戶外,500,2,1000,"5,942名申请人中的80名获得500股股份",6.73,0.0135
2720,樂欣戶外,500,3,1500,"3,415名申请人中的55名获得500股股份",8.05,0.0161
2720,樂欣戶外,500,4,2000,"1,906名申请人中的35名获得500股股份",9.18,0.0184
2720,樂欣戶外,500,5,2500,"1,895名申请人中的38名获得500股股份",10.03,0.0201
2720,樂欣戶外,500,6,3000,"1,182名申请人中的26名获得500股股份",11.0,0.022
2720,樂欣戶外,500,7,3500,853名申请人中的20名获得500股股份,11.72,0.0234
2720,樂欣戶外,500,8,4000,"3,168名申请人中的76名获得500股股份",11.99,0.024
2720,樂欣戶外,500,9,4500,714名申请人中的18名获得500股股份,12.61,0.0252
2720,樂欣戶外,500,10,5000,"2,832名申请人中的75名获得500股股份",13.24,0.0265
2720,樂欣戶外,500,12,6000,896名申请人中的26名获得500股股份,14.51,0.029
2720,樂欣戶外,500,14,7000,799名申请人中的25名获得500股股份,15.64,0.0313
2720,樂欣戶外,500,16,8000,"1,347名申请人中的44名获得500股股份",16.33,0.0327
2720,樂欣戶外,500,18,9000,603名申请人中的21名获得500股股份,17.41,0.0348
2720,樂欣戶外,500,20,10000,"2,116名申请人中的75名获得500股股份",17.72,0.0354
2720,樂欣戶外,500,30,15000,"1,498名申请人中的63名获得500股股份",21.03,0.0421
2720,樂欣戶外,500,40,20000,"1,050名申请人中的50名获得500股股份",23.81,0.0476
2720,樂欣戶外,500,50,25000,796名申请人中的42名获得500股股份,26.38,0.0528
2720,樂欣戶外,500,60,30000,679名申请人中的38名获得500股股份,27.98,0.056
2720,樂欣戶外,500,70,35000,567名申请人中的34名获得500股股份,29.98,0.06
2720,樂欣戶外,500,80,40000,554名申请人中的35名获得500股股份,31.59,0.0632
2720,樂欣戶外,500,90,45000,502名申请人中的34名获得500股股份,33.86,0.0677
2720,樂欣戶外,500,100,50000,"1,117名申请人中的78名获得500股股份",34.91,0.0698
2720,樂欣戶外,500,120,60000,678名申请人中的51名获得500股股份,37.61,0.0752
2720,樂欣戶外,500,140,70000,737名申请人中的59名获得500股股份,40.03,0.0801
2720,樂欣戶外,500,160,80000,730名申请人中的62名获得500股股份,42.47,0.0849
2720,樂欣戶外,500,180,90000,465名申请人中的42名获得500股股份,45.16,0.0903
2720,樂欣戶外,500,200,100000,"2,783名申请人中的258名获得500股股份",46.35,0.0927
2720,樂欣戶外,500,400,200000,"1,890名申请人中的234名获得500股股份",61.9,0.1238
2720,樂欣戶外,500,600,300000,"1,456名申请人中的214名获得500股股份",73.49,0.147
2720,樂欣戶外,500,800,400000,"2,109名申请人中的349名获得500股股份",82.74,0.1655
2720,樂欣戶外,500,1000,500000,"3,575名申请人中的715名获得500股股份",100.0,0.2
2720,樂欣戶外,500,1200,600000,915名申请人中的213名获得500股股份,116.39,0.2328
2720,樂欣戶外,500,1400,700000,676名申请人中的178名获得500股股份,131.66,0.2633
2720,樂欣戶外,500,1600,800000,666名申请人中的196名获得500股股份,147.15,0.2943
2720,樂欣戶外,500,1800,900000,375名申请人中的122名获得500股股份,162.67,0.3253
2720,樂欣戶外,500,2000,1000000,546名申请人中的193名获得500股股份,176.74,0.3535
2720,樂欣戶外,500,2400,1200000,493名申请人中的202名获得500股股份,204.87,0.4097
2720,樂欣戶外,500,2820,1410000,"2,144名申请人中的1,001名获得500股股份",233.44,0.4669
