代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2729,凱樂士科技,200,1,200,"24,885名申请人中的1,245名获得200股股份",10.01,0.05
2729,凱樂士科技,200,2,400,"22,166名申请人中的1,126名获得200股股份",10.16,0.0508
2729,凱樂士科技,200,3,600,"2,881名申请人中的148名获得200股股份",10.27,0.0514
2729,凱樂士科技,200,4,800,"1,775名申请人中的92名获得200股股份",10.37,0.0518
2729,凱樂士科技,200,5,1000,"2,538名申请人中的134名获得200股股份",10.56,0.0528
2729,凱樂士科技,200,6,1200,"1,010名申请人中的54名获得200股股份",10.69,0.0535
2729,凱樂士科技,200,7,1400,"1,081名申请人中的58名获得200股股份",10.73,0.0537
2729,凱樂士科技,200,8,1600,825名申请人中的45名获得200股股份,10.91,0.0545
2729,凱樂士科技,200,9,1800,747名申请人中的41名获得200股股份,10.98,0.0549
2729,凱樂士科技,200,10,2000,"6,652名申请人中的374名获得200股股份",11.24,0.0562
2729,凱樂士科技,200,15,3000,"2,354名申请人中的137名获得200股股份",11.64,0.0582
2729,凱樂士科技,200,20,4000,"1,891名申请人中的115名获得200股股份",12.16,0.0608
2729,凱樂士科技,200,25,5000,"1,234名申请人中的78名获得200股股份",12.64,0.0632
2729,凱樂士科技,200,30,6000,811名申请人中的53名获得200股股份,13.07,0.0654
2729,凱樂士科技,200,35,7000,936名申请人中的64名获得200股股份,13.68,0.0684
2729,凱樂士科技,200,40,8000,696名申请人中的49名获得200股股份,14.08,0.0704
2729,凱樂士科技,200,45,9000,623名申请人中的45名获得200股股份,14.45,0.0722
2729,凱樂士科技,200,50,10000,"4,172名申请人中的311名获得200股股份",14.91,0.0745
2729,凱樂士科技,200,100,20000,"3,012名申请人中的284名获得200股股份",18.86,0.0943
2729,凱樂士科技,200,150,30000,"2,620名申请人中的298名获得200股股份",22.75,0.1137
2729,凱樂士科技,200,200,40000,"1,190名申请人中的159名获得200股股份",26.72,0.1336
2729,凱樂士科技,200,250,50000,732名申请人中的112名获得200股股份,30.6,0.153
2729,凱樂士科技,200,300,60000,677名申请人中的118名获得200股股份,34.86,0.1743
2729,凱樂士科技,200,350,70000,"1,280名申请人中的248名获得200股股份",38.75,0.1938
2729,凱樂士科技,200,400,80000,561名申请人中的120名获得200股股份,42.78,0.2139
2729,凱樂士科技,200,450,90000,325名申请人中的76名获得200股股份,46.77,0.2338
2729,凱樂士科技,200,500,100000,"4,152名申请人中的1,056名获得200股股份",50.87,0.2543
2729,凱樂士科技,200,1000,200000,"5,675名申请人中的2,560名获得200股股份",90.22,0.4511
2729,凱樂士科技,200,1500,300000,"4,602名申请人中的3,372名获得200股股份",146.54,0.7327
2729,凱樂士科技,200,2000,400000,"1,270名申请人中的1,019名获得200股股份",160.47,0.8024
2729,凱樂士科技,200,2500,500000,549名申请人中的480名获得200股股份,174.86,0.8743
2729,凱樂士科技,200,3000,600000,364名申请人中的344名获得200股股份,189.01,0.9451
2729,凱樂士科技,200,3500,700000,200股股份,200.0,1.0
2729,凱樂士科技,200,4000,800000,200股股份，另353名申请人中有31名获得额外200股股份,217.56,1.0878
2729,凱樂士科技,200,4500,900000,200股股份，另139名申请人中有23名获得额外200股股份,233.09,1.1655
2729,凱樂士科技,200,5000,1000000,200股股份，另600名申请人中有140名获得额外200股股份,246.67,1.2333
2729,凱樂士科技,200,6000,1200000,200股股份，另202名申请人中有76名获得额外200股股份,275.25,1.3762
2729,凱樂士科技,200,7000,1400000,200股股份，另203名申请人中有105名获得额外200股股份,303.45,1.5172
2729,凱樂士科技,200,8000,1600000,200股股份，另141名申请人中有93名获得额外200股股份,331.91,1.6596
2729,凱樂士科技,200,9199,1839800,200股股份，另659名申请人中有549名获得额外200股股份,366.62,1.8331
