代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2768,國恩科技,200,1,200,"60,113名申请人中的1,202名获得200股股份",4.0,0.02
2768,國恩科技,200,2,400,"10,905名申请人中的284名获得200股股份",5.21,0.026
2768,國恩科技,200,3,600,"8,297名申请人中的222名获得200股股份",5.35,0.0268
2768,國恩科技,200,4,800,"3,340名申请人中的94名获得200股股份",5.63,0.0281
2768,國恩科技,200,5,1000,"17,387名申请人中的490名获得200股股份",5.64,0.0282
2768,國恩科技,200,10,2000,"8,923名申请人中的269名获得200股股份",6.03,0.0301
2768,國恩科技,200,15,3000,"3,605名申请人中的121名获得200股股份",6.71,0.0336
2768,國恩科技,200,20,4000,"2,973名申请人中的108名获得200股股份",7.27,0.0363
2768,國恩科技,200,25,5000,"2,469名申请人中的96名获得200股股份",7.78,0.0389
2768,國恩科技,200,30,6000,"1,821名申请人中的77名获得200股股份",8.46,0.0423
2768,國恩科技,200,35,7000,"1,437名申请人中的65名获得200股股份",9.05,0.0452
2768,國恩科技,200,40,8000,"1,356名申请人中的65名获得200股股份",9.59,0.0479
2768,國恩科技,200,45,9000,"1,024名申请人中的52名获得200股股份",10.16,0.0508
2768,國恩科技,200,50,10000,"4,871名申请人中的255名获得200股股份",10.47,0.0524
2768,國恩科技,200,75,15000,"3,018名申请人中的215名获得200股股份",14.25,0.0712
2768,國恩科技,200,100,20000,"2,967名申请人中的224名获得200股股份",15.1,0.0755
2768,國恩科技,200,125,25000,"2,159名申请人中的191名获得200股股份",17.69,0.0885
2768,國恩科技,200,150,30000,"1,604名申请人中的163名获得200股股份",20.32,0.1016
2768,國恩科技,200,175,35000,"1,184名申请人中的136名获得200股股份",22.97,0.1149
2768,國恩科技,200,200,40000,"1,384名申请人中的175名获得200股股份",25.29,0.1264
2768,國恩科技,200,225,45000,"1,098名申请人中的154名获得200股股份",28.05,0.1403
2768,國恩科技,200,250,50000,"2,024名申请人中的304名获得200股股份",30.04,0.1502
2768,國恩科技,200,300,60000,"1,554名申请人中的272名获得200股股份",35.01,0.175
2768,國恩科技,200,350,70000,"1,317名申请人中的263名获得200股股份",39.94,0.1997
2768,國恩科技,200,400,80000,"1,237名申请人中的279名获得200股股份",45.11,0.2255
2768,國恩科技,200,450,90000,973名申请人中的244名获得200股股份,50.15,0.2508
2768,國恩科技,200,500,100000,"5,463名申请人中的1,480名获得200股股份",54.18,0.2709
2768,國恩科技,200,750,150000,"7,258名申请人中的2,417名获得200股股份",66.6,0.333
2768,國恩科技,200,1000,200000,"2,390名申请人中的882名获得200股股份",73.81,0.369
2768,國恩科技,200,1250,250000,"1,520名申请人中的616名获得200股股份",81.05,0.4053
2768,國恩科技,200,1500,300000,"1,039名申请人中的459名获得200股股份",88.35,0.4418
2768,國恩科技,200,1750,350000,614名申请人中的294名获得200股股份,95.77,0.4788
2768,國恩科技,200,2000,400000,548名申请人中的282名获得200股股份,102.92,0.5146
2768,國恩科技,200,2250,450000,468名申请人中的258名获得200股股份,110.26,0.5513
2768,國恩科技,200,2500,500000,677名申请人中的398名获得200股股份,117.58,0.5879
2768,國恩科技,200,3000,600000,503名申请人中的332名获得200股股份,132.01,0.66
2768,國恩科技,200,3500,700000,285名申请人中的209名获得200股股份,146.67,0.7333
2768,國恩科技,200,4000,800000,234名申请人中的189名获得200股股份,161.54,0.8077
2768,國恩科技,200,4500,900000,152名申请人中的134名获得200股股份,176.32,0.8816
2768,國恩科技,200,5000,1000000,153名申请人中的146名获得200股股份,190.85,0.9542
2768,國恩科技,200,5500,1100000,200股股份,200.0,1.0
2768,國恩科技,200,6000,1200000,200股股份，另58名申请人中有8名获得额外200股股份,227.59,1.1379
2768,國恩科技,200,6500,1300000,200股股份，另49名申请人中有9名获得额外200股股份,236.73,1.1837
2768,國恩科技,200,7000,1400000,200股股份，另45名申请人中有12名获得额外200股股份,253.33,1.2667
2768,國恩科技,200,7500,1500000,200股股份，另442名申请人中有152名获得额外200股股份,268.78,1.3439
