,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2865,钧达股份,100,1,100,"4,552名申请人中1,085名获发100股",23.8385,0.2384
1,2865,钧达股份,100,2,200,888名申请人中423名获发100股,47.6351,0.4764
2,2865,钧达股份,100,3,300,744名申请人中531名获发100股,71.3709,0.7137
3,2865,钧达股份,100,4,400,360名申请人中342名获发100股,95.0,0.95
4,2865,钧达股份,100,5,500,100股 + 437名申请人中82名获发额外100股,118.7643,1.1876
5,2865,钧达股份,100,6,600,100股 + 159名申请人中67名获发额外100股,142.1384,1.4214
6,2865,钧达股份,100,7,700,100股 + 116名申请人中76名获发额外100股,165.5172,1.6552
7,2865,钧达股份,100,8,800,100股 + 65名申请人中58名获发额外100股,189.2308,1.8923
8,2865,钧达股份,100,9,900,200股 + 41名申请人中5名获发额外100股,212.1951,2.122
9,2865,钧达股份,100,10,1000,200股 + 668名申请人中216名获发额外100股,232.3353,2.3234
10,2865,钧达股份,100,15,1500,300股 + 190名申请人中88名获发额外100股,346.3158,3.4632
11,2865,钧达股份,100,20,2000,400股 + 190名申请人中114名获发额外100股,460.0,4.6
12,2865,钧达股份,100,25,2500,500股 + 51名申请人中38名获发额外100股,574.5098,5.7451
13,2865,钧达股份,100,30,3000,600股 + 95名申请人中84名获发额外100股,688.4211,6.8842
14,2865,钧达股份,100,35,3500,800股 + 117名申请人中3名获发额外100股,802.5641,8.0256
15,2865,钧达股份,100,40,4000,900股 + 46名申请人中7名获发额外100股,915.2174,9.1522
16,2865,钧达股份,100,45,4500,"1,000股 + 20名申请人中5名获发额外100股",1025.0,10.25
17,2865,钧达股份,100,50,5000,"1,100股 + 82名申请人中31名获发额外100股",1137.8049,11.378
18,2865,钧达股份,100,60,6000,"1,300股 + 32名申请人中20名获发额外100股",1362.5,13.625
19,2865,钧达股份,100,70,7000,"1,500股 + 18名申请人中16名获发额外100股",1588.8889,15.8889
20,2865,钧达股份,100,80,8000,"1,800股 + 20名申请人中3名获发额外100股",1815.0,18.15
21,2865,钧达股份,100,90,9000,"2,000股 + 14名申请人中5名获发额外100股",2035.7143,20.3571
22,2865,钧达股份,100,100,10000,"2,200股 + 77名申请人中47名获发额外100股",2261.039,22.6104
23,2865,钧达股份,100,200,20000,"4,500股 + 43名申请人中9名获发额外100股",4520.9302,45.2093
24,2865,钧达股份,100,300,30000,"6,700股 + 23名申请人中18名获发额外100股",6778.2609,67.7826
25,2865,钧达股份,100,400,40000,"9,000股 + 15名申请人中5名获发额外100股",9033.3333,90.3333
26,2865,钧达股份,100,500,50000,"11,200股 + 15名申请人中13名获发额外100股",11286.6667,112.8667
27,2865,钧达股份,100,600,60000,"13,500股 + 6名申请人中2名获发额外100股",13533.3333,135.3333
28,2865,钧达股份,100,700,70000,"15,700股 + 9名申请人中8名获发额外100股",15788.8889,157.8889
29,2865,钧达股份,100,800,80000,"18,000股",18000.0,180.0
30,2865,钧达股份,100,900,90000,"20,200股 + 2名申请人中1名获发额外100股",20250.0,202.5
31,2865,钧达股份,100,1000,100000,"22,500股",22500.0,225.0
32,2865,钧达股份,100,2000,200000,"6,400股 + 7名申请人中6名获发额外100股",6485.7143,64.8571
33,2865,钧达股份,100,3000,300000,"14,600股 + 2名申请人中1名获发额外100股",14650.0,146.5
34,2865,钧达股份,100,4000,400000,"152,800股 + 2名申请人中1名获发额外100股",152850.0,1528.5
35,2865,钧达股份,100,15000,1500000,"573,200股",573200.0,5732.0
36,2865,钧达股份,100,20000,2000000,"764,000股",764000.0,7640.0
