,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2889,博泰車聯,20,1,20,"26,562名申请人中70名获发20股",0.053,0.0026
1,2889,博泰車聯,20,2,40,"9,421名申请人中49名获发20股",0.104,0.0052
2,2889,博泰車聯,20,3,60,"14,624名申请人中116名获发20股",0.159,0.0079
3,2889,博泰車聯,20,4,80,"2,798名申请人中29名获发20股",0.207,0.0104
4,2889,博泰車聯,20,5,100,"4,073名申请人中53名获发20股",0.26,0.013
5,2889,博泰車聯,20,6,120,"1,427名申请人中22名获发20股",0.308,0.0154
6,2889,博泰車聯,20,7,140,"1,157名申请人中21名获发20股",0.363,0.0181
7,2889,博泰車聯,20,8,160,"1,057名申请人中22名获发20股",0.416,0.0208
8,2889,博泰車聯,20,9,180,"1,085名申请人中25名获发20股",0.461,0.023
9,2889,博泰車聯,20,10,200,"7,172名申请人中190名获发20股",0.53,0.0265
10,2889,博泰車聯,20,15,300,"3,036名申请人中120名获发20股",0.79,0.0395
11,2889,博泰車聯,20,20,400,"4,036名申请人中213名获发20股",1.056,0.0528
12,2889,博泰車聯,20,25,500,"1,616名申请人中107名获发20股",1.324,0.0662
13,2889,博泰車聯,20,30,600,"1,227名申请人中97名获发20股",1.581,0.0791
14,2889,博泰車聯,20,35,700,731名申请人中67名获发20股,1.833,0.0917
15,2889,博泰車聯,20,40,800,719名申请人中76名获发20股,2.114,0.1057
16,2889,博泰車聯,20,45,900,"1,209名申请人中144名获发20股",2.382,0.1191
17,2889,博泰車聯,20,50,1000,"4,779名申请人中618名获发20股",2.586,0.1293
18,2889,博泰車聯,20,100,2000,"3,643名申请人中938名获发20股",5.15,0.2575
19,2889,博泰車聯,20,150,3000,"2,122名申请人中820名获发20股",7.728,0.3864
20,2889,博泰車聯,20,200,4000,"1,680名申请人中865名获发20股",10.298,0.5149
21,2889,博泰車聯,20,250,5000,"1,429名申请人中919名获发20股",12.863,0.6432
22,2889,博泰車聯,20,300,6000,"1,134名申请人中875名获发20股",15.432,0.7716
23,2889,博泰車聯,20,350,7000,600名申请人中544名获发20股,18.133,0.9067
24,2889,博泰車聯,20,400,8000,579名申请人中19名获发额外20股,20.656,1.0328
25,2889,博泰車聯,20,450,9000,423名申请人中70名获发额外20股,23.31,1.1655
26,2889,博泰車聯,20,500,10000,"2,729名申请人中760名获发额外20股",25.571,1.2786
27,2889,博泰車聯,20,1000,20000,"1,885名申请人中1,047名获发额外20股",51.11,2.5555
28,2889,博泰車聯,20,1500,30000,934名申请人中780名获发额外20股,76.703,3.8352
29,2889,博泰車聯,20,2000,40000,"1,223名申请人中1,222名获发额外20股",101.978,5.0989
