代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
3200,大族數控,100,1,100,"62,539名申请人中的6,254名获得100股股份",10.0,0.1
3200,大族數控,100,2,200,"6,977名申请人中的831名获得100股股份",11.91,0.1191
3200,大族數控,100,3,300,"5,932名申请人中的782名获得100股股份",13.18,0.1318
3200,大族數控,100,4,400,"2,815名申请人中的399名获得100股股份",14.17,0.1417
3200,大族數控,100,5,500,"12,684名申请人中的1,901名获得100股股份",14.99,0.1499
3200,大族數控,100,6,600,"2,064名申请人中的324名获得100股股份",15.7,0.157
3200,大族數控,100,7,700,938名申请人中的153名获得100股股份,16.31,0.1631
3200,大族數控,100,8,800,"1,066名申请人中的180名获得100股股份",16.89,0.1689
3200,大族數控,100,9,900,930名申请人中的162名获得100股股份,17.42,0.1742
3200,大族數控,100,10,1000,"8,571名申请人中的1,529名获得100股股份",17.84,0.1784
3200,大族數控,100,15,1500,"3,069名申请人中的606名获得100股股份",19.75,0.1975
3200,大族數控,100,20,2000,"3,093名申请人中的657名获得100股股份",21.24,0.2124
3200,大族數控,100,25,2500,"2,035名申请人中的457名获得100股股份",22.46,0.2246
3200,大族數控,100,30,3000,"2,111名申请人中的496名获得100股股份",23.5,0.235
3200,大族數控,100,35,3500,"1,356名申请人中的332名获得100股股份",24.48,0.2448
3200,大族數控,100,40,4000,"1,542名申请人中的390名获得100股股份",25.29,0.2529
3200,大族數控,100,45,4500,"1,131名申请人中的295名获得100股股份",26.08,0.2608
3200,大族數控,100,50,5000,"2,779名申请人中的743名获得100股股份",26.74,0.2674
3200,大族數控,100,60,6000,"2,075名申请人中的581名获得100股股份",28.0,0.28
3200,大族數控,100,70,7000,"1,872名申请人中的545名获得100股股份",29.11,0.2911
3200,大族數控,100,80,8000,"1,431名申请人中的431名获得100股股份",30.12,0.3012
3200,大族數控,100,90,9000,"1,358名申请人中的421名获得100股股份",31.0,0.31
3200,大族數控,100,100,10000,"7,230名申请人中的2,298名获得100股股份",31.78,0.3178
3200,大族數控,100,200,20000,"4,366名申请人中的1,652名获得100股股份",37.84,0.3784
3200,大族數控,100,300,30000,"2,554名申请人中的1,070名获得100股股份",41.9,0.419
3200,大族數控,100,400,40000,"1,632名申请人中的735名获得100股股份",45.04,0.4504
3200,大族數控,100,500,50000,"2,103名申请人中的1,002名获得100股股份",47.65,0.4765
3200,大族數控,100,600,60000,"100股股份，另6,272名申请人中有3,136名获得额外100股股份",150.0,1.5
3200,大族數控,100,700,70000,"100股股份，另1,178名申请人中有703名获得额外100股股份",159.68,1.5968
3200,大族數控,100,800,80000,100股股份，另847名申请人中有580名获得额外100股股份,168.48,1.6848
3200,大族數控,100,900,90000,100股股份，另602名申请人中有462名获得额外100股股份,176.74,1.7674
3200,大族數控,100,1000,100000,"100股股份，另2,684名申请人中有2,263名获得额外100股股份",184.31,1.8431
3200,大族數控,100,2000,200000,"200股股份，另1,095名申请人中有480名获得额外100股股份",243.84,2.4384
3200,大族數控,100,3000,300000,200股股份，另401名申请人中有350名获得额外100股股份,287.28,2.8728
3200,大族數控,100,4000,400000,300股股份，另206名申请人中有47名获得额外100股股份,322.82,3.2282
3200,大族數控,100,5000,500000,300股股份，另107名申请人中有57名获得额外100股股份,353.27,3.5327
3200,大族數控,100,6000,600000,300股股份，另63名申请人中有51名获得额外100股股份,380.95,3.8095
3200,大族數控,100,7000,700000,400股股份，另38名申请人中有2名获得额外100股股份,405.26,4.0526
3200,大族數控,100,8000,800000,400股股份，另33名申请人中有9名获得额外100股股份,427.27,4.2727
3200,大族數控,100,9000,900000,400股股份，另25名申请人中有12名获得额外100股股份,448.0,4.48
3200,大族數控,100,10000,1000000,400股股份，另89名申请人中有60名获得额外100股股份,467.42,4.6742
3200,大族數控,100,15000,1500000,500股股份，另35名申请人中有18名获得额外100股股份,551.43,5.5143
3200,大族數控,100,20000,2000000,600股股份，另15名申请人中有3名获得额外100股股份,620.0,6.2
3200,大族數控,100,25226,2522600,600股股份，另42名申请人中有33名获得额外100股股份,678.57,6.7857
