代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0325,布鲁可集团,300,1,300,"37,497名申请人中的3,750名获得300股股份",30.0,0.1
0325,布鲁可集团,300,2,600,"5,683名申请人中的580名获得300股股份",30.62,0.1021
0325,布鲁可集团,300,3,900,"2,637名申请人中的277名获得300股股份",31.51,0.105
0325,布鲁可集团,300,4,1200,"1,480名申请人中的160名获得300股股份",32.43,0.1081
0325,布鲁可集团,300,5,1500,"3,930名申请人中的432名获得300股股份",32.98,0.1099
0325,布鲁可集团,300,6,1800,"1,136名申请人中的130名获得300股股份",34.33,0.1144
0325,布鲁可集团,300,7,2100,"1,801名申请人中的214名获得300股股份",35.65,0.1188
0325,布鲁可集团,300,8,2400,526名申请人中的63名获得300股股份,35.93,0.1198
0325,布鲁可集团,300,9,2700,378名申请人中的48名获得300股股份,38.1,0.127
0325,布鲁可集团,300,10,3000,"5,145名申请人中的669名获得300股股份",39.01,0.13
0325,布鲁可集团,300,15,4500,"1,867名申请人中的252名获得300股股份",40.49,0.135
0325,布鲁可集团,300,20,6000,"2,397名申请人中的336名获得300股股份",42.05,0.1402
0325,布鲁可集团,300,25,7500,"1,864名申请人中的280名获得300股股份",45.06,0.1502
0325,布鲁可集团,300,30,9000,"1,907名申请人中的297名获得300股股份",46.72,0.1557
0325,布鲁可集团,300,35,10500,"1,514名申请人中的244名获得300股股份",48.35,0.1612
0325,布鲁可集团,300,40,12000,"1,304名申请人中的214名获得300股股份",49.23,0.1641
0325,布鲁可集团,300,45,13500,988名申请人中的173名获得300股股份,52.53,0.1751
0325,布鲁可集团,300,50,15000,"2,401名申请人中的456名获得300股股份",56.98,0.1899
0325,布鲁可集团,300,60,18000,"1,847名申请人中的410名获得300股股份",66.59,0.222
0325,布鲁可集团,300,70,21000,"1,842名申请人中的464名获得300股股份",75.57,0.2519
0325,布鲁可集团,300,80,24000,"1,303名申请人中的365名获得300股股份",84.04,0.2801
0325,布鲁可集团,300,90,27000,946名申请人中的289名获得300股股份,91.65,0.3055
0325,布鲁可集团,300,100,30000,"6,137名申请人中的2,025名获得300股股份",98.99,0.33
0325,布鲁可集团,300,150,45000,"3,101名申请人中的1,488名获得300股股份",143.95,0.4798
0325,布鲁可集团,300,200,60000,"2,566名申请人中的1,591名获得300股股份",186.01,0.62
0325,布鲁可集团,300,250,75000,"6,524名申请人中的4,894名获得300股股份",225.05,0.7502
0325,布鲁可集团,300,300,90000,"3,655名申请人中的1,754名获得300股股份",143.97,0.4799
0325,布鲁可集团,300,350,105000,"1,287名申请人中的676名获得300股股份",157.58,0.5253
0325,布鲁可集团,300,400,120000,992名申请人中的556名获得300股股份,168.15,0.5605
0325,布鲁可集团,300,450,135000,729名申请人中的426名获得300股股份,175.31,0.5844
0325,布鲁可集团,300,500,150000,"1,619名申请人中的971名获得300股股份",179.93,0.5998
0325,布鲁可集团,300,600,180000,"1,622名申请人中的1,071名获得300股股份",198.09,0.6603
0325,布鲁可集团,300,700,210000,"1,176名申请人中的823名获得300股股份",209.95,0.6998
0325,布鲁可集团,300,800,240000,"1,145名申请人中的733名获得300股股份",192.05,0.6402
0325,布鲁可集团,300,900,270000,835名申请人中的541名获得300股股份,194.37,0.6479
0325,布鲁可集团,300,1000,300000,"5,000名申请人中的3,250名获得300股股份",195.0,0.65
0325,布鲁可集团,300,2000,600000,"3,305名申请人中的2,644名获得300股股份",240.0,0.8
0325,布鲁可集团,300,3000,900000,"1,301名申请人中的1,201名获得300股股份",276.94,0.9231
0325,布鲁可集团,300,4020,1206000,300股股份,300.0,1.0
