代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
3268,美格智能,100,1,100,"23,828名申请人中的1,191名获得100股股份",5.0,0.05
3268,美格智能,100,2,200,"4,687名申请人中的412名获得100股股份",8.79,0.0879
3268,美格智能,100,3,300,"9,033名申请人中的1,165名获得100股股份",12.9,0.129
3268,美格智能,100,4,400,"1,421名申请人中的239名获得100股股份",16.82,0.1682
3268,美格智能,100,5,500,"1,699名申请人中的348名获得100股股份",20.48,0.2048
3268,美格智能,100,6,600,585名申请人中的140名获得100股股份,23.93,0.2393
3268,美格智能,100,7,700,554名申请人中的151名获得100股股份,27.26,0.2726
3268,美格智能,100,8,800,432名申请人中的131名获得100股股份,30.32,0.3032
3268,美格智能,100,9,900,349名申请人中的116名获得100股股份,33.24,0.3324
3268,美格智能,100,10,1000,"3,404名申请人中的1,225名获得100股股份",35.99,0.3599
3268,美格智能,100,15,1500,"1,553名申请人中的815名获得100股股份",52.48,0.5248
3268,美格智能,100,20,2000,"1,046名申请人中的690名获得100股股份",65.97,0.6597
3268,美格智能,100,25,2500,406名申请人中的305名获得100股股份,75.12,0.7512
3268,美格智能,100,30,3000,745名申请人中的581名获得100股股份,77.99,0.7799
3268,美格智能,100,35,3500,412名申请人中的361名获得100股股份,87.62,0.8762
3268,美格智能,100,40,4000,323名申请人中的284名获得100股股份,87.93,0.8793
3268,美格智能,100,45,4500,177名申请人中的159名获得100股股份,89.83,0.8983
3268,美格智能,100,50,5000,652名申请人中的587名获得100股股份,90.03,0.9003
3268,美格智能,100,60,6000,351名申请人中的326名获得100股股份,92.88,0.9288
3268,美格智能,100,70,7000,290名申请人中的274名获得100股股份,94.48,0.9448
3268,美格智能,100,80,8000,256名申请人中的246名获得100股股份,96.09,0.9609
3268,美格智能,100,90,9000,210名申请人中的208名获得100股股份,99.05,0.9905
3268,美格智能,100,100,10000,100股股份,100.0,1.0
3268,美格智能,100,200,20000,100股股份，另844名申请人中有188名获得额外100股股份,122.27,1.2227
3268,美格智能,100,300,30000,100股股份，另424名申请人中有212名获得额外100股股份,150.0,1.5
3268,美格智能,100,400,40000,100股股份，另297名申请人中有178名获得额外100股股份,159.93,1.5993
3268,美格智能,100,500,50000,100股股份，另263名申请人中有175名获得额外100股股份,166.54,1.6654
3268,美格智能,100,600,60000,200股股份,200.0,2.0
3268,美格智能,100,700,70000,200股股份，另138名申请人中有33名获得额外100股股份,223.91,2.2391
3268,美格智能,100,800,80000,200股股份，另112名申请人中有54名获得额外100股股份,248.21,2.4821
3268,美格智能,100,900,90000,200股股份，另83名申请人中有58名获得额外100股股份,269.88,2.6988
3268,美格智能,100,1000,100000,300股股份,300.0,3.0
3268,美格智能,100,2000,200000,1000股股份，另565名申请人中有70名获得额外100股股份,1012.39,10.1239
3268,美格智能,100,3000,300000,1400股股份,1400.0,14.0
3268,美格智能,100,4000,400000,1800股股份,1800.0,18.0
3268,美格智能,100,5000,500000,2200股股份,2200.0,22.0
3268,美格智能,100,6000,600000,2600股股份,2600.0,26.0
3268,美格智能,100,7000,700000,3000股股份,3000.0,30.0
3268,美格智能,100,8000,800000,3400股股份,3400.0,34.0
3268,美格智能,100,9000,900000,3800股股份,3800.0,38.0
3268,美格智能,100,10000,1000000,4200股股份,4200.0,42.0
3268,美格智能,100,12500,1250000,5200股股份,5200.0,52.0
3268,美格智能,100,15000,1500000,6200股股份,6200.0,62.0
3268,美格智能,100,17500,1750000,7000股股份,7000.0,70.0
