,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,3288,海天味業,100,1,100,"61,543名申请人中3,078名获发100股",5.0,0.05
1,3288,海天味業,100,2,200,"20,620名申请人中1,658名获发100股",8.04,0.08
2,3288,海天味業,100,3,300,"15,473名申请人中1,643名获发100股",10.62,0.11
3,3288,海天味業,100,4,400,"10,439名申请人中1,350名获发100股",12.93,0.13
4,3288,海天味業,100,5,500,"15,234名申请人中2,295名获发100股",15.06,0.15
5,3288,海天味業,100,6,600,"10,628名申请人中1,814名获发100股",17.07,0.17
6,3288,海天味業,100,7,700,"7,743名申请人中1,469名获发100股",18.97,0.19
7,3288,海天味業,100,8,800,"8,675名申请人中1,804名获发100股",20.79,0.21
8,3288,海天味業,100,9,900,"7,607名申请人中1,715名获发100股",22.55,0.23
9,3288,海天味業,100,10,1000,"47,541名申请人中11,515名获发100股",24.22,0.24
10,3288,海天味業,100,15,1500,"10,279名申请人中3,287名获发100股",31.98,0.32
11,3288,海天味業,100,20,2000,"9,760名申请人中3,802名获发100股",38.95,0.39
12,3288,海天味業,100,25,2500,"10,142名申请人中4,603名获发100股",45.39,0.45
13,3288,海天味業,100,30,3000,"8,427名申请人中4,333名获发100股",51.43,0.51
14,3288,海天味業,100,35,3500,"3,728名申请人中2,131名获发100股",57.17,0.57
15,3288,海天味業,100,40,4000,"4,123名申请人中2,582名获发100股",62.62,0.63
16,3288,海天味業,100,45,4500,"2,652名申请人中1,801名获发100股",67.93,0.68
17,3288,海天味業,100,50,5000,"9,091名申请人中6,634名获发100股",72.97,0.73
18,3288,海天味業,100,60,6000,"5,847名申请人中4,835名获发100股",82.69,0.83
19,3288,海天味業,100,70,7000,"4,553名申请人中4,184名获发100股",91.9,0.92
20,3288,海天味業,100,80,8000,"4,938名申请人中35名获发额外100股",100.71,1.01
21,3288,海天味業,100,90,9000,"3,130名申请人中287名获发额外100股",101.02,1.01
22,3288,海天味業,100,100,10000,"25,013名申请人中4,334名获发额外100股",101.73,1.02
23,3288,海天味業,100,200,20000,"14,284名申请人中12,664名获发额外100股",138.65,1.39
24,3288,海天味業,100,300,30000,"8,164名申请人中4,007名获发额外100股",224.09,2.24
25,3288,海天味業,100,400,40000,"4,615名申请人中155名获发额外100股",303.36,3.03
26,3288,海天味業,100,500,50000,"4,147名申请人中2,217名获发额外100股",353.46,3.53
27,3288,海天味業,100,600,60000,"2,843名申请人中15名获发额外100股",400.53,4.01
28,3288,海天味業,100,700,70000,"2,128名申请人中960名获发额外100股",445.11,4.45
29,3288,海天味業,100,800,80000,"1,965名申请人中1,725名获发额外100股",487.79,4.88
30,3288,海天味業,100,900,90000,"1,411名申请人中406名获发额外100股",528.77,5.29
31,3288,海天味業,100,1000,100000,"10,255名申请人中7,009名获发额外100股",568.35,5.68
