代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
3317,迅策,100,1,100,"6,313名申请人中的807名获得100股股份",12.78,0.1278
3317,迅策,100,2,200,877名申请人中的224名获得100股股份,25.54,0.2554
3317,迅策,100,3,300,270名申请人中的103名获得100股股份,38.15,0.3815
3317,迅策,100,4,400,183名申请人中的93名获得100股股份,50.82,0.5082
3317,迅策,100,5,500,260名申请人中的165名获得100股股份,63.46,0.6346
3317,迅策,100,6,600,91名申请人中的69名获得100股股份,75.82,0.7582
3317,迅策,100,7,700,56名申请人中的49名获得100股股份,87.5,0.875
3317,迅策,100,8,800,100股股份,100.0,1.0
3317,迅策,100,9,900,100股股份，另87名申请人中有10名获得额外100股股份,111.49,1.1149
3317,迅策,100,10,1000,100股股份，另636名申请人中有152名获得额外100股股份,123.9,1.239
3317,迅策,100,15,1500,100股股份，另132名申请人中有113名获得额外100股股份,185.61,1.8561
3317,迅策,100,20,2000,200股股份，另169名申请人中有80名获得额外100股股份,247.34,2.4734
3317,迅策,100,25,2500,300股股份，另47名申请人中有4名获得额外100股股份,308.51,3.0851
3317,迅策,100,30,3000,300股股份，另62名申请人中有43名获得额外100股股份,369.35,3.6935
3317,迅策,100,35,3500,400股股份，另26名申请人中有8名获得额外100股股份,430.77,4.3077
3317,迅策,100,40,4000,400股股份，另35名申请人中有32名获得额外100股股份,491.43,4.9143
3317,迅策,100,45,4500,500股股份，另21名申请人中有11名获得额外100股股份,552.38,5.5238
3317,迅策,100,50,5000,600股股份，另85名申请人中有12名获得额外100股股份,614.12,6.1412
3317,迅策,100,60,6000,700股股份，另33名申请人中有12名获得额外100股股份,736.36,7.3636
3317,迅策,100,70,7000,800股股份，另21名申请人中有12名获得额外100股股份,857.14,8.5714
3317,迅策,100,80,8000,900股股份，另11名申请人中有8名获得额外100股股份,972.73,9.7273
3317,迅策,100,90,9000,1000股股份，另15名申请人中有14名获得额外100股股份,1093.33,10.9333
3317,迅策,100,100,10000,1200股股份，另93名申请人中有14名获得额外100股股份,1215.05,12.1505
3317,迅策,100,200,20000,2400股股份，另45名申请人中有4名获得额外100股股份,2408.89,24.0889
3317,迅策,100,300,30000,3400股股份,3400.0,34.0
3317,迅策,100,400,40000,4500股股份，另13名申请人中有4名获得额外100股股份,4530.77,45.3077
3317,迅策,100,500,50000,5600股股份，另15名申请人中有10名获得额外100股股份,5666.67,56.6667
3317,迅策,100,600,60000,6800股股份,6800.0,68.0
3317,迅策,100,800,80000,9000股股份，另11名申请人中有7名获得额外100股股份,9063.64,90.6364
3317,迅策,100,1000,100000,16300股股份，另17名申请人中有14名获得额外100股股份,16382.35,163.8235
3317,迅策,100,1200,120000,19600股股份，另3名申请人中有1名获得额外100股股份,19633.33,196.3333
3317,迅策,100,1400,140000,22800股股份，另4名申请人中有3名获得额外100股股份,22875.0,228.75
3317,迅策,100,1600,160000,26100股股份,26100.0,261.0
3317,迅策,100,2000,200000,32600股股份,32600.0,326.0
3317,迅策,100,3000,300000,48900股股份,48900.0,489.0
3317,迅策,100,5000,500000,81500股股份,81500.0,815.0
3317,迅策,100,11250,1125000,183400股股份,183400.0,1834.0
