代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
3378,翰思艾泰-B,100,1,100,"35,303名申请人中的354名获得100股股份",1.0,0.01
3378,翰思艾泰-B,100,2,200,"7,318名申请人中的107名获得100股股份",1.46,0.0146
3378,翰思艾泰-B,100,3,300,"25,336名申请人中的459名获得100股股份",1.81,0.0181
3378,翰思艾泰-B,100,4,400,"2,536名申请人中的54名获得100股股份",2.13,0.0213
3378,翰思艾泰-B,100,5,500,"2,610名申请人中的63名获得100股股份",2.41,0.0241
3378,翰思艾泰-B,100,6,600,"1,780名申请人中的47名获得100股股份",2.64,0.0264
3378,翰思艾泰-B,100,7,700,"1,253名申请人中的36名获得100股股份",2.87,0.0287
3378,翰思艾泰-B,100,8,800,"1,061名申请人中的33名获得100股股份",3.11,0.0311
3378,翰思艾泰-B,100,9,900,"1,521名申请人中的50名获得100股股份",3.29,0.0329
3378,翰思艾泰-B,100,10,1000,"7,041名申请人中的245名获得100股股份",3.48,0.0348
3378,翰思艾泰-B,100,15,1500,"7,144名申请人中的309名获得100股股份",4.33,0.0433
3378,翰思艾泰-B,100,20,2000,"2,044名申请人中的104名获得100股股份",5.09,0.0509
3378,翰思艾泰-B,100,25,2500,"1,316名申请人中的75名获得100股股份",5.7,0.057
3378,翰思艾泰-B,100,30,3000,"1,687名申请人中的106名获得100股股份",6.28,0.0628
3378,翰思艾泰-B,100,35,3500,"1,049名申请人中的72名获得100股股份",6.86,0.0686
3378,翰思艾泰-B,100,40,4000,855名申请人中的63名获得100股股份,7.37,0.0737
3378,翰思艾泰-B,100,45,4500,560名申请人中的44名获得100股股份,7.86,0.0786
3378,翰思艾泰-B,100,50,5000,"1,336名申请人中的111名获得100股股份",8.31,0.0831
3378,翰思艾泰-B,100,60,6000,"1,115名申请人中的102名获得100股股份",9.15,0.0915
3378,翰思艾泰-B,100,70,7000,848名申请人中的85名获得100股股份,10.02,0.1002
3378,翰思艾泰-B,100,80,8000,727名申请人中的78名获得100股股份,10.73,0.1073
3378,翰思艾泰-B,100,90,9000,639名申请人中的73名获得100股股份,11.42,0.1142
3378,翰思艾泰-B,100,100,10000,"4,751名申请人中的572名获得100股股份",12.04,0.1204
3378,翰思艾泰-B,100,200,20000,"2,935名申请人中的514名获得100股股份",17.51,0.1751
3378,翰思艾泰-B,100,300,30000,"2,285名申请人中的498名获得100股股份",21.79,0.2179
3378,翰思艾泰-B,100,400,40000,"1,704名申请人中的434名获得100股股份",25.47,0.2547
3378,翰思艾泰-B,100,500,50000,"1,310名申请人中的376名获得100股股份",28.7,0.287
3378,翰思艾泰-B,100,600,60000,949名申请人中的301名获得100股股份,31.72,0.3172
3378,翰思艾泰-B,100,700,70000,978名申请人中的337名获得100股股份,34.46,0.3446
3378,翰思艾泰-B,100,800,80000,893名申请人中的331名获得100股股份,37.07,0.3707
3378,翰思艾泰-B,100,900,90000,777名申请人中的307名获得100股股份,39.51,0.3951
3378,翰思艾泰-B,100,1000,100000,"6,765名申请人中的2,821名获得100股股份",41.7,0.417
3378,翰思艾泰-B,100,2000,200000,"100股股份，另5,676名申请人中有3,406名获得额外100股股份",160.01,1.6001
3378,翰思艾泰-B,100,3000,300000,"100股股份，另1,527名申请人中有1,176名获得额外100股股份",177.01,1.7701
3378,翰思艾泰-B,100,4000,400000,100股股份，另927名申请人中有809名获得额外100股股份,187.27,1.8727
3378,翰思艾泰-B,100,5000,500000,100股股份，另731名申请人中有720名获得额外100股股份,198.5,1.985
3378,翰思艾泰-B,100,6000,600000,100股股份,100.0,1.0
3378,翰思艾泰-B,100,7000,700000,100股股份，另373名申请人中有68名获得额外100股股份,118.23,1.1823
3378,翰思艾泰-B,100,8000,800000,100股股份，另394名申请人中有107名获得额外100股股份,127.16,1.2716
3378,翰思艾泰-B,100,9160,916000,"100股股份，另1,249名申请人中有457名获得额外100股股份",136.59,1.3659
