代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
3625,傅里葉,100,1,100,"62,321名申请，3,116名获发100股",5.0,0.05
3625,傅里葉,100,2,200,"5,937名申请，332名获发100股",5.59,0.06
3625,傅里葉,100,3,300,"2,579名申请，148名获发100股",5.74,0.06
3625,傅里葉,100,4,400,"1,812名申请，106名获发100股",5.85,0.06
3625,傅里葉,100,5,500,"1,890名申请，113名获发100股",5.98,0.06
3625,傅里葉,100,6,600,"1,150名申请，70名获发100股",6.09,0.06
3625,傅里葉,100,7,700,749名申请，47名获发100股,6.28,0.06
3625,傅里葉,100,8,800,"1,325名申请，86名获发100股",6.49,0.06
3625,傅里葉,100,9,900,"6,820名申请，452名获发100股",6.63,0.07
3625,傅里葉,100,10,1000,"4,254名申请，287名获发100股",6.75,0.07
3625,傅里葉,100,15,1500,"2,315名申请，170名获发100股",7.34,0.07
3625,傅里葉,100,20,2000,"1,596名申请，127名获发100股",7.96,0.08
3625,傅里葉,100,25,2500,866名申请，74名获发100股,8.55,0.09
3625,傅里葉,100,30,3000,857名申请，79名获发100股,9.22,0.09
3625,傅里葉,100,35,3500,595名申请，58名获发100股,9.75,0.1
3625,傅里葉,100,40,4000,677名申请，70名获发100股,10.34,0.1
3625,傅里葉,100,45,4500,446名申请，49名获发100股,10.99,0.11
3625,傅里葉,100,50,5000,"1,011名申请，118名获发100股",11.67,0.12
3625,傅里葉,100,60,6000,744名申请，96名获发100股,12.9,0.13
3625,傅里葉,100,70,7000,611名申请，86名获发100股,14.08,0.14
3625,傅里葉,100,80,8000,589名申请，90名获发100股,15.28,0.15
3625,傅里葉,100,90,9000,553名申请，91名获发100股,16.46,0.16
3625,傅里葉,100,100,10000,"3,491名申请，617名获发100股",17.67,0.18
3625,傅里葉,100,200,20000,"2,473名申请，726名获发100股",29.36,0.29
3625,傅里葉,100,300,30000,"1,348名申请，553名获发100股",41.02,0.41
3625,傅里葉,100,400,40000,927名申请，489名获发100股,52.75,0.53
3625,傅里葉,100,500,50000,732名申请，471名获发100股,64.34,0.64
3625,傅里葉,100,600,60000,547名申请，416名获发100股,76.05,0.76
3625,傅里葉,100,700,70000,445名申请，391名获发100股,87.87,0.88
3625,傅里葉,100,800,80000,444名申请，436名获100股+8名获200股,100.18,1.0
3625,傅里葉,100,900,90000,406名申请，362名获100股+44名获200股,110.84,1.11
3625,傅里葉,100,1000,100000,"1,280名申请，990名获100股+290名获200股",122.66,1.23
3625,傅里葉,100,1250,125000,"2,480名申请，1,403名获100股+1,077名获200股",143.43,1.43
3625,傅里葉,100,1500,150000,764名申请，348名获100股+416名获200股,154.45,1.54
3625,傅里葉,100,1750,175000,436名申请，151名获100股+285名获200股,165.37,1.65
3625,傅里葉,100,2000,200000,473名申请，109名获100股+364名获200股,176.96,1.77
3625,傅里葉,100,2250,225000,198名申请，198名获发200股,200.0,2.0
3625,傅里葉,100,2500,250000,229名申请，226名获200股+3名获300股,201.31,2.01
3625,傅里葉,100,2750,275000,123名申请，107名获200股+16名获300股,213.01,2.13
3625,傅里葉,100,3000,300000,"2,044名申请，1,546名获200股+498名获300股",224.36,2.24
