,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,3677,正力新能,1,300,"2,956名中2,956名获发300股",300.0,1.0
1,3677,正力新能,2,600,635名中392名获发额外300股,485.2,1.6173
2,3677,正力新能,3,900,413名中413名获发600股,600.0,2.0
3,3677,正力新能,4,1200,426名中256名获发额外300股,780.28,2.6009
4,3677,正力新能,5,1500,205名中205名获发900股,900.0,3.0
5,3677,正力新能,6,1800,106名中57名获发额外300股,1061.32,3.5377
6,3677,正力新能,7,2100,"79名中79名获发1,200股",1200.0,4.0
7,3677,正力新能,8,2400,102名中51名获发额外300股,1350.0,4.5
8,3677,正力新能,9,2700,"31名中31名获发1,500股",1500.0,5.0
9,3677,正力新能,10,3000,487名中195名获发额外300股,1620.12,5.4004
10,3677,正力新能,20,6000,"179名中179名获发2,400股",2400.0,8.0
11,3677,正力新能,30,9000,"69名中69名获发3,300股",3300.0,11.0
12,3677,正力新能,40,12000,"90名中90名获发3,600股",3600.0,12.0
13,3677,正力新能,50,15000,"36名中36名获发4,200股",4200.0,14.0
14,3677,正力新能,60,18000,"23名中23名获发4,800股",4800.0,16.0
15,3677,正力新能,70,21000,"19名中19名获发5,400股",5400.0,18.0
16,3677,正力新能,80,24000,"21名中21名获发6,000股",6000.0,20.0
17,3677,正力新能,90,27000,"8名中8名获发6,600股",6600.0,22.0
18,3677,正力新能,100,30000,"37名中37名获发6,900股",6900.0,23.0
19,3677,正力新能,150,45000,"14名中14名获发9,000股",9000.0,30.0
20,3677,正力新能,200,60000,"15名中15名获发9,600股",9600.0,32.0
