,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,3696,英矽智能,500,1,500,"87,909名申请人中880名获发500股",5.0,0.01
1,3696,英矽智能,500,2,1000,"13,678名申请人中204名获发500股",7.46,0.01
2,3696,英矽智能,500,3,1500,"7,716名申请人中145名获发500股",9.39,0.02
3,3696,英矽智能,500,4,2000,"20,126名申请人中444名获发500股",11.03,0.02
4,3696,英矽智能,500,5,2500,"5,669名申请人中142名获发500股",12.52,0.03
5,3696,英矽智能,500,6,3000,"2,419名申请人中68名获发500股",14.05,0.03
6,3696,英矽智能,500,7,3500,"1,649名申请人中50名获发500股",15.16,0.03
7,3696,英矽智能,500,8,4000,"4,063名申请人中133名获发500股",16.37,0.03
8,3696,英矽智能,500,9,4500,"1,780名申请人中63名获发500股",17.7,0.04
9,3696,英矽智能,500,10,5000,"8,392名申请人中312名获发500股",18.59,0.04
10,3696,英矽智能,500,12,6000,"2,155名申请人中89名获发500股",20.65,0.04
11,3696,英矽智能,500,14,7000,"1,649名申请人中75名获发500股",22.74,0.05
12,3696,英矽智能,500,16,8000,"1,878名申请人中92名获发500股",24.49,0.05
13,3696,英矽智能,500,18,9000,"1,428名申请人中75名获发500股",26.26,0.05
14,3696,英矽智能,500,20,10000,"5,920名申请人中327名获发500股",27.62,0.06
15,3696,英矽智能,500,30,15000,"4,146名申请人中288名获发500股",34.73,0.07
16,3696,英矽智能,500,40,20000,"3,746名申请人中307名获发500股",40.98,0.08
17,3696,英矽智能,500,50,25000,"2,759名申请人中257名获发500股",46.57,0.09
18,3696,英矽智能,500,60,30000,"2,175名申请人中225名获发500股",51.72,0.1
19,3696,英矽智能,500,70,35000,"1,593名申请人中180名获发500股",56.5,0.11
20,3696,英矽智能,500,80,40000,"1,705名申请人中208名获发500股",61.0,0.12
21,3696,英矽智能,500,90,45000,"1,521名申请人中198名获发500股",65.09,0.13
22,3696,英矽智能,500,100,50000,"2,821名申请人中390名获发500股",69.12,0.14
23,3696,英矽智能,500,120,60000,"2,002名申请人中307名获发500股",76.67,0.15
24,3696,英矽智能,500,140,70000,"1,374名申请人中230名获发500股",83.7,0.17
25,3696,英矽智能,500,160,80000,"1,409名申请人中255名获发500股",90.49,0.18
26,3696,英矽智能,500,180,90000,"1,260名申请人中243名获发500股",96.43,0.19
27,3696,英矽智能,500,200,100000,"7,176名申请人中1,470名获发500股",102.42,0.2
28,3696,英矽智能,500,400,200000,"5,963名申请人中1,813名获发500股",152.05,0.3
