,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,3858,佳鑫國際資源,400,1,400,"32,713名申请人中327名获发400股",4.0,0.01
1,3858,佳鑫國際資源,400,2,800,"20,989名申请人中357名获发400股",6.8,0.02
2,3858,佳鑫國際資源,400,3,1200,"6,400名申请人中133名获发400股",8.31,0.02
3,3858,佳鑫國際資源,400,4,1600,"6,248名申请人中152名获发400股",9.73,0.02
4,3858,佳鑫國際資源,400,5,2000,"6,379名申请人中175名获发400股",10.98,0.03
5,3858,佳鑫國際資源,400,6,2400,"2,694名申请人中82名获发400股",12.18,0.03
6,3858,佳鑫國際資源,400,7,2800,"1,978名申请人中66名获发400股",13.35,0.03
7,3858,佳鑫國際資源,400,8,3200,"1,726名申请人中62名获发400股",14.37,0.04
8,3858,佳鑫國際資源,400,9,3600,"1,437名申请人中55名获发400股",15.31,0.04
9,3858,佳鑫國際資源,400,10,4000,"11,303名申请人中457名获发400股",16.17,0.04
10,3858,佳鑫國際資源,400,15,6000,"3,530名申请人中179名获发400股",20.28,0.05
11,3858,佳鑫國際資源,400,20,8000,"5,176名申请人中307名获发400股",23.73,0.06
12,3858,佳鑫國際資源,400,25,10000,"3,161名申请人中211名获发400股",26.7,0.07
13,3858,佳鑫國際資源,400,30,12000,"2,213名申请人中153名获发400股",27.65,0.07
14,3858,佳鑫國際資源,400,35,14000,"1,678名申请人中129名获发400股",30.75,0.08
15,3858,佳鑫國際資源,400,40,16000,"1,668名申请人中140名获发400股",33.57,0.08
16,3858,佳鑫國際資源,400,45,18000,"1,638名申请人中147名获发400股",35.9,0.09
17,3858,佳鑫國際資源,400,50,20000,"6,023名申请人中572名获发400股",38.0,0.1
18,3858,佳鑫國際資源,400,75,30000,"4,243名申请人中573名获发400股",54.02,0.14
19,3858,佳鑫國際資源,400,100,40000,"3,616名申请人中579名获发400股",64.05,0.16
20,3858,佳鑫國際資源,400,125,50000,"2,765名申请人中518名获发400股",74.94,0.19
21,3858,佳鑫國際資源,400,150,60000,"2,085名申请人中438名获发400股",84.03,0.21
22,3858,佳鑫國際資源,400,175,70000,"1,604名申请人中365名获发400股",91.02,0.23
23,3858,佳鑫國際資源,400,200,80000,"1,473名申请人中354名获发400股",96.13,0.24
24,3858,佳鑫國際資源,400,225,90000,"1,424名申请人中352名获发400股",98.88,0.25
25,3858,佳鑫國際資源,400,250,100000,"6,940名申请人中1,735名获发400股",100.0,0.25
26,3858,佳鑫國際資源,400,500,200000,"3,308名申请人中1,489名获发400股",180.05,0.45
27,3858,佳鑫國際資源,400,750,300000,"2,521名申请人中1,513名获发400股",240.06,0.6
28,3858,佳鑫國際資源,400,1000,400000,"3,009名申请人中2,107名获发400股",280.11,0.7
