,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,3880,泰德醫藥,100,1,100,"24,499名申请人中12,250名获发100股",50.0,0.5
1,3880,泰德醫藥,100,2,200,"5,895名申请人中3,006名获发100股",51.0,0.51
2,3880,泰德醫藥,100,3,300,"5,426名申请人中2,784名获发100股",51.3,0.51
3,3880,泰德醫藥,100,4,400,"2,251名申请人中1,156名获发100股",51.36,0.51
4,3880,泰德醫藥,100,5,500,"2,807名申请人中1,443名获发100股",51.4,0.51
5,3880,泰德醫藥,100,6,600,"1,423名申请人中732名获发100股",51.42,0.51
6,3880,泰德醫藥,100,7,700,929名申请人中479名获发100股,51.45,0.51
7,3880,泰德醫藥,100,8,800,908名申请人中469名获发100股,51.46,0.51
8,3880,泰德醫藥,100,9,900,452名申请人中234名获发100股,51.75,0.52
9,3880,泰德醫藥,100,10,1000,"5,390名申请人中2,796名获发100股",51.9,0.52
10,3880,泰德醫藥,100,15,1500,"2,057名申请人中1,070名获发100股",52.05,0.52
11,3880,泰德醫藥,100,20,2000,"2,054名申请人中1,073名获发100股",52.2,0.52
12,3880,泰德醫藥,100,25,2500,799名申请人中419名获发100股,52.5,0.53
13,3880,泰德醫藥,100,30,3000,"1,628名申请人中859名获发100股",52.8,0.53
14,3880,泰德醫藥,100,35,3500,"1,026名申请人中545名获发100股",53.2,0.53
15,3880,泰德醫藥,100,40,4000,798名申请人中427名获发100股,53.6,0.54
16,3880,泰德醫藥,100,45,4500,442名申请人中238名获发100股,54.0,0.54
17,3880,泰德醫藥,100,50,5000,"1,468名申请人中798名获发100股",54.5,0.55
18,3880,泰德醫藥,100,60,6000,816名申请人中448名获发100股,55.2,0.55
19,3880,泰德醫藥,100,70,7000,732名申请人中410名获发100股,56.0,0.56
20,3880,泰德醫藥,100,80,8000,614名申请人中354名获发100股,57.6,0.58
21,3880,泰德醫藥,100,90,9000,342名申请人中200名获发100股,58.5,0.59
22,3880,泰德醫藥,100,100,10000,"2,730名申请人中1,643名获发100股",60.2,0.6
23,3880,泰德醫藥,100,200,20000,"1,208名申请人全部获发100股",50.0,0.5
24,3880,泰德醫藥,100,300,30000,725名申请人中276名获发额外100股,138.07,1.38
25,3880,泰德醫藥,100,400,40000,497名申请人中318名获发额外100股,163.98,1.64
26,3880,泰德醫藥,100,500,50000,453名申请人全部获发200股,200.0,2.0
27,3880,泰德醫藥,100,600,60000,242名申请人中82名获发额外100股,233.88,2.34
28,3880,泰德醫藥,100,700,70000,219名申请人中145名获发额外100股,266.21,2.66
29,3880,泰德醫藥,100,800,80000,190名申请人全部获发300股,300.0,3.0
30,3880,泰德醫藥,100,900,90000,102名申请人中15名获发额外100股,314.71,3.15
31,3880,泰德醫藥,100,1000,100000,349名申请人中140名获发额外100股,340.11,3.4
32,3880,泰德醫藥,100,1500,150000,202名申请人全部获发500股,500.0,5.0
