,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,3881,希迪智駕,10,1,10,"8,728名申请人中4,364名获发10股",5.0,0.5
1,3881,希迪智駕,10,2,20,"1,882名申请人中1,422名获发10股",7.56,0.76
2,3881,希迪智駕,10,3,30,"1,444名申请人中1,388名获发10股",9.61,0.96
3,3881,希迪智駕,10,4,40,610名申请人中86名获发额外10股,11.41,1.14
4,3881,希迪智駕,10,5,50,697名申请人中211名获发额外10股,13.03,1.3
5,3881,希迪智駕,10,6,60,175名申请人中80名获发额外10股,14.57,1.46
6,3881,希迪智駕,10,7,70,121名申请人中72名获发额外10股,15.95,1.6
7,3881,希迪智駕,10,8,80,156名申请人中113名获发额外10股,17.24,1.72
8,3881,希迪智駕,10,9,90,94名申请人中80名获发额外10股,18.51,1.85
9,3881,希迪智駕,10,10,100,"1,326名申请人中1,283名获发额外10股",19.68,1.97
10,3881,希迪智駕,10,15,150,290名申请人中146名获发额外10股,25.03,2.5
11,3881,希迪智駕,10,20,200,307名申请人中298名获发额外10股,29.71,2.97
12,3881,希迪智駕,10,25,250,85名申请人中34名获发额外10股,34.0,3.4
13,3881,希迪智駕,10,30,300,122名申请人中96名获发额外10股,37.87,3.79
14,3881,希迪智駕,10,35,350,74名申请人中11名获发额外10股,41.49,4.15
15,3881,希迪智駕,10,40,400,152名申请人全部获发40股,40.0,4.0
16,3881,希迪智駕,10,45,450,44名申请人全部获发40股,40.0,4.0
17,3881,希迪智駕,10,50,500,157名申请人中20名获发额外10股,41.27,4.13
18,3881,希迪智駕,10,60,600,59名申请人中42名获发额外10股,47.12,4.71
19,3881,希迪智駕,10,70,700,51名申请人中14名获发额外10股,62.75,6.28
20,3881,希迪智駕,10,80,800,53名申请人中42名获发额外10股,67.92,6.79
21,3881,希迪智駕,10,90,900,25名申请人中7名获发额外10股,71.11,7.11
22,3881,希迪智駕,10,100,1000,264名申请人中195名获发额外10股,77.39,7.74
23,3881,希迪智駕,10,200,2000,104名申请人中72名获发额外10股,116.92,11.69
24,3881,希迪智駕,10,300,3000,39名申请人中35名获发额外10股,189.74,18.97
25,3881,希迪智駕,10,400,4000,49名申请人中32名获发额外10股,246.53,24.65
26,3881,希迪智駕,10,500,5000,42名申请人中7名获发额外10股,401.67,40.17
27,3881,希迪智駕,10,600,6000,19名申请人中9名获发额外10股,578.95,57.9
28,3881,希迪智駕,10,700,7000,8名申请人中5名获发额外10股,875.0,87.5
29,3881,希迪智駕,10,800,8000,10名申请人中7名获发额外10股,875.0,87.5
30,3881,希迪智駕,10,900,9000,8名申请人中5名获发额外10股,875.0,87.5
31,3881,希迪智駕,10,1000,10000,82名申请人中36名获发额外10股,878.05,87.81
