,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,3887,HASHKEY HLDGS,400,1,400,"29,431名申请人中2,944名获发400股",40.0,0.1
1,3887,HASHKEY HLDGS,400,2,800,"5,658名申请人中757名获发400股",53.5,0.13
2,3887,HASHKEY HLDGS,400,3,1200,"8,296名申请人中1,314名获发400股",63.36,0.16
3,3887,HASHKEY HLDGS,400,4,1600,"2,555名申请人中457名获发400股",71.55,0.18
4,3887,HASHKEY HLDGS,400,5,2000,"3,135名申请人中615名获发400股",78.47,0.2
5,3887,HASHKEY HLDGS,400,6,2400,"1,332名申请人中282名获发400股",84.68,0.21
6,3887,HASHKEY HLDGS,400,7,2800,"1,338名申请人中303名获发400股",90.58,0.23
7,3887,HASHKEY HLDGS,400,8,3200,"1,131名申请人中270名获发400股",95.49,0.24
8,3887,HASHKEY HLDGS,400,9,3600,708名申请人中178名获发400股,100.56,0.25
9,3887,HASHKEY HLDGS,400,10,4000,"5,013名申请人中1,314名获发400股",104.87,0.26
10,3887,HASHKEY HLDGS,400,15,6000,"3,366名申请人中1,046名获发400股",124.3,0.31
11,3887,HASHKEY HLDGS,400,20,8000,"1,706名申请人中598名获发400股",140.21,0.35
12,3887,HASHKEY HLDGS,400,25,10000,"1,340名申请人中516名获发400股",154.03,0.39
13,3887,HASHKEY HLDGS,400,30,12000,929名申请人中386名获发400股,166.2,0.42
14,3887,HASHKEY HLDGS,400,35,14000,"1,051名申请人中466名获发400股",177.36,0.44
15,3887,HASHKEY HLDGS,400,40,16000,865名申请人中405名获发400股,187.28,0.47
16,3887,HASHKEY HLDGS,400,45,18000,509名申请人中251名获发400股,197.25,0.49
17,3887,HASHKEY HLDGS,400,50,20000,"2,322名申请人中1,193名获发400股",205.56,0.51
18,3887,HASHKEY HLDGS,400,75,30000,"1,319名申请人中803名获发400股",243.52,0.61
19,3887,HASHKEY HLDGS,400,100,40000,"1,268名申请人中871名获发400股",274.76,0.69
20,3887,HASHKEY HLDGS,400,125,50000,825名申请人中622名获发400股,301.58,0.75
21,3887,HASHKEY HLDGS,400,150,60000,707名申请人中576名获发400股,325.88,0.81
22,3887,HASHKEY HLDGS,400,175,70000,623名申请人中541名获发400股,347.35,0.87
23,3887,HASHKEY HLDGS,400,200,80000,813名申请人中746名获发400股,366.79,0.92
24,3887,HASHKEY HLDGS,400,225,90000,427名申请人中412名获发400股,386.42,0.97
25,3887,HASHKEY HLDGS,400,250,100000,"2,911名申请人全部获发400股",400.0,1.0
26,3887,HASHKEY HLDGS,400,500,200000,"1,772名申请人中593名获发额外400股",533.86,1.33
27,3887,HASHKEY HLDGS,400,750,300000,"1,073名申请人中800名获发额外400股",698.23,1.75
28,3887,HASHKEY HLDGS,400,1000,400000,867名申请人中703名获发额外400股,724.34,1.81
29,3887,HASHKEY HLDGS,400,1250,500000,583名申请人中569名获发额外400股,790.39,1.98
30,3887,HASHKEY HLDGS,400,1500,600000,450名申请人全部获发800股,800.0,2.0
31,3887,HASHKEY HLDGS,400,1750,700000,661名申请人中113名获发额外400股,868.38,2.17
