代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
501,豪威集團,100,1,100,100股股份,100.0,1.0
501,豪威集團,100,2,200,"100股股份，另1,230名申请人中有246名获得额外100股股份",120.0,1.2
501,豪威集團,100,3,300,100股股份，另728名申请人中有255名获得额外100股股份,135.03,1.3503
501,豪威集團,100,4,400,"100股股份，另1,146名申请人中有659名获得额外100股股份",157.5,1.575
501,豪威集團,100,5,500,100股股份，另561名申请人中有392名获得额外100股股份,169.88,1.6988
501,豪威集團,100,6,600,100股股份，另160名申请人中有129名获得额外100股股份,180.62,1.8062
501,豪威集團,100,7,700,100股股份，另83名申请人中有75名获得额外100股股份,190.36,1.9036
501,豪威集團,100,8,800,100股股份，另122名申请人中有120名获得额外100股股份,198.36,1.9836
501,豪威集團,100,9,900,200股股份,200.0,2.0
501,豪威集團,100,10,1000,"200股股份，另1,120名申请人中有150名获得额外100股股份",213.39,2.1339
501,豪威集團,100,15,1500,200股股份，另403名申请人中有177名获得额外100股股份,243.92,2.4392
501,豪威集團,100,20,2000,200股股份，另288名申请人中有196名获得额外100股股份,268.06,2.6806
501,豪威集團,100,25,2500,200股股份，另92名申请人中有82名获得额外100股股份,289.13,2.8913
501,豪威集團,100,30,3000,300股股份,300.0,3.0
501,豪威集團,100,35,3500,300股股份，另54名申请人中有12名获得额外100股股份,322.22,3.2222
501,豪威集團,100,40,4000,300股股份，另68名申请人中有25名获得额外100股股份,336.76,3.3676
501,豪威集團,100,45,4500,300股股份，另39名申请人中有20名获得额外100股股份,351.28,3.5128
501,豪威集團,100,50,5000,300股股份，另176名申请人中有110名获得额外100股股份,362.5,3.625
501,豪威集團,100,60,6000,300股股份，另63名申请人中有54名获得额外100股股份,385.71,3.8571
501,豪威集團,100,70,7000,400股股份,400.0,4.0
501,豪威集團,100,80,8000,400股股份，另32名申请人中有4名获得额外100股股份,412.5,4.125
501,豪威集團,100,90,9000,400股股份，另36名申请人中有9名获得额外100股股份,425.0,4.25
501,豪威集團,100,100,10000,400股股份，另261名申请人中有105名获得额外100股股份,440.23,4.4023
501,豪威集團,100,200,20000,600股股份,600.0,6.0
501,豪威集團,100,300,30000,800股股份,800.0,8.0
501,豪威集團,100,400,40000,1000股股份,1000.0,10.0
501,豪威集團,100,500,50000,4300股股份，另59名申请人中有48名获得额外100股股份,4381.36,43.8136
501,豪威集團,100,600,60000,5200股股份，另10名申请人中有4名获得额外100股股份,5240.0,52.4
501,豪威集團,100,700,70000,6100股股份,6100.0,61.0
501,豪威集團,100,800,80000,6900股股份，另6名申请人中有3名获得额外100股股份,6950.0,69.5
501,豪威集團,100,900,90000,7800股股份,7800.0,78.0
501,豪威集團,100,1000,100000,8600股股份，另20名申请人中有12名获得额外100股股份,8660.0,86.6
501,豪威集團,100,2000,200000,17300股股份,17300.0,173.0
501,豪威集團,100,3000,300000,25900股股份,25900.0,259.0
501,豪威集團,100,4000,400000,34400股股份,34400.0,344.0
501,豪威集團,100,5000,500000,42900股股份，另4名申请人中有2名获得额外100股股份,42950.0,429.5
501,豪威集團,100,6000,600000,51500股股份,51500.0,515.0
501,豪威集團,100,7000,700000,60000股股份,60000.0,600.0
501,豪威集團,100,10000,1000000,85600股股份,85600.0,856.0
501,豪威集團,100,15000,1500000,128100股股份,128100.0,1281.0
501,豪威集團,100,22900,2290000,195200股股份,195200.0,1952.0
