代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
600,愛芯元智,100,1,100,"32,414名申请人中的5,835名获得100股股份",18.0,0.18
600,愛芯元智,100,2,200,"6,251名申请人中的1,875名获得100股股份",30.0,0.3
600,愛芯元智,100,3,300,"11,011名申请人中的4,574名获得100股股份",41.54,0.4154
600,愛芯元智,100,4,400,"2,084名申请人中的1,000名获得100股股份",47.98,0.4798
600,愛芯元智,100,5,500,"2,672名申请人中的1,336名获得100股股份",50.0,0.5
600,愛芯元智,100,6,600,"1,037名申请人中的560名获得100股股份",54.0,0.54
600,愛芯元智,100,7,700,"1,270名申请人中的711名获得100股股份",55.98,0.5598
600,愛芯元智,100,8,800,937名申请人中的562名获得100股股份,59.98,0.5998
600,愛芯元智,100,9,900,531名申请人中的344名获得100股股份,64.78,0.6478
600,愛芯元智,100,10,1000,"8,596名申请人中的6,017名获得100股股份",70.0,0.7
600,愛芯元智,100,20,2000,"2,597名申请人中的2,078名获得100股股份",80.02,0.8002
600,愛芯元智,100,30,3000,"2,097名申请人中的1,887名获得100股股份",89.99,0.8999
600,愛芯元智,100,40,4000,"1,067名申请人中的1,024名获得100股股份",95.97,0.9597
600,愛芯元智,100,50,5000,100股股份,100.0,1.0
600,愛芯元智,100,60,6000,100股股份，另530名申请人中有74名获得额外100股股份,113.96,1.1396
600,愛芯元智,100,70,7000,100股股份，另414名申请人中有108名获得额外100股股份,126.09,1.2609
600,愛芯元智,100,80,8000,100股股份，另408名申请人中有147名获得额外100股股份,136.03,1.3603
600,愛芯元智,100,90,9000,100股股份，另311名申请人中有137名获得额外100股股份,144.05,1.4405
600,愛芯元智,100,100,10000,"100股股份，另2,525名申请人中有1,263名获得额外100股股份",150.02,1.5002
600,愛芯元智,100,200,20000,200股股份,200.0,2.0
600,愛芯元智,100,300,30000,"200股股份，另1,029名申请人中有257名获得额外100股股份",224.98,2.2498
600,愛芯元智,100,400,40000,200股股份，另561名申请人中有337名获得额外100股股份,260.07,2.6007
600,愛芯元智,100,500,50000,300股股份,300.0,3.0
600,愛芯元智,100,600,60000,300股股份，另291名申请人中有87名获得额外100股股份,329.9,3.299
600,愛芯元智,100,700,70000,300股股份，另273名申请人中有137名获得额外100股股份,350.18,3.5018
600,愛芯元智,100,800,80000,400股股份,400.0,4.0
600,愛芯元智,100,900,90000,400股股份，另125名申请人中有63名获得额外100股股份,450.4,4.504
600,愛芯元智,100,1000,100000,500股股份,500.0,5.0
600,愛芯元智,100,2000,200000,2300股股份,2300.0,23.0
600,愛芯元智,100,3000,300000,2800股股份,2800.0,28.0
600,愛芯元智,100,4000,400000,3300股股份,3300.0,33.0
600,愛芯元智,100,5000,500000,3600股股份,3600.0,36.0
600,愛芯元智,100,6000,600000,4000股股份,4000.0,40.0
600,愛芯元智,100,7000,700000,4300股股份,4300.0,43.0
600,愛芯元智,100,8000,800000,4700股股份,4700.0,47.0
600,愛芯元智,100,9000,900000,5100股股份,5100.0,51.0
600,愛芯元智,100,10000,1000000,5400股股份,5400.0,54.0
600,愛芯元智,100,20000,2000000,9100股股份,9100.0,91.0
600,愛芯元智,100,30000,3000000,12800股股份,12800.0,128.0
600,愛芯元智,100,52458,5245800,20800股股份,20800.0,208.0
