,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,6031,三一重工,200,1,200,"45,385名申请人中22,693名获发200股",100.0,0.5
1,6031,三一重工,200,2,400,"20,877名申请人中12,605名获发200股",120.76,0.6
2,6031,三一重工,200,3,600,"3,902名申请人中2,631名获发200股",134.88,0.67
3,6031,三一重工,200,4,800,"2,211名申请人中1,613名获发200股",145.91,0.73
4,6031,三一重工,200,5,1000,"6,145名申请人中5,026名获发200股",163.6,0.82
5,6031,三一重工,200,6,1200,"1,141名申请人中1,025名获发200股",179.67,0.9
6,6031,三一重工,200,7,1400,963名申请人中937名获发200股,194.6,0.97
7,6031,三一重工,200,8,1600,840名申请人中35名获发额外200股,208.33,1.04
8,6031,三一重工,200,9,1800,721名申请人中77名获发额外200股,221.36,1.11
9,6031,三一重工,200,10,2000,"9,076名申请人中1,529名获发额外200股",233.7,1.17
10,6031,三一重工,200,15,3000,"1,807名申请人中795名获发额外200股",288.0,1.44
11,6031,三一重工,200,20,4000,"3,327名申请人中2,227名获发额外200股",333.9,1.67
12,6031,三一重工,200,25,5000,"1,954名申请人中1,705名获发额外200股",374.6,1.87
13,6031,三一重工,200,30,6000,"1,083名申请人中62名获发额外200股",411.45,2.06
14,6031,三一重工,200,35,7000,644名申请人中146名获发额外200股,445.34,2.23
15,6031,三一重工,200,40,8000,627名申请人中242名获发额外200股,477.19,2.39
16,6031,三一重工,200,45,9000,497名申请人中266名获发额外200股,507.04,2.54
17,6031,三一重工,200,50,10000,"3,451名申请人中2,331名获发额外200股",535.12,2.68
18,6031,三一重工,200,100,20000,"2,153名申请人中1,771名获发额外200股",764.47,3.82
19,6031,三一重工,200,150,30000,"1,003名申请人中712名获发额外200股",941.97,4.71
20,6031,三一重工,200,200,40000,760名申请人中351名获发额外200股,1092.37,5.46
21,6031,三一重工,200,250,50000,926名申请人中117名获发额外200股,1225.27,6.13
22,6031,三一重工,200,300,60000,475名申请人中346名获发额外200股,1342.11,6.71
23,6031,三一重工,200,350,70000,340名申请人中97名获发额外200股,1457.06,7.29
24,6031,三一重工,200,400,80000,318名申请人中256名获发额外200股,1561.01,7.81
25,6031,三一重工,200,450,90000,229名申请人中67名获发额外200股,1658.52,8.29
26,6031,三一重工,200,500,100000,"1,525名申请人中1,147名获发额外200股",1750.43,8.75
27,6031,三一重工,200,1000,200000,"1,012名申请人中510名获发额外200股",2504.94,12.52
