,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,6082,壁仞科技,200,1,200,"174,816名申请人中8,741名获发200股",10.0,0.05
1,6082,壁仞科技,200,2,400,"25,420名申请人中1,954名获发200股",15.36,0.08
2,6082,壁仞科技,200,3,600,"19,979名申请人中1,996名获发200股",19.98,0.1
3,6082,壁仞科技,200,4,800,"9,280名申请人中1,062名获发200股",22.88,0.11
4,6082,壁仞科技,200,5,1000,"13,714名申请人中1,716名获发200股",25.0,0.13
5,6082,壁仞科技,200,6,1200,"6,869名申请人中912名获发200股",26.52,0.13
6,6082,壁仞科技,200,7,1400,"8,272名申请人中1,194名获发200股",28.84,0.14
7,6082,壁仞科技,200,8,1600,"6,977名申请人中1,084名获发200股",31.04,0.16
8,6082,壁仞科技,200,9,1800,"6,525名申请人中1,110名获发200股",34.02,0.17
9,6082,壁仞科技,200,10,2000,"35,199名申请人中6,495名获发200股",37.0,0.19
10,6082,壁仞科技,200,15,3000,"9,407名申请人中2,341名获发200股",49.8,0.25
11,6082,壁仞科技,200,20,4000,"9,206名申请人中2,578名获发200股",56.0,0.28
12,6082,壁仞科技,200,25,5000,"11,145名申请人中3,357名获发200股",60.0,0.3
13,6082,壁仞科技,200,30,6000,"9,328名申请人中2,979名获发200股",63.6,0.32
14,6082,壁仞科技,200,35,7000,"4,560名申请人中1,585名获发200股",69.3,0.35
15,6082,壁仞科技,200,40,8000,"4,554名申请人中1,702名获发200股",74.4,0.37
16,6082,壁仞科技,200,45,9000,"3,269名申请人中1,303名获发200股",80.1,0.4
17,6082,壁仞科技,200,50,10000,"21,045名申请人中8,882名获发200股",84.0,0.42
18,6082,壁仞科技,200,100,20000,"12,176名申请人中7,502名获发200股",124.0,0.62
19,6082,壁仞科技,200,150,30000,"7,587名申请人中5,833名获发200股",153.0,0.77
20,6082,壁仞科技,200,200,40000,"5,426名申请人中4,881名获发200股",180.0,0.9
21,6082,壁仞科技,200,250,50000,"4,914名申请人中78名获发额外200股",203.17,1.02
22,6082,壁仞科技,200,300,60000,"3,573名申请人中437名获发额外200股",224.46,1.12
23,6082,壁仞科技,200,350,70000,"2,717名申请人中600名获发额外200股",244.17,1.22
24,6082,壁仞科技,200,400,80000,"2,493名申请人中781名获发额外200股",262.69,1.31
25,6082,壁仞科技,200,450,90000,"1,926名申请人中771名获发额外200股",280.11,1.4
26,6082,壁仞科技,200,500,100000,"12,802名申请人中6,184名获发额外200股",296.61,1.48
27,6082,壁仞科技,200,1000,200000,"8,682名申请人全部获发400股",400.0,2.0
