,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,6090,不同集團,100,1,100,"43,701名申请人中437名获发100股",1.0,0.01
1,6090,不同集團,100,2,200,"10,957名申请人中112名获发100股",1.02,0.01
2,6090,不同集團,100,3,300,"6,089名申请人中73名获发100股",1.2,0.01
3,6090,不同集團,100,4,400,"3,160名申请人中38名获发100股",1.2,0.01
4,6090,不同集團,100,5,500,"3,622名申请人中45名获发100股",1.24,0.01
5,6090,不同集團,100,6,600,"6,629名申请人中88名获发100股",1.33,0.01
6,6090,不同集團,100,7,700,"1,512名申请人中21名获发100股",1.39,0.01
7,6090,不同集團,100,8,800,"1,367名申请人中20名获发100股",1.46,0.01
8,6090,不同集團,100,9,900,"1,099名申请人中17名获发100股",1.55,0.02
9,6090,不同集團,100,10,1000,"8,882名申请人中142名获发100股",1.6,0.02
10,6090,不同集團,100,15,1500,"3,940名申请人中89名获发100股",2.26,0.02
11,6090,不同集團,100,20,2000,"3,234名申请人中91名获发100股",2.81,0.03
12,6090,不同集團,100,25,2500,"2,591名申请人中84名获发100股",3.24,0.03
13,6090,不同集團,100,30,3000,"2,347名申请人中84名获发100股",3.58,0.04
14,6090,不同集團,100,35,3500,"1,579名申请人中61名获发100股",3.86,0.04
15,6090,不同集團,100,40,4000,"1,627名申请人中65名获发100股",4.0,0.04
16,6090,不同集團,100,45,4500,"1,150名申请人中47名获发100股",4.09,0.04
17,6090,不同集團,100,50,5000,"2,639名申请人中112名获发100股",4.24,0.04
18,6090,不同集團,100,60,6000,"2,386名申请人中115名获发100股",4.82,0.05
19,6090,不同集團,100,70,7000,"1,990名申请人中98名获发100股",4.92,0.05
20,6090,不同集團,100,80,8000,"1,591名申请人中84名获发100股",5.28,0.05
21,6090,不同集團,100,90,9000,"1,274名申请人中69名获发100股",5.42,0.05
22,6090,不同集團,100,100,10000,"8,662名申请人中476名获发100股",5.49,0.05
23,6090,不同集團,100,200,20000,"4,614名申请人中415名获发100股",8.99,0.09
24,6090,不同集團,100,300,30000,"2,979名申请人中357名获发100股",11.99,0.12
25,6090,不同集團,100,400,40000,"2,301名申请人中322名获发100股",14.0,0.14
26,6090,不同集團,100,500,50000,"2,091名申请人中335名获发100股",16.02,0.16
27,6090,不同集團,100,600,60000,"2,587名申请人中486名获发100股",18.79,0.19
28,6090,不同集團,100,700,70000,"5,189名申请人中1,108名获发100股",21.35,0.21
