,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,6166,劍橋科技,50,1,50,"81,623名申请人中4,082名获发50股",2.5,0.05
1,6166,劍橋科技,50,2,100,"25,868名申请人中1,965名获发50股",3.8,0.08
2,6166,劍橋科技,50,3,150,"6,720名申请人中652名获发50股",4.85,0.1
3,6166,劍橋科技,50,4,200,"6,443名申请人中744名获发50股",5.78,0.12
4,6166,劍橋科技,50,5,250,"5,223名申请人中690名获发50股",6.61,0.13
5,6166,劍橋科技,50,6,300,"2,942名申请人中434名获发50股",7.38,0.15
6,6166,劍橋科技,50,7,350,"1,181名申请人中192名获发50股",8.13,0.16
7,6166,劍橋科技,50,8,400,"1,436名申请人中252名获发50股",8.77,0.18
8,6166,劍橋科技,50,9,450,"1,010名申请人中191名获发50股",9.46,0.19
9,6166,劍橋科技,50,10,500,"5,852名申请人中1,174名获发50股",10.03,0.2
10,6166,劍橋科技,50,12,600,"2,284名申请人中512名获发50股",11.21,0.22
11,6166,劍橋科技,50,14,700,"7,672名申请人中1,886名获发50股",12.29,0.25
12,6166,劍橋科技,50,16,800,"1,283名申请人中342名获发50股",13.33,0.27
13,6166,劍橋科技,50,18,900,896名申请人中257名获发50股,14.34,0.29
14,6166,劍橋科技,50,20,1000,"7,339名申请人中2,237名获发50股",15.24,0.3
15,6166,劍橋科技,50,30,1500,"4,265名申请人中1,660名获发50股",19.46,0.39
16,6166,劍橋科技,50,40,2000,"4,454名申请人中2,062名获发50股",23.15,0.46
17,6166,劍橋科技,50,50,2500,"2,499名申请人中1,324名获发50股",26.49,0.53
18,6166,劍橋科技,50,60,3000,"2,430名申请人中1,437名获发50股",29.57,0.59
19,6166,劍橋科技,50,70,3500,"1,352名申请人中878名获发50股",32.47,0.65
20,6166,劍橋科技,50,80,4000,"1,509名申请人中1,062名获发50股",35.19,0.7
21,6166,劍橋科技,50,90,4500,"1,247名申请人中942名获发50股",37.77,0.76
22,6166,劍橋科技,50,100,5000,"2,865名申请人中2,306名获发50股",40.24,0.8
23,6166,劍橋科技,50,120,6000,"1,783名申请人中1,602名获发50股",44.92,0.9
24,6166,劍橋科技,50,140,7000,"1,452名申请人中1,432名获发50股",49.31,0.99
