,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,638,广和通,1,200,"60,023名中189名获发200股股份",0.63,0.00315
1,638,广和通,2,400,"30,231名中188名获发200股股份",1.24,0.0062
2,638,广和通,3,600,"7,952名中74名获发200股股份",1.86,0.0093
3,638,广和通,4,800,"4,337名中54名获发200股股份",2.49,0.01245
4,638,广和通,5,1000,"6,160名中96名获发200股股份",3.12,0.0156
5,638,广和通,6,1200,"2,468名中46名获发200股股份",3.73,0.01865
6,638,广和通,7,1400,"1,848名中40名获发200股股份",4.33,0.02165
7,638,广和通,8,1600,"1,490名中37名获发200股股份",4.97,0.02485
8,638,广和通,9,1800,"1,409名中39名获发200股股份",5.54,0.0277
9,638,广和通,10,2000,"16,222名中505名获发200股股份",6.23,0.03115
10,638,广和通,15,3000,"3,918名中183名获发200股股份",9.34,0.0467
11,638,广和通,20,4000,"4,626名中288名获发200股股份",12.45,0.06225
12,638,广和通,25,5000,"3,683名中287名获发200股股份",15.58,0.0779
13,638,广和通,30,6000,"2,550名中238名获发200股股份",18.67,0.09335
14,638,广和通,35,7000,"1,918名中209名获发200股股份",21.79,0.10895
15,638,广和通,40,8000,"1,521名中189名获发200股股份",24.85,0.12425
16,638,广和通,45,9000,"1,281名中180名获发200股股份",28.1,0.1405
17,638,广和通,50,10000,"5,598名中872名获发200股股份",31.15,0.15575
18,638,广和通,75,15000,"2,663名中622名获发200股股份",46.72,0.2336
19,638,广和通,100,20000,"2,781名中866名获发200股股份",62.28,0.3114
20,638,广和通,125,25000,"1,675名中652名获发200股股份",77.85,0.38925
21,638,广和通,150,30000,"1,471名中687名获发200股股份",93.41,0.46705
22,638,广和通,175,35000,991名中540名获发200股股份,108.98,0.5449
23,638,广和通,200,40000,"1,406名中876名获发200股股份",124.61,0.62305
24,638,广和通,225,45000,978名中685名获发200股股份,140.08,0.7004
25,638,广和通,250,50000,"1,813名中1,411名获发200股股份",155.65,0.77825
26,638,广和通,300,60000,"1,482名中1,384名获发200股股份",186.77,0.93385
27,638,广和通,350,70000,"200股股份加上1,260名中113名获发额外200股股份",217.94,1.0897
28,638,广和通,400,80000,"200股股份加上1,225名中301名获发额外200股股份",249.14,1.2457
29,638,广和通,450,90000,200股股份加上978名中392名获发额外200股股份,280.16,1.4008
30,638,广和通,500,100000,"200股股份加上5,238名中2,918名获发额外200股股份",311.45,1.55725
31,638,广和通,1000,200000,"600股股份加上3,182名中363名获发额外200股股份",622.82,3.1141
