,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,6603,IFBH,200,1,200,"35,623名申请人中3,563名获发200股",20.0,0.1
1,6603,IFBH,200,2,400,"11,885名申请人中1,447名获发200股",24.35,0.12
2,6603,IFBH,200,3,600,"7,698名申请人中1,051名获发200股",27.3,0.14
3,6603,IFBH,200,4,800,"5,103名申请人中756名获发200股",29.63,0.15
4,6603,IFBH,200,5,1000,"18,913名申请人中2,984名获发200股",31.55,0.16
5,6603,IFBH,200,6,1200,"2,396名申请人中399名获发200股",33.31,0.17
6,6603,IFBH,200,7,1400,"2,064名申请人中359名获发200股",34.79,0.17
7,6603,IFBH,200,8,1600,"4,434名申请人中800名获发200股",36.09,0.18
8,6603,IFBH,200,9,1800,"1,886名申请人中352名获发200股",37.33,0.19
9,6603,IFBH,200,10,2000,"23,243名申请人中4,463名获发200股",38.4,0.19
10,6603,IFBH,200,15,3000,"12,989名申请人中2,798名获发200股",43.08,0.22
11,6603,IFBH,200,20,4000,"8,894名申请人中2,079名获发200股",46.76,0.23
12,6603,IFBH,200,25,5000,"4,904名申请人中1,221名获发200股",49.8,0.25
13,6603,IFBH,200,30,6000,"4,548名申请人中1,193名获发200股",52.46,0.26
14,6603,IFBH,200,35,7000,"4,175名申请人中1,144名获发200股",54.8,0.27
15,6603,IFBH,200,40,8000,"3,689名申请人中1,050名获发200股",56.93,0.28
16,6603,IFBH,200,45,9000,"2,779名申请人中818名获发200股",58.87,0.29
17,6603,IFBH,200,50,10000,"18,877名申请人中5,719名获发200股",60.58,0.3
18,6603,IFBH,200,100,20000,"11,241名申请人中4,145名获发200股",73.75,0.37
19,6603,IFBH,200,150,30000,"6,193名申请人中2,562名获发200股",82.74,0.41
20,6603,IFBH,200,200,40000,"4,722名申请人中2,119名获发200股",89.75,0.45
21,6603,IFBH,200,250,50000,"3,109名申请人中1,487名获发200股",95.66,0.48
22,6603,IFBH,200,300,60000,"2,369名申请人中1,193名获发200股",100.7,0.5
23,6603,IFBH,200,350,70000,"1,902名申请人中1,001名获发200股",105.26,0.53
24,6603,IFBH,200,400,80000,"1,817名申请人中993名获发200股",109.3,0.55
25,6603,IFBH,200,450,90000,"1,292名申请人中730名获发200股",112.92,0.56
26,6603,IFBH,200,500,100000,"9,118名申请人中5,304名获发200股",116.34,0.58
