,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,6613,藍思科技,200,1,200,"38,880名申请人中7,776名获发200股",40.0,0.2
1,6613,藍思科技,200,2,400,"14,164名申请人中3,932名获发200股",55.52,0.28
2,6613,藍思科技,200,3,600,"6,851名申请人中2,365名获发200股",69.03,0.35
3,6613,藍思科技,200,4,800,"3,825名申请人中1,530名获发200股",80.0,0.4
4,6613,藍思科技,200,5,1000,"8,628名申请人中4,098名获发200股",94.99,0.47
5,6613,藍思科技,200,6,1200,"4,348名申请人中2,348名获发200股",108.01,0.54
6,6613,藍思科技,200,7,1400,"3,707名申请人中2,206名获发200股",119.05,0.6
7,6613,藍思科技,200,8,1600,"4,081名申请人中2,612名获发200股",128.0,0.64
8,6613,藍思科技,200,9,1800,"4,178名申请人中2,820名获发200股",135.0,0.68
9,6613,藍思科技,200,10,2000,"22,601名申请人中15,821名获发200股",140.0,0.7
10,6613,藍思科技,200,15,3000,"13,286名申请人中11,957名获发200股",180.0,0.9
11,6613,藍思科技,200,20,4000,"12,374名申请人全部获发200股",200.0,1.0
12,6613,藍思科技,200,25,5000,"6,675名申请人中1,335名获发额外200股",240.0,1.2
13,6613,藍思科技,200,30,6000,"5,635名申请人中2,141名获发额外200股",276.0,1.38
14,6613,藍思科技,200,35,7000,"3,128名申请人中1,580名获发额外200股",290.29,1.45
15,6613,藍思科技,200,40,8000,"2,402名申请人中1,441名获发额外200股",320.0,1.6
16,6613,藍思科技,200,45,9000,"1,678名申请人中1,040名获发额外200股",342.22,1.71
17,6613,藍思科技,200,50,10000,"16,509名申请人中10,731名获发额外200股",360.0,1.8
18,6613,藍思科技,200,100,20000,"9,635名申请人中8,672名获发额外200股",540.0,2.7
19,6613,藍思科技,200,150,30000,"5,858名申请人中5,565名获发额外200股",760.0,3.8
20,6613,藍思科技,200,200,40000,"4,192名申请人全部获发400股",400.0,2.0
21,6613,藍思科技,200,250,50000,"9,401名申请人中4,465名获发额外200股",495.0,2.48
22,6613,藍思科技,200,500,100000,"5,646名申请人全部获发800股",800.0,4.0
23,6613,藍思科技,200,750,150000,"3,194名申请人全部获发1,000股",1000.0,5.0
24,6613,藍思科技,200,1000,200000,"2,656名申请人全部获发1,200股",1200.0,6.0
25,6613,藍思科技,200,1250,250000,"7,862名申请人全部获发1,400股",1400.0,7.0
