代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
6636,極視角,50,1,50,"51,855名申请，5,186名获发50股",5.0,0.1
6636,極視角,50,2,100,"9,057名申请，1,039名获发50股",5.74,0.11
6636,極視角,50,3,150,"20,926名申请，2,600名获发50股",6.21,0.12
6636,極視角,50,4,200,"5,751名申请，757名获发50股",6.58,0.13
6636,極視角,50,5,250,"3,679名申请，506名获发50股",6.88,0.14
6636,極視角,50,6,300,"1,676名申请，239名获发50股",7.13,0.14
6636,極視角,50,7,350,"1,049名申请，155名获发50股",7.39,0.15
6636,極視角,50,8,400,993名申请，150名获发50股,7.55,0.15
6636,極視角,50,9,450,646名申请，100名获发50股,7.74,0.15
6636,極視角,50,10,500,"4,500名申请，709名获发50股",7.88,0.16
6636,極視角,50,12,600,"1,017名申请，167名获发50股",8.21,0.16
6636,極視角,50,14,700,921名申请，156名获发50股,8.47,0.17
6636,極視角,50,16,800,905名申请，157名获发50股,8.67,0.17
6636,極視角,50,18,900,742名申请，132名获发50股,8.89,0.18
6636,極視角,50,20,1000,"10,122名申请，1,829名获发50股",9.03,0.18
6636,極視角,50,30,1500,"2,092名申请，410名获发50股",9.8,0.2
6636,極視角,50,40,2000,"2,995名申请，621名获发50股",10.37,0.21
6636,極視角,50,50,2500,"1,976名申请，428名获发50股",10.83,0.22
6636,極視角,50,60,3000,"1,262名申请，284名获发50股",11.25,0.23
6636,極視角,50,70,3500,929名申请，215名获发50股,11.57,0.23
6636,極視角,50,80,4000,800名申请，191名获发50股,11.94,0.24
6636,極視角,50,90,4500,546名申请，133名获发50股,12.18,0.24
6636,極視角,50,100,5000,"1,891名申请，470名获发50股",12.43,0.25
6636,極視角,50,120,6000,792名申请，204名获发50股,12.88,0.26
6636,極視角,50,140,7000,805名申请，214名获发50股,13.29,0.27
6636,極視角,50,160,8000,745名申请，203名获发50股,13.62,0.27
6636,極視角,50,180,9000,627名申请，175名获发50股,13.96,0.28
6636,極視角,50,200,10000,"4,898名申请，1,395名获发50股",14.24,0.28
6636,極視角,50,400,20000,"3,624名申请，1,183名获发50股",16.32,0.33
6636,極視角,50,600,30000,"2,984名申请，1,056名获发50股",17.69,0.35
6636,極視角,50,800,40000,"1,611名申请，603名获发50股",18.72,0.37
6636,極視角,50,1000,50000,"1,539名申请，602名获发50股",19.56,0.39
6636,極視角,50,1200,60000,859名申请，349名获发50股,20.31,0.41
6636,極視角,50,1400,70000,651名申请，273名获发50股,20.97,0.42
6636,極視角,50,1600,80000,695名申请，299名获发50股,21.51,0.43
6636,極視角,50,1800,90000,609名申请，268名获发50股,22.0,0.44
6636,極視角,50,2000,100000,"3,349名申请，1,502名获发50股",22.42,0.45
6636,極視角,50,3000,150000,"4,674名申请，100股+1,870名额外获50股",120.0,2.4
6636,極視角,50,4000,200000,"1,010名申请，100股+804名额外获50股",139.8,2.8
6636,極視角,50,5000,250000,676名申请，150股,150.0,3.0
6636,極視角,50,6240,312000,"2,611名申请，150股+1,057名额外获50股",170.24,3.4
