,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,0664,铜师傅,1,100,"19,181名中533名获发100股股份",2.7,0.027
1,0664,铜师傅,2,200,"1,423名中79名获发100股股份",5.26,0.0526
2,0664,铜师傅,3,300,567名中47名获发100股股份,7.65,0.0765
3,0664,铜师傅,4,400,267名中29名获发100股股份,9.8,0.098
4,0664,铜师傅,5,500,464名中62名获发100股股份,11.79,0.1179
5,0664,铜师傅,6,600,205名中32名获发100股股份,13.5,0.135
6,0664,铜师傅,7,700,468名中85名获发100股股份,15.37,0.1537
7,0664,铜师傅,8,800,154名中31名获发100股股份,16.76,0.1676
8,0664,铜师傅,9,900,72名中16名获发100股股份,18.18,0.1818
9,0664,铜师傅,10,1000,"1,228名中290名获发100股股份",19.1,0.191
10,0664,铜师傅,15,1500,320名中113名获发100股股份,26.1,0.261
11,0664,铜师傅,20,2000,238名中112名获发100股股份,32.0,0.32
12,0664,铜师傅,25,2500,120名中70名获发100股股份,36.84,0.3684
13,0664,铜师傅,30,3000,160名中112名获发100股股份,41.18,0.4118
14,0664,铜师傅,35,3500,76名中62名获发100股股份,44.93,0.4493
15,0664,铜师傅,40,4000,79名中73名获发100股股份,48.03,0.4803
16,0664,铜师傅,45,4500,62名中2名获发额外100股股份,103.13,1.0313
17,0664,铜师傅,50,5000,163名中23名获发额外100股股份,112.37,1.1237
18,0664,铜师傅,60,6000,97名中35名获发额外100股股份,126.52,1.2652
19,0664,铜师傅,70,7000,76名中44名获发额外100股股份,136.67,1.3667
20,0664,铜师傅,80,8000,51名中39名获发额外100股股份,143.33,1.4333
21,0664,铜师傅,90,9000,35名中34名获发额外100股股份,149.28,1.4928
22,0664,铜师傅,100,10000,301名中58名获发额外100股股份,216.16,2.1616
23,0664,铜师傅,200,20000,132名中51名获发额外100股股份,427.87,4.2787
24,0664,铜师傅,300,30000,79名中46名获发额外100股股份,636.8,6.368
25,0664,铜师傅,400,40000,36名中28名获发额外100股股份,844.44,8.4444
26,0664,铜师傅,500,50000,25名中24名获发额外100股股份,1040.82,10.4082
27,0664,铜师傅,600,60000,19名中2名获发额外100股股份,1285.71,12.8571
28,0664,铜师傅,700,70000,36名中10名获发额外100股股份,1521.74,15.2174
29,0664,铜师傅,800,80000,69名中28名获发额外100股股份,2278.35,22.7835
30,0664,铜师傅,900,90000,6名中1名获发额外100股股份,2571.43,25.7143
31,0664,铜师傅,1000,100000,18名中0名获发额外100股股份,2800.0,28.0
32,0664,铜师傅,1200,120000,8名中5名获发额外100股股份,3307.69,33.0769
33,0664,铜师傅,1400,140000,5名中1名获发额外100股股份,3933.33,39.3333
34,0664,铜师傅,1600,160000,8名中7名获发额外100股股份,4466.67,44.6667
35,0664,铜师傅,1800,180000,1名中0名获发额外100股股份,5000.0,50.0
36,0664,铜师傅,2000,200000,12名中8名获发额外100股股份,5525.0,55.25
37,0664,铜师傅,2500,250000,3名中1名获发额外100股股份,6900.0,69.0
38,0664,铜师傅,3000,300000,2名中0名获发额外100股股份,8300.0,83.0
39,0664,铜师傅,3703,370300,14名中10名获发额外100股股份,10270.83,102.7083
