代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
6651,五一視界,100,1,100,"31,757名申请人中的3,176名获得100股股份",10.0,0.1
6651,五一視界,100,2,200,"4,185名申请人中的837名获得100股股份",20.0,0.2
6651,五一視界,100,3,300,"1,882名申请人中的565名获得100股股份",30.02,0.3002
6651,五一視界,100,4,400,"4,653名申请人中的1,861名获得100股股份",40.0,0.4
6651,五一視界,100,5,500,"1,526名申请人中的763名获得100股股份",50.0,0.5
6651,五一視界,100,6,600,581名申请人中的349名获得100股股份,60.07,0.6007
6651,五一視界,100,7,700,365名申请人中的256名获得100股股份,70.14,0.7014
6651,五一視界,100,8,800,922名申请人中的738名获得100股股份,80.04,0.8004
6651,五一視界,100,9,900,610名申请人中的549名获得100股股份,90.0,0.9
6651,五一視界,100,10,1000,"3,681名申请人中的3,681名获得100股股份",100.0,1.0
6651,五一視界,100,15,1500,"1,202名申请人中的1,803名获得100股股份",150.0,1.5
6651,五一視界,100,20,2000,"1,269名申请人中的2,538名获得100股股份",200.0,2.0
6651,五一視界,100,25,2500,"649名申请人中的1,622名获得100股股份",249.92,2.4992
6651,五一視界,100,30,3000,"799名申请人中的2,397名获得100股股份",300.0,3.0
6651,五一視界,100,35,3500,"455名申请人中的1,592名获得100股股份",349.89,3.4989
6651,五一視界,100,40,4000,"621名申请人中的2,484名获得100股股份",400.0,4.0
6651,五一視界,100,45,4500,"390名申请人中的1,755名获得100股股份",450.0,4.5
6651,五一視界,100,50,5000,"962名申请人中的4,810名获得100股股份",500.0,5.0
6651,五一視界,100,60,6000,"579名申请人中的3,474名获得100股股份",600.0,6.0
6651,五一視界,100,70,7000,"454名申请人中的3,178名获得100股股份",700.0,7.0
6651,五一視界,100,80,8000,"499名申请人中的3,992名获得100股股份",800.0,8.0
6651,五一視界,100,90,9000,"445名申请人中的4,005名获得100股股份",900.0,9.0
6651,五一視界,100,100,10000,"2,712名申请人中的27,120名获得100股股份",1000.0,10.0
6651,五一視界,100,200,20000,"100股股份，另1,813名申请人中有18,130名获得额外100股股份",1100.0,11.0
6651,五一視界,100,300,30000,"200股股份，另992名申请人中有9,920名获得额外100股股份",1200.0,12.0
6651,五一視界,100,400,40000,"300股股份，另998名申请人中有9,980名获得额外100股股份",1300.0,13.0
6651,五一視界,100,500,50000,"300股股份，另2,394名申请人中有11,970名获得额外100股股份",800.0,8.0
6651,五一視界,100,600,60000,"400股股份，另479名申请人中有4,790名获得额外100股股份",1400.0,14.0
6651,五一視界,100,700,70000,"500股股份，另280名申请人中有2,800名获得额外100股股份",1500.0,15.0
6651,五一視界,100,800,80000,"600股股份，另240名申请人中有2,400名获得额外100股股份",1600.0,16.0
6651,五一視界,100,900,90000,"700股股份，另188名申请人中有1,880名获得额外100股股份",1700.0,17.0
6651,五一視界,100,1000,100000,"800股股份，另801名申请人中有8,010名获得额外100股股份",1800.0,18.0
6651,五一視界,100,2000,200000,"1800股股份，另313名申请人中有3,130名获得额外100股股份",2800.0,28.0
6651,五一視界,100,3000,300000,"2800股股份，另112名申请人中有1,120名获得额外100股股份",3800.0,38.0
6651,五一視界,100,4000,400000,3800股股份，另64名申请人中有640名获得额外100股股份,4800.0,48.0
6651,五一視界,100,5000,500000,4800股股份，另44名申请人中有440名获得额外100股股份,5800.0,58.0
6651,五一視界,100,6000,600000,5800股股份，另27名申请人中有270名获得额外100股股份,6800.0,68.0
6651,五一視界,100,7000,700000,6800股股份，另15名申请人中有150名获得额外100股股份,7800.0,78.0
6651,五一視界,100,8000,800000,7800股股份，另19名申请人中有190名获得额外100股股份,8800.0,88.0
6651,五一視界,100,9000,900000,8800股股份，另10名申请人中有100名获得额外100股股份,9800.0,98.0
6651,五一視界,100,10000,1000000,9800股股份，另31名申请人中有310名获得额外100股股份,10800.0,108.0
6651,五一視界,100,11550,1155000,"11350股股份，另100名申请人中有1,000名获得额外100股股份",12350.0,123.5
