代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
6681,脑动极光医疗科技,1000,1,1000,"5,285名申请人中的2,643名获得1000股股份",500.09,0.5001
6681,脑动极光医疗科技,1000,2,2000,783名申请人中的470名获得1000股股份,600.26,0.6003
6681,脑动极光医疗科技,1000,3,3000,"1,153名申请人中的813名获得1000股股份",705.12,0.7051
6681,脑动极光医疗科技,1000,4,4000,238名申请人中的186名获得1000股股份,781.51,0.7815
6681,脑动极光医疗科技,1000,5,5000,372名申请人中的313名获得1000股股份,841.4,0.8414
6681,脑动极光医疗科技,1000,6,6000,137名申请人中的124名获得1000股股份,905.11,0.9051
6681,脑动极光医疗科技,1000,7,7000,62名申请人中的59名获得1000股股份,951.61,0.9516
6681,脑动极光医疗科技,1000,8,8000,78名申请人中的77名获得1000股股份,987.18,0.9872
6681,脑动极光医疗科技,1000,9,9000,1000股股份,1000.0,1.0
6681,脑动极光医疗科技,1000,10,10000,1000股股份，另428名申请人中有22名获得额外1000股股份,1051.4,1.0514
6681,脑动极光医疗科技,1000,15,15000,1000股股份，另776名申请人中有159名获得额外1000股股份,1204.9,1.2049
6681,脑动极光医疗科技,1000,20,20000,1000股股份，另162名申请人中有53名获得额外1000股股份,1327.16,1.3272
6681,脑动极光医疗科技,1000,25,25000,1000股股份，另69名申请人中有30名获得额外1000股股份,1434.78,1.4348
6681,脑动极光医疗科技,1000,30,30000,1000股股份，另398名申请人中有202名获得额外1000股股份,1507.54,1.5075
6681,脑动极光医疗科技,1000,35,35000,1000股股份，另69名申请人中有41名获得额外1000股股份,1594.2,1.5942
6681,脑动极光医疗科技,1000,40,40000,1000股股份，另59名申请人中有39名获得额外1000股股份,1661.02,1.661
6681,脑动极光医疗科技,1000,45,45000,1000股股份，另26名申请人中有19名获得额外1000股股份,1730.77,1.7308
6681,脑动极光医疗科技,1000,50,50000,1000股股份，另134名申请人中有105名获得额外1000股股份,1783.58,1.7836
6681,脑动极光医疗科技,1000,60,60000,1000股股份，另74名申请人中有66名获得额外1000股股份,1891.89,1.8919
6681,脑动极光医疗科技,1000,70,70000,2000股股份,2000.0,2.0
6681,脑动极光医疗科技,1000,80,80000,2000股股份，另49名申请人中有4名获得额外1000股股份,2081.63,2.0816
6681,脑动极光医疗科技,1000,90,90000,2000股股份，另45名申请人中有9名获得额外1000股股份,2200.0,2.2
6681,脑动极光医疗科技,1000,100,100000,2000股股份，另239名申请人中有84名获得额外1000股股份,2351.46,2.3515
6681,脑动极光医疗科技,1000,200,200000,2000股股份，另68名申请人中有54名获得额外1000股股份,2794.12,2.7941
6681,脑动极光医疗科技,1000,300,300000,3000股股份,3000.0,3.0
6681,脑动极光医疗科技,1000,400,400000,3000股股份，另15名申请人中有9名获得额外1000股股份,3600.0,3.6
6681,脑动极光医疗科技,1000,500,500000,3000股股份，另11名申请人中有9名获得额外1000股股份,3818.18,3.8182
6681,脑动极光医疗科技,1000,600,600000,4000股股份,4000.0,4.0
6681,脑动极光医疗科技,1000,700,700000,4000股股份，另3名申请人中有1名获得额外1000股股份,4333.33,4.3333
6681,脑动极光医疗科技,1000,800,800000,4000股股份，另4名申请人中有2名获得额外1000股股份,4500.0,4.5
6681,脑动极光医疗科技,1000,1000,1000000,5000股股份,5000.0,5.0
6681,脑动极光医疗科技,1000,2000,2000000,504000股股份,504000.0,504.0
6681,脑动极光医疗科技,1000,3000,3000000,755000股股份,755000.0,755.0
6681,脑动极光医疗科技,1000,8000,8000000,2004000股股份,2004000.0,2004.0
